"","Municipality_name","Gemeente","Totaal","Municipality_code","population","Mondkapje_publiekeruimte","Noodverordening_percentage","Verbod_groepsvorming","Verbod_alcohol","Veilige_afstand","Mondkapje_OV","Totaal_percentage"
"1","'s-Gravenhage","Den Haag",6458,"GM0518",548149,0.01,0.27,0.05,0,0.06,0,1.18
"2","'s-Hertogenbosch","Den Bosch",1176,"GM0796",155564,0.01,0.19,0.05,0,0.03,0,0.76
"3","Aa en Hunze","Aa en Hunze",41,"GM1680",25374,0,0,0.03,0,0.02,0.01,0.16
"4","Aalsmeer","Aalsmeer",108,"GM0358",31985,0,0.06,0,0,0.03,0,0.34
"5","Aalten","Aalten",84,"GM0197",27118,0,0.08,0.11,0,0,0,0.31
"6","Achtkarspelen","Achtkarspelen",119,"GM0059",27860,0,0.08,0.03,0,0.09,0,0.43
"7","Alblasserdam","Alblasserdam",82,"GM0482",20151,0,0.19,0.02,0.01,0.01,0,0.41
"8","Albrandswaard","Albrandswaard",110,"GM0613",25815,0.01,0.11,0.01,0,0.02,0,0.43
"9","Alkmaar","Alkmaar",1059,"GM0361",109996,0.01,0.21,0.05,0,0.08,0,0.96
"10","Almelo","Almelo",438,"GM0141",73102,0,0.11,0.02,0,0.02,0,0.6
"11","Almere","Almere",1481,"GM0034",215312,0.01,0.2,0.09,0,0.05,0,0.69
"12","Alphen-Chaam","Alphen-Chaam",19,"GM1723",10361,0,0,0.01,0,0.09,0,0.18
"13","Alphen aan den Rijn","Alphen aan den Rijn",458,"GM0484",112556,0,0.17,0.01,0,0.04,0,0.41
"14","Altena","Altena",180,"GM1959",56448,0,0.04,0.04,0,0.06,0,0.32
"15","Ameland","Ameland",30,"GM0060",3740,0,0.11,0,0,0,0,0.8
"16","Amersfoort","Amersfoort",650,"GM0307",157510,0,0.04,0.01,0,0.02,0,0.41
"17","Amstelveen","Amstelveen",472,"GM0362",90893,0.01,0.12,0.03,0,0,0,0.52
"18","Amsterdam","Amsterdam",10461,"GM0363",871903,0.04,0.16,0.07,0,0.04,0.01,1.2
"19","Apeldoorn","Apeldoorn",1411,"GM0200",164986,0,0.09,0.13,0,0.08,0,0.86
"20","Appingedam","Appingedam",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Arnhem","Arnhem",1541,"GM0202",162525,0,0.25,0.09,0,0.05,0,0.95
"22","Assen","Assen",319,"GM0106",68885,0.01,0.06,0,0,0.02,0,0.46
"23","Asten","Asten",104,"GM0743",16900,0,0.08,0.09,0,0.08,0,0.62
"24","Baarle-Nassau","Baarle-Nassau",6,"GM0744",6919,0,0,0,0,0,0,0.09
"25","Baarn","Baarn",91,"GM0308",24715,0,0.03,0.03,0,0.01,0,0.37
"26","Barendrecht","Barendrecht",203,"GM0489",48688,0.01,0.08,0.02,0,0.06,0,0.42
"27","Barneveld","Barneveld",297,"GM0203",60082,0,0.07,0.01,0,0.02,0,0.49
"28","Beek","Beek",58,"GM0888",15851,0,0.04,0.02,0,0.09,0,0.37
"29","Beekdaelen","Beekdaelen",36,"GM1954",36010,0,0.02,0,0,0,0,0.1
"30","Beemster","Beemster",37,"GM0370",10178,0,0.15,0,0,0.1,0,0.36
"31","Beesel","Beesel",47,"GM0889",13420,0.01,0.12,0,0,0,0,0.35
"32","Berg en Dal","Berg en Dal",107,"GM1945",35001,0,0.12,0.01,0,0.01,0,0.31
"33","Bergeijk","Bergeijk",67,"GM1724",18763,0,0.02,0,0.01,0.02,0,0.36
"34","Bergen (L.)","Bergen (L.)",24,"GM0893",13099,0,0.14,0,0,0,0,0.18
"35","Bergen (NH.)","Bergen (NH.)",117,"GM0373",29712,0,0.08,0.02,0,0.03,0,0.39
"36","Bergen op Zoom","Bergen op Zoom",714,"GM0748",67456,0.01,0.3,0,0,0.07,0,1.06
"37","Berkelland","Berkelland",93,"GM1859",43838,0,0.07,0.01,0,0.03,0,0.21
"38","Bernheze","Bernheze",154,"GM1721",31460,0,0.04,0.01,0,0.05,0,0.49
"39","Best","Best",174,"GM0753",30248,0.01,0.12,0.06,0,0.06,0,0.58
"40","Beuningen","Beuningen",81,"GM0209",26137,0,0.07,0.02,0,0.03,0,0.31
"41","Beverwijk","Beverwijk",165,"GM0375",41874,0,0.08,0,0,0.02,0,0.39
"42","Bladel","Bladel",81,"GM1728",20550,0,0.02,0.02,0,0.05,0,0.39
"43","Blaricum","Blaricum",47,"GM0376",11963,0,0.1,0.04,0,0.03,0,0.39
"44","Bloemendaal","Bloemendaal",239,"GM0377",23473,0,0.42,0.05,0.02,0.07,0,1.02
"45","Bodegraven-Reeuwijk","Bodegraven-Reeuwijk",110,"GM1901",35346,0,0.07,0,0,0.01,0,0.31
"46","Boekel","Boekel",72,"GM0755",10973,0,0.01,0,0.01,0.42,0,0.66
"47","Borger-Odoorn","Borger-Odoorn",46,"GM1681",25624,0,0.08,0.01,0,0.01,0,0.18
"48","Borne","Borne",29,"GM0147",23766,0,0.05,0,0,0,0,0.12
"49","Borsele","Borsele",97,"GM0654",22804,0,0.07,0,0,0.08,0,0.43
"50","Boxmeer","Boxmeer",145,"GM0756",29655,0,0.15,0.08,0,0.07,0,0.49
"51","Boxtel","Boxtel",217,"GM0757",33000,0.02,0.15,0.03,0,0.08,0,0.66
"52","Breda","Breda",1197,"GM0758",184010,0.01,0.1,0.05,0,0.09,0,0.65
"53","Brielle","Brielle",69,"GM0501",17491,0,0.24,0.01,0,0.02,0,0.39
"54","Bronckhorst","Bronckhorst",22,"GM1876",36048,0,0,0,0,0,0,0.06
"55","Brummen","Brummen",65,"GM0213",20866,0,0.13,0.05,0,0,0,0.31
"56","Brunssum","Brunssum",97,"GM0899",27640,0,0.11,0.05,0,0.04,0,0.35
"57","Bunnik","Bunnik",67,"GM0312",15358,0.01,0.05,0.08,0,0.01,0,0.44
"58","Bunschoten","Bunschoten",238,"GM0313",22081,0.01,0.21,0.17,0,0.04,0,1.08
"59","Buren","Buren",64,"GM0214",27070,0,0.07,0,0,0,0,0.24
"60","Capelle aan den IJssel","Capelle aan den IJssel",356,"GM0502",67349,0.03,0.06,0.06,0,0.01,0,0.53
"61","Castricum","Castricum",149,"GM0383",36087,0.01,0.03,0.1,0,0.05,0,0.41
"62","Coevorden","Coevorden",94,"GM0109",35290,0,0.04,0,0.01,0,0,0.27
"63","Cranendonck","Cranendonck",85,"GM1706",21058,0,0.11,0,0,0.02,0,0.4
"64","Cuijk","Cuijk",196,"GM1684",25482,0,0.31,0.05,0.01,0.06,0,0.77
"65","Culemborg","Culemborg",168,"GM0216",29114,0.01,0.24,0.02,0.02,0.03,0.02,0.58
