GemeenteCode,GemeenteNaam,SchoolRegio
GM0003,Appingedam,noord
GM0010,Delfzijl,noord
GM0014,Groningen,noord
GM0024,Loppersum,noord
GM0034,Almere,noord
GM0037,Stadskanaal,noord
GM0047,Veendam,noord
GM0050,Zeewolde,midden
GM0059,Achtkarspelen,noord
GM0060,Ameland,noord
GM0072,Harlingen,noord
GM0074,Heerenveen,noord
GM0080,Leeuwarden,noord
GM0085,Ooststellingwerf,noord
GM0086,Opsterland,noord
GM0088,Schiermonnikoog,noord
GM0090,Smallingerland,noord
GM0093,Terschelling,noord
GM0096,Vlieland,noord
GM0098,Weststellingwerf,noord
GM0106,Assen,noord
GM0109,Coevorden,noord
GM0114,Emmen,noord
GM0118,Hoogeveen,noord
GM0119,Meppel,noord
GM0141,Almelo,noord
GM0147,Borne,noord
GM0148,Dalfsen,noord
GM0150,Deventer,noord
GM0153,Enschede,noord
GM0158,Haaksbergen,noord
GM0160,Hardenberg,noord
GM0163,Hellendoorn,noord
GM0164,Hengelo,noord
GM0166,Kampen,noord
GM0168,Losser,noord
GM0171,Noordoostpolder,noord
GM0173,Oldenzaal,noord
GM0175,Ommen,noord
GM0177,Raalte,noord
GM0180,Staphorst,noord
GM0183,Tubbergen,noord
GM0184,Urk,noord
GM0189,Wierden,noord
GM0193,Zwolle,noord
GM0197,Aalten,midden
GM0200,Apeldoorn,midden
GM0202,Arnhem,zuid
GM0203,Barneveld,midden
GM0209,Beuningen,zuid
GM0213,Brummen,midden
GM0214,Buren,midden
GM0216,Culemborg,midden
GM0221,Doesburg,zuid
GM0222,Doetinchem,midden
GM0225,Druten,zuid
GM0226,Duiven,zuid
GM0228,Ede,midden
GM0230,Elburg,midden
GM0232,Epe,midden
GM0233,Ermelo,midden
GM0243,Harderwijk,midden
GM0244,Hattem,noord
GM0246,Heerde,midden
GM0252,Heumen,zuid
GM0262,Lochem,midden
GM0263,Maasdriel,zuid
GM0267,Nijkerk,midden
GM0268,Nijmegen,zuid
GM0269,Oldebroek,midden
GM0273,Putten,midden
GM0274,Renkum,zuid
GM0275,Rheden,zuid
GM0277,Rozendaal,zuid
GM0279,Scherpenzeel,midden
GM0281,Tiel,midden
GM0285,Voorst,midden
GM0289,Wageningen,midden
GM0293,Westervoort,zuid
GM0294,Winterswijk,midden
GM0296,Wijchen,zuid
GM0297,Zaltbommel,zuid
GM0299,Zevenaar,zuid
GM0301,Zutphen,midden
GM0302,Nunspeet,midden
GM0303,Dronten,noord
GM0307,Amersfoort,midden
GM0308,Baarn,midden
GM0310,De Bilt,midden
GM0312,Bunnik,midden
GM0313,Bunschoten,midden
GM0317,Eemnes,noord
GM0321,Houten,midden
GM0327,Leusden,midden
GM0331,Lopik,midden
GM0335,Montfoort,midden
GM0339,Renswoude,midden
GM0340,Rhenen,midden
GM0342,Soest,midden
GM0344,Utrecht,midden
GM0345,Veenendaal,midden
GM0351,Woudenberg,midden
GM0352,Wijk bij Duurstede,midden
GM0353,IJsselstein,midden
GM0355,Zeist,midden
GM0356,Nieuwegein,midden
GM0358,Aalsmeer,noord
GM0361,Alkmaar,noord
GM0362,Amstelveen,noord
GM0363,Amsterdam,noord
