"statnaam","population","ggd_code","ID"
"Dienst Gezondheid & Jeugd ZHZ",461102,"GG4816",1
"GGD Amsterdam",1070510,"GG3406",2
"GGD Brabant-Zuidoost",784661,"GG5608",3
"GGD Drenthe",494949,"GG0706",4
"GGD Flevoland",429513,"GG2209",5
"GGD Fryslân",651360,"GG7206",6
"GGD Gelderland-Zuid",564303,"GG2014",7
"GGD Gooi en Vechtstreek",259120,"GG3606",8
"GGD Groningen",586253,"GG0111",9
"GGD Haaglanden",1122451,"GG7014",10
"GGD Hart voor Brabant",1079946,"GG5406",11
"GGD Hollands-Midden",815030,"GG4506",12
"GGD Hollands-Noorden",666357,"GG2707",13
"GGD IJsselland",535446,"GG1009",14
"GGD Kennemerland",551659,"GG3109",15
"GGD Limburg-Noord",521974,"GG6011",16
"GGD Noord- en Oost-Gelderland",832010,"GG1413",17
"GGD Regio Twente",631579,"GG1106",18
"GGD Regio Utrecht",1361544,"GG2514",19
"GGD Rotterdam-Rijnmond",1329891,"GG4607",20
"GGD West-Brabant",710930,"GG5206",21
"GGD Zaanstreek/Waterland",339800,"GG7306",22
"GGD Zeeland",385448,"GG5006",23
"GGD Zuid-Limburg",593618,"GG6106",24
"Veiligheids- en Gezondheidsregio Gelderland-Midden",701844,"GG1911",25
