name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Aa en Hunze,VR03,GM1680,2106,2899,2001,2158,3085,4267,4213,3145,1361,210
Aalsmeer,VR13,GM0358,3360,4363,3177,3451,4716,5056,3314,2912,1283,227
Aalten,VR06,GM0197,2558,3348,2698,2665,3388,4354,3741,2898,1233,238
Achtkarspelen,VR02,GM0059,3013,3741,2969,3047,3659,3960,3597,2611,1079,167
Alblasserdam,VR18,GM0482,2566,2633,2362,2309,2392,2833,2070,1909,900,191
Albrandswaard,VR17,GM0613,2830,3388,2273,2895,3928,4110,3024,2133,847,162
Alkmaar,VR10,GM0361,11118,11857,13129,14110,14429,15845,14021,10076,4076,775
Almelo,VR05,GM0141,7242,9067,8627,8707,9705,10745,8776,6740,2966,532
Almere,VR25,GM0034,25944,27644,27607,30952,29266,32045,23266,10809,3690,670
Alphen-Chaam,VR20,GM1723,991,1132,981,1012,1209,1715,1527,1104,473,59
Alphen aan den Rijn,VR16,GM0484,11911,13388,13013,13824,14772,16454,13570,10173,4102,690
Altena,VR20,GM1959,6271,7177,6259,6363,6936,8320,6853,5271,2137,380
Ameland,VR02,GM0060,356,386,463,412,445,532,509,436,144,33
Amersfoort,VR09,GM0307,18403,20386,18856,21449,22114,23586,16085,10741,4614,1042
Amstelveen,VR13,GM0362,10888,10152,11339,12342,12199,11885,9788,7609,4373,1100
Amsterdam,VR13,GM0363,86250,80394,167372,160548,113396,108788,81930,50468,19627,3984
Apeldoorn,VR06,GM0200,16379,19169,18438,18832,21166,24345,20856,16254,6966,1413
Appingedam,VR01,GM0003,1017,1352,1078,1154,1414,1771,1722,1385,645,104
Arnhem,VR07,GM0202,16528,17896,25865,23048,22239,22016,16890,11148,4704,1014
Assen,VR03,GM0106,6740,8708,7359,7924,9147,10278,8677,6354,2852,560
Asten,VR22,GM0743,1536,1998,1860,1789,1951,2653,2314,1775,758,87
Baarle-Nassau,VR20,GM0744,619,676,586,733,803,1077,999,906,403,57
Baarn,VR09,GM0308,2538,2795,2213,2613,3123,3857,3343,2739,1342,305
Barendrecht,VR17,GM0489,5446,6975,4633,5155,7215,7772,5425,4014,1770,309
Barneveld,VR07,GM0203,8531,8371,7644,7226,6674,7653,5944,4488,2129,422
Beek (L.),VR24,GM0888,1265,1534,1600,1625,1770,2680,2430,1891,930,140
Beekdaelen,VR24,GM1954,2981,3508,3376,3613,4216,5945,5565,4455,1953,326
