,Municipality_code,Municipality_name,population
0,GM1979,Eemsdelta,45606
1,GM0003,Appingedam,11508
2,GM0010,Delfzijl,24622
3,GM0014,Groningen,233456
4,GM0024,Loppersum,9476
5,GM0034,Almere,214551
6,GM0037,Stadskanaal,31702
7,GM0047,Veendam,27416
8,GM0050,Zeewolde,22836
9,GM0059,Achtkarspelen,27881
10,GM0060,Ameland,3747
11,GM0072,Harlingen,15835
12,GM0074,Heerenveen,50626
13,GM0080,Leeuwarden,124517
14,GM0085,Ooststellingwerf,25437
15,GM0086,Opsterland,29812
16,GM0088,Schiermonnikoog,936
17,GM0090,Smallingerland,56060
18,GM0093,Terschelling,4883
19,GM0096,Vlieland,1200
20,GM0098,Weststellingwerf,26112
21,GM0106,Assen,68812
22,GM0109,Coevorden,35309
23,GM0114,Emmen,106984
24,GM0118,Hoogeveen,55604
25,GM0119,Meppel,34324
26,GM0141,Almelo,73180
27,GM0147,Borne,23637
28,GM0148,Dalfsen,28919
29,GM0150,Deventer,101100
30,GM0153,Enschede,159872
31,GM0158,Haaksbergen,24237
32,GM0160,Hardenberg,61327
33,GM0163,Hellendoorn,35903
34,GM0164,Hengelo,81099
35,GM0166,Kampen,54438
36,GM0168,Losser,22867
37,GM0171,Noordoostpolder,47597
38,GM0173,Oldenzaal,31734
39,GM0175,Ommen,18272
40,GM0177,Raalte,37920
41,GM0180,Staphorst,17276
42,GM0183,Tubbergen,21322
43,GM0184,Urk,21208
44,GM0189,Wierden,24532
45,GM0193,Zwolle,129697
46,GM0197,Aalten,27133
47,GM0200,Apeldoorn,164717
48,GM0202,Arnhem,162353
49,GM0203,Barneveld,59938
50,GM0209,Beuningen,26159
51,GM0213,Brummen,20867
52,GM0214,Buren,26997
53,GM0216,Culemborg,29132
54,GM0221,Doesburg,11061
55,GM0222,Doetinchem,58227
56,GM0225,Druten,18980
57,GM0226,Duiven,25072
58,GM0228,Ede,118538
59,GM0230,Elburg,23443
60,GM0232,Epe,33198
61,GM0233,Ermelo,27044
62,GM0243,Harderwijk,48657
63,GM0244,Hattem,12235
64,GM0246,Heerde,18744
65,GM0252,Heumen,16579
66,GM0262,Lochem,33907
67,GM0263,Maasdriel,25441
68,GM0267,Nijkerk,43577
69,GM0268,Nijmegen,177463
70,GM0269,Oldebroek,23749
71,GM0273,Putten,24384
72,GM0274,Renkum,31413
73,GM0275,Rheden,43565
74,GM0277,Rozendaal,1718
75,GM0279,Scherpenzeel,10110
76,GM0281,Tiel,41899
77,GM0285,Voorst,24762
78,GM0289,Wageningen,39719
79,GM0293,Westervoort,15017
80,GM0294,Winterswijk,29007
81,GM0296,Wijchen,41259
82,GM0297,Zaltbommel,29436
83,GM0299,Zevenaar,44085
84,GM0301,Zutphen,48105
85,GM0302,Nunspeet,28017
86,GM0303,Dronten,41936
87,GM0307,Amersfoort,157547
88,GM0308,Baarn,24844
