Security_region_code,Security_region_name,Aantal_locaties
VR01,Groningen,80
VR02,Fryslân,128
VR03,Drenthe,99
VR04,IJsselland,86
VR05,Twente,114
VR06,Noord- en Oost-Gelderland,157
VR07,Gelderland-Midden,117
VR08,Gelderland-Zuid,81
VR09,Utrecht,187
VR10,Noord-Holland-Noord,105
VR11,Zaanstreek-Waterland,35
VR12,Kennemerland,69
VR13,Amsterdam-Amstelland,84
VR14,Gooi en Vechtstreek,48
VR15,Haaglanden,117
VR16,Hollands-Midden,97
VR17,Rotterdam-Rijnmond,147
VR18,Zuid-Holland-Zuid,58
VR19,Zeeland,85
VR20,Midden- en West-Brabant,161
VR21,Brabant-Noord,90
VR22,Brabant-Zuidoost,101
VR23,Limburg-Noord,78
VR24,Limburg-Zuid,98
VR25,Flevoland,29
