Province,Jaar,aantal
Groningen,1995,557995
Groningen,1996,558113
Groningen,1997,558124
Groningen,1998,558017
Groningen,1999,559988
Groningen,2000,562646
Groningen,2001,566489
Groningen,2002,570480
Groningen,2003,572997
Groningen,2004,574384
Groningen,2005,575072
Groningen,2006,574042
Groningen,2007,573614
Groningen,2008,573459
Groningen,2009,574092
Groningen,2010,576668
Groningen,2011,579036
Groningen,2012,580875
Groningen,2013,581705
Groningen,2014,582728
Groningen,2015,583942
Groningen,2016,583721
Groningen,2017,583581
Groningen,2018,582944
Groningen,2019,583990
Groningen,2020,585866
Friesland,1995,609579
Friesland,1996,612028
Friesland,1997,615045
Friesland,1998,618115
Friesland,1999,621222
Friesland,2000,624500
Friesland,2001,630539
Friesland,2002,636184
Friesland,2003,639787
Friesland,2004,642066
Friesland,2005,642977
Friesland,2006,642230
Friesland,2007,642209
Friesland,2008,643189
Friesland,2009,644811
Friesland,2010,646305
Friesland,2011,647282
Friesland,2012,647214
Friesland,2013,646862
Friesland,2014,646317
Friesland,2015,646257
Friesland,2016,646040
Friesland,2017,646874
Friesland,2018,647268
Friesland,2019,647672
Friesland,2020,649957
Drenthe,1995,454864
Drenthe,1996,457316
Drenthe,1997,460817
Drenthe,1998,464672
Drenthe,1999,467093
Drenthe,2000,469806
Drenthe,2001,474506
Drenthe,2002,478799
Drenthe,2003,481254
Drenthe,2004,482415
Drenthe,2005,483369
Drenthe,2006,484481
Drenthe,2007,486197
Drenthe,2008,488135
Drenthe,2009,489918
Drenthe,2010,490981
Drenthe,2011,491411
Drenthe,2012,490807
Drenthe,2013,489918
Drenthe,2014,488988
Drenthe,2015,488576
Drenthe,2016,488629
Drenthe,2017,491792
Drenthe,2018,492100
Drenthe,2019,492167
Drenthe,2020,493682
Overijssel,1995,1050389
Overijssel,1996,1053966
Overijssel,1997,1057944
Overijssel,1998,1063527
Overijssel,1999,1070444
Overijssel,2000,1077625
Overijssel,2001,1086280
Overijssel,2002,1094032
Overijssel,2003,1100677
Overijssel,2004,1105512
Overijssel,2005,1109432
Overijssel,2006,1113529
Overijssel,2007,1116374
Overijssel,2008,1119994
Overijssel,2009,1125435
Overijssel,2010,1130345
Overijssel,2011,1134465
Overijssel,2012,1137668
Overijssel,2013,1139350
Overijssel,2014,1139697
Overijssel,2015,1140652
Overijssel,2016,1144280
Overijssel,2017,1147687
Overijssel,2018,1151501
Overijssel,2019,1156431
Overijssel,2020,1162406
Flevoland,1995,262325
Flevoland,1996,272843
Flevoland,1997,281472
Flevoland,1998,293286
Flevoland,1999,306468
Flevoland,2000,317206
Flevoland,2001,328936
Flevoland,2002,341721
Flevoland,2003,351680
Flevoland,2004,359904
Flevoland,2005,365859
Flevoland,2006,370656
Flevoland,2007,374424
Flevoland,2008,378688
Flevoland,2009,383449
Flevoland,2010,387881
Flevoland,2011,391967
Flevoland,2012,395525
Flevoland,2013,398441
Flevoland,2014,399893
Flevoland,2015,401791
Flevoland,2016,404068
Flevoland,2017,407818
Flevoland,2018,411670
Flevoland,2019,416546
Flevoland,2020,423021
Gelderland,1995,1864732
Gelderland,1996,1876299
Gelderland,1997,1886109
Gelderland,1998,1895656
Gelderland,1999,1906778
Gelderland,2000,1919158
Gelderland,2001,1934314
Gelderland,2002,1949233
Gelderland,2003,1960422
Gelderland,2004,1966929
Gelderland,2005,1972010
Gelderland,2006,1975704
Gelderland,2007,1979059
Gelderland,2008,1983869
Gelderland,2009,1991062
Gelderland,2010,1998936
Gelderland,2011,2004671
Gelderland,2012,2010745
Gelderland,2013,2015791
Gelderland,2014,2019692
Gelderland,2015,2026578
Gelderland,2016,2035351
Gelderland,2017,2047901
Gelderland,2018,2060103
Gelderland,2019,2071972
Gelderland,2020,2085952
Utrecht,1995,1063460
Utrecht,1996,1070585
Utrecht,1997,1079428
Utrecht,1998,1088621
Utrecht,1999,1098722
Utrecht,2000,1107849
Utrecht,2001,1117997
Utrecht,2002,1139925
Utrecht,2003,1152218
Utrecht,2004,1162258
Utrecht,2005,1171291
Utrecht,2006,1180039
Utrecht,2007,1190604
Utrecht,2008,1201350
Utrecht,2009,1210869
Utrecht,2010,1220910
Utrecht,2011,1228794
Utrecht,2012,1237117
Utrecht,2013,1245294
Utrecht,2014,1253672
Utrecht,2015,1263572
Utrecht,2016,1273613
Utrecht,2017,1284504
Utrecht,2018,1295484
Utrecht,2019,1342158
Utrecht,2020,1354834
Noord-Holland,1995,2463611
Noord-Holland,1996,2468432
Noord-Holland,1997,2474754
Noord-Holland,1998,2486105
Noord-Holland,1999,2503158
Noord-Holland,2000,2518354
Noord-Holland,2001,2534599
Noord-Holland,2002,2559477
Noord-Holland,2003,2573120
Noord-Holland,2004,2587265
Noord-Holland,2005,2599103
Noord-Holland,2006,2606584
Noord-Holland,2007,2613070
Noord-Holland,2008,2626163
Noord-Holland,2009,2646445
Noord-Holland,2010,2669084
Noord-Holland,2011,2691477
Noord-Holland,2012,2709822
Noord-Holland,2013,2724300
Noord-Holland,2014,2741369
Noord-Holland,2015,2761929
Noord-Holland,2016,2784854
Noord-Holland,2017,2809483
Noord-Holland,2018,2831182
Noord-Holland,2019,2853359
Noord-Holland,2020,2879527
Zuid-Holland,1995,3325064
Zuid-Holland,1996,3332860
Zuid-Holland,1997,3344695
Zuid-Holland,1998,3359047
Zuid-Holland,1999,3378770
Zuid-Holland,2000,3397744
Zuid-Holland,2001,3420700
Zuid-Holland,2002,3423780
Zuid-Holland,2003,3439982
Zuid-Holland,2004,3451942
Zuid-Holland,2005,3458381
Zuid-Holland,2006,3458875
Zuid-Holland,2007,3455097
Zuid-Holland,2008,3461435
Zuid-Holland,2009,3481558
Zuid-Holland,2010,3505611
Zuid-Holland,2011,3528324
Zuid-Holland,2012,3552407
Zuid-Holland,2013,3563935
Zuid-Holland,2014,3577032
Zuid-Holland,2015,3600011
Zuid-Holland,2016,3622303
Zuid-Holland,2017,3650222
Zuid-Holland,2018,3681044
Zuid-Holland,2019,3673893
Zuid-Holland,2020,3708696
Zeeland,1995,365846
Zeeland,1996,367354
Zeeland,1997,368426
Zeeland,1998,369949
Zeeland,1999,370571
Zeeland,2000,371866
Zeeland,2001,374920
Zeeland,2002,377235
Zeeland,2003,378348
Zeeland,2004,379028
Zeeland,2005,379978
Zeeland,2006,380186
Zeeland,2007,380497
Zeeland,2008,380585
Zeeland,2009,380984
Zeeland,2010,381409
Zeeland,2011,381530
Zeeland,2012,381407
Zeeland,2013,381077
Zeeland,2014,380621
Zeeland,2015,380726
Zeeland,2016,381252
Zeeland,2017,381568
Zeeland,2018,382304
Zeeland,2019,383032
Zeeland,2020,383488
Noord-Brabant,1995,2276207
Noord-Brabant,1996,2290424
Noord-Brabant,1997,2304094
Noord-Brabant,1998,2319262
Noord-Brabant,1999,2337709
Noord-Brabant,2000,2356004
Noord-Brabant,2001,2375116
Noord-Brabant,2002,2391123
Noord-Brabant,2003,2400198
Noord-Brabant,2004,2406994
Noord-Brabant,2005,2411359
Noord-Brabant,2006,2415946
Noord-Brabant,2007,2419042
Noord-Brabant,2008,2424827
Noord-Brabant,2009,2434560
Noord-Brabant,2010,2444158
Noord-Brabant,2011,2454215
Noord-Brabant,2012,2463686
Noord-Brabant,2013,2471011
Noord-Brabant,2014,2479274
Noord-Brabant,2015,2488751
Noord-Brabant,2016,2498749
Noord-Brabant,2017,2512531
Noord-Brabant,2018,2528286
Noord-Brabant,2019,2544806
Noord-Brabant,2020,2562955
Limburg,1995,1130050
Limburg,1996,1133669
Limburg,1997,1136199
Limburg,1998,1137935
Limburg,1999,1139302
Limburg,2000,1141192
Limburg,2001,1142679
Limburg,2002,1143296
Limburg,2003,1141889
Limburg,2004,1139335
Limburg,2005,1136695
Limburg,2006,1131938
Limburg,2007,1127805
Limburg,2008,1123705
Limburg,2009,1122604
Limburg,2010,1122701
Limburg,2011,1122627
Limburg,2012,1123075
Limburg,2013,1121891
Limburg,2014,1120006
Limburg,2015,1117941
Limburg,2016,1116260
Limburg,2017,1117546
Limburg,2018,1117198
Limburg,2019,1116137
Limburg,2020,1117201
