"","Security_region_code","Security_region_name","population"
"1","VR13","Amsterdam-Amstelland",1071316
"2","VR21","Brabant-Noord",659533
"3","VR22","Brabant-Zuidoost",784369
"4","VR03","Drenthe",494760
"5","VR25","Flevoland",428264
"6","VR02","Fryslân",651459
"7","VR07","Gelderland-Midden",701322
"8","VR08","Gelderland-Zuid",563979
"9","VR14","Gooi en Vechtstreek",259049
"10","VR01","Groningen",586813
"11","VR15","Haaglanden",1121614
"12","VR16","Hollands-Midden",814421
"13","VR04","IJsselland",534778
"14","VR12","Kennemerland",551800
"15","VR23","Limburg-Noord",521683
"16","VR24","Limburg-Zuid",594212
"17","VR20","Midden- en West-Brabant",1129951
"18","VR06","Noord- en Oost-Gelderland",831319
"19","VR10","Noord-Holland-Noord",665816
"20","VR17","Rotterdam-Rijnmond",1329136
"21","VR05","Twente",631700
"22","VR09","Utrecht",1361093
"23","VR11","Zaanstreek-Waterland",339925
"24","VR19","Zeeland",385379
"25","VR18","Zuid-Holland-Zuid",461002
