"","LeeftijdOp31December","Week","2001","2002","2003","2004","2005","2006","2013","2014","2015","2016","2017","2018","2019","2020","Average20152019","Average20132017","Average20012005","excess_death","excess_flu","excess_heatwave"
"1","Totaal","01",3323.43124680406,2727.03160484276,2302.57791041473,2034.09154318309,3066.28051128188,2927.62806404473,2646.50505152842,2063.3499371245,1968.07438923038,3254.38101621285,3637.57675479101,3388.43624767797,2625.9703487347,2245,2974.88775132938,2713.97742977743,2690.6825633053,-730,674.458817900536,236.945500739424
"2","Totaal","02",3106.66205043762,3400.67977685586,3212.42420289995,3570.10379854093,2998.9953589967,3021.44862836954,3152.97346923268,2917.0428649719,3533.2602516602,3153.86751492421,3707.92226938759,3404.65371102312,3286.99742040392,3364,3417.34023347981,3293.01327403532,3257.77303754621,-53,111.640436987808,-236.324409176672
"3","Totaal","03",3166.5731348605,3278.49319027884,3205.97139231495,3272.32736409917,3038.51203573561,2953.21549067877,3124.95165104003,2835.29529975984,3479.67916881204,3140.53409128388,3554.9972376559,3409.72166831848,3176.15446631304,3154,3352.21732647667,3227.09148971034,3192.37542345782,-198,182.630178608144,-239.15993277905
"4","Totaal","04",3301.64539792301,3329.31415991707,3186.61296055994,3128.79483814523,3004.3354504479,2928.69420682114,3198.63865443553,2804.25192056539,3454.94943826673,3283.09915943818,3696.7077670606,3367.15082703746,3203.36137322626,3045,3401.05371300585,3287.52938795329,3190.14056139863,-356,79.6214390841692,-261.446354577487
"5","Totaal","05",3189.44827618561,3176.85125100239,3033.89644338157,3113.7989025978,3103.66115144032,3025.71319947521,3312.80161744263,2802.18236195243,3423.00686964572,3182.58565814954,3643.69375606028,3449.25173522229,3163.05484446594,3162,3372.31857270875,3272.85405265012,3123.53120492154,-210,176.397682572174,-97.8180054463251
"6","Totaal","06",3116.46568243409,3091.42877012111,2952.16084263822,2946.70133506934,3205.12288901321,3005.45648672326,3261.94720664856,2954.29492000524,3371.48659767634,3113.86724400322,3513.19772898258,3560.74679572022,3207.39202610229,3193,3353.33807849693,3242.95873946319,3062.37590385519,-160,317.788056257037,-56.9194171319295
"7","Totaal","07",3007.53643802885,3003.84369478715,2942.48162676071,2883.50417811947,3304.44859000562,3028.91162780447,3147.78424364145,2893.24294092282,3411.67240981245,3104.63641225222,3483.63222284779,3709.74474020382,3278.93611465185,3198,3397.72437995363,3208.19364589535,3028.36290554036,-200,501.551094308473,0.54872226410771
"8","Totaal","08",2924.75021228086,3197.39589830295,3143.5942233266,2941.3456438024,3414.45447390044,3044.90376945074,3332.52067468932,2848.7474307441,3483.80079056959,3404.12562017348,3392.89670402032,3741.16607543505,3244.67556520558,2958,3453.33295108081,3292.41824403936,3124.30809032265,-495,448.747831395691,-79.4043208719072
"9","Totaal","09",2994.46492870022,3493.67133832155,3248.99012954829,2915.6383257211,3578.92929059756,3070.49119608478,3289.96902484121,2807.35625848484,3304.51024411614,3266.68879188085,3213.46466678847,3990.50957436679,3088.48776625935,3096,3372.73220868232,3176.3977972223,3246.33880257774,-277,814.111777144483,-175.84760649296
"10","Totaal","10",3154.59091797593,3260.11113743097,3216.72607662328,2913.49604921432,3499.89593711972,3113.13690714151,3417.62397438553,2859.09522380892,3319.96632570696,3231.81676082153,3113.55364605711,4147.61625052296,3196.3077306932,3104,3401.85214276035,3188.41118615601,3208.96402367285,-298,959.205064366952,-95.8271165313304
"11","Totaal","11",3063.09035267552,3339.04583495418,3208.12232917661,2837.4452332238,3299.10849855442,2944.68634846742,3154.01131435093,2866.33867895429,3179.83118595024,3140.53409128388,2898.4391014212,3783.73691671608,3249.71388130062,3216,3250.45103533441,3047.83087439211,3149.36244971691,-34,735.906042323973,-204.676101249486
"12","Totaal","12",3090.32266377683,3176.85125100239,3116.70751255576,2934.91881428207,3162.40215740357,3113.13690714151,3152.97346923268,2754.58251385427,3144.79740101106,3105.66206022456,2832.17158767081,3476.61870461724,3066.31917544118,3613,3125.11378579297,2998.03740639868,3096.24047980412,488,478.581298218565,16.8964273373908
"13","Totaal","13",3021.69723980153,3139.0058480803,3133.91500744909,2826.73385068992,2953.07057251634,3056.63133999134,3183.07097766183,2783.55633443576,3177.77037507146,3114.89289197556,2905.57560290202,3268.83245550746,3036.08927887094,4458,3100.63212086549,3032.97323640932,3014.88450370744,1357,235.85921909814,41.7468362839058
"14","Totaal","14",3043.48308868258,3022.22574763502,3170.48093409744,2938.13222904224,2851.60883494344,2821.01378640289,3086.55138166491,2801.14758264595,2925.32104242149,3087.20039672256,2817.89858470918,3081.31803557913,2920.20800868502,5084,2966.38921362348,2943.62379763282,3005.18616688014,2118,137.69423794631,-184.172380477248
"15","Totaal","15",2997.73280603237,3107.64822851629,2936.02881617571,2742.1139286723,2792.86782898019,2924.42963571547,3174.76821671586,2682.14796240055,2975.81090895149,2837.96793944563,2864.79559444023,2898.87157294615,2924.23866156106,4978,2900.33693546891,2907.09812439075,2915.27832167537,2078,-8.22655144459668,9.15131404009753
"16","Totaal","16",2821.26743009587,3003.84369478715,3144.66969175743,2836.37409497041,2740.53493275838,2861.52721190679,2967.19919306657,2699.73921061074,2980.96293614842,2821.5575718883,2765.90407392041,2797.51242703895,3059.26553290812,4299,2885.04050838084,2847.07259712689,2909.33796887385,1414,-49.5601700879415,-47.8107569670588
"17","Totaal","17",2954.16110827027,3006.00628923984,3058.63221729074,2721.76230185794,2702.0862743097,2746.38379205361,2830.20363745804,2700.77398991722,2915.01698802761,2812.3267401373,2832.17158767081,2699.19405550895,2978.65247538748,3905,2847.47236934643,2818.0985886422,2888.5296381937,1058,-118.904533133242,-142.145846140088
"18","Totaal","18",2924.75021228086,2852.46208309881,2771.48214625817,2729.26026963165,2738.3988961779,2728.2593648545,2656.88350271089,2615.92208678572,2755.30414492253,2824.63451580529,2822.99608576691,2680.94940924566,2827.50299253629,3378,2782.27742965534,2735.14806719827,2803.27072148948,596,-54.1986579526115,-75.0113566349787
"19","Totaal","19",2983.57200425969,2800.55981623424,2746.746372349,2629.6444120666,2746.94304249982,2762.37593369989,2752.36525358956,2709.05222436907,2824.3413093615,3027.71281432724,2856.63959274788,2676.89504340937,2793.24244309002,2982,2835.7662405872,2834.02223887905,2781.49312948187,146,-157.127195469683,-19.1171957819856
"20","Totaal","20",3005.35785314074,2832.99873302459,2753.199182934,2745.32734343246,2749.07907908031,2612.0498022249,2668.2997990116,2711.12178298204,2803.73320057375,2739.50573410165,2855.62009253633,2641.41934234185,2842.61794082141,2773,2776.579262075,2755.65612184107,2817.19243832242,-4,-114.236779499228,-205.142636097521
"21","Totaal","21",2912.76799539628,2762.71441331215,2785.46323585901,2677.84563346904,2843.06468862151,2504.36938180665,2593.57495049785,2648.00024528665,2644.02035746867,2782.58294893964,2826.05458640154,2710.34356155875,2895.01642820983,2769,2771.60357651568,2698.84661771887,2796.3711933316,-3,11.4969438398762,-292.00181152495
"22","Totaal","22",2965.0540327108,2855.70597477784,2806.97260447568,2687.48587774953,2627.32499399283,2563.00723450966,2699.43515255899,2598.33083857553,2740.8784687711,2750.78786179731,2753.67007138188,2813.7298903841,2750.92058789169,2724,2761.99737604522,2708.62047861696,2788.50869674134,-38,105.109411767136,-225.50146223168
"23","Totaal","23",2811.4637980994,2874.08802762571,3068.31143316825,2661.77855966823,2538.67947590283,2677.08451158642,2674.52686972107,2585.91348689775,2673.90211521091,2653.35130442567,2675.16855509294,2715.41151885411,2754.95124076772,2682,2694.55694687027,2652.57246626967,2790.86425889288,-13,62.839052584437,-113.779747306466
"24","Totaal","24",2963.96474026675,2730.27549652179,2674.68998748315,2870.65051907882,2711.69843892187,2859.39492635395,2592.53710537961,2512.44415613755,2761.48657755886,2687.19768751266,2694.53905911229,2591.75336084731,2667.28454071403,2691,2680.45224514903,2649.64091714019,2790.25583645448,11,-57.8875562928806,69.1390898994773
"25","Totaal","25",2815.82096787561,2881.65710821013,2649.95421357398,2573.94522289045,2971.22688345043,2693.07665323269,2635.08875522771,2526.9310664283,2636.80751939295,2663.607784149,2678.22705572758,2636.35138504649,2712.62938556939,2691,2665.52462597708,2628.13243618511,2778.52087920012,25,8.21894886137716,-85.4442259674256
"26","Totaal","26",2922.57162739275,2763.7957105385,2732.76528274816,2615.71961477256,2679.65789021464,2548.0812356398,2587.34787978837,2569.35701799405,2624.4426541203,2675.915559817,2743.47506926643,2654.59603130978,2857.73288910653,2659,2711.23244072401,2640.10763619723,2742.90202513332,-52,14.4883951125521,-194.820789493522
"27","Totaal","27",2996.64351358832,2776.77127725464,2572.52048655396,2628.57327381321,2458.57810413476,2902.04063741069,2628.86168451823,2745.26950009593,2934.59469137598,2762.06998949298,2749.5920705357,2763.05031743049,2745.88227179665,2635,2791.03786812636,2764.07758720376,2686.61733106898,-156,-1.02726977326893,215.423306341707
"28","Totaal","28",2695.99879902984,2755.14533272773,2619.84109751064,2670.34766569533,2544.01956735404,2673.88608325716,2554.13683600449,2658.34803835147,2665.65887169581,2694.37722331899,2569.14053309231,2707.30278718153,2782.15814768094,2612,2683.72751259392,2628.33230049261,2657.07049246352,-72,78.9704866889169,16.815590793648
"29","Totaal","29",2619.74832794617,2703.24306586316,2926.34960029821,2569.6606698769,2484.21054310054,3016.11791448745,2582.15865419714,2906.69507190708,2645.05076290806,2823.60886783296,2726.14356567017,2740.75130533091,2605.81708435454,2523,2708.27431721933,2736.73138450308,2660.642441417,-185,4.01992082782726,355.475473070451
"30","Totaal","30",2743.92766656815,2824.34835521383,2745.67090391817,2540.73993703543,2475.66639677861,3247.47089697022,2827.0901021033,2751.47817593482,2625.47305955969,2607.19714567068,2621.13504388108,2804.60756725245,3029.03563633788,2669,2737.48969054036,2686.47470542992,2666.07065190284,-68,118.132861822535,581.400245067385
