date,17-9-2020,16-9-2020
27-2-2020,2,2
28-2-2020,3,3
29-2-2020,1,1
1-3-2020,7,6
2-3-2020,10,9
3-3-2020,8,6
4-3-2020,10,8
5-3-2020,12,10
6-3-2020,18,14
7-3-2020,7,6
8-3-2020,17,13
9-3-2020,26,20
10-3-2020,28,22
11-3-2020,43,39
12-3-2020,55,51
13-3-2020,73,64
14-3-2020,62,52
15-3-2020,70,60
16-3-2020,139,125
17-3-2020,142,127
18-3-2020,172,155
19-3-2020,249,214
20-3-2020,236,203
21-3-2020,198,184
22-3-2020,236,219
23-3-2020,441,395
24-3-2020,419,392
25-3-2020,432,420
26-3-2020,433,418
27-3-2020,556,522
28-3-2020,293,287
29-3-2020,252,238
30-3-2020,436,395
31-3-2020,307,288
1-4-2020,310,281
2-4-2020,350,315
3-4-2020,330,293
4-4-2020,185,177
5-4-2020,224,204
6-4-2020,321,286
7-4-2020,204,191
8-4-2020,206,189
9-4-2020,187,170
10-4-2020,203,193
11-4-2020,132,130
12-4-2020,135,121
13-4-2020,166,147
14-4-2020,163,146
15-4-2020,117,106
16-4-2020,114,104
17-4-2020,137,135
18-4-2020,78,72
19-4-2020,82,75
20-4-2020,109,99
21-4-2020,116,105
22-4-2020,89,81
23-4-2020,95,88
24-4-2020,78,76
25-4-2020,44,39
26-4-2020,43,38
27-4-2020,60,55
28-4-2020,90,83
29-4-2020,58,55
30-4-2020,62,57
1-5-2020,51,49
2-5-2020,27,26
3-5-2020,36,35
4-5-2020,58,57
5-5-2020,28,28
6-5-2020,60,52
7-5-2020,46,44
8-5-2020,53,53
9-5-2020,29,29
10-5-2020,26,22
11-5-2020,44,41
12-5-2020,25,23
13-5-2020,37,34
14-5-2020,24,22
15-5-2020,31,31
16-5-2020,18,16
17-5-2020,31,28
18-5-2020,37,35
19-5-2020,17,15
20-5-2020,31,29
21-5-2020,14,14
22-5-2020,32,28
23-5-2020,12,12
24-5-2020,19,18
25-5-2020,34,33
26-5-2020,26,25
27-5-2020,17,18
28-5-2020,16,14
29-5-2020,24,23
30-5-2020,20,20
31-5-2020,12,7
1-6-2020,15,12
2-6-2020,23,18
3-6-2020,17,16
4-6-2020,14,13
5-6-2020,9,9
6-6-2020,3,3
7-6-2020,4,3
8-6-2020,11,9
9-6-2020,9,9
10-6-2020,5,5
11-6-2020,14,14
12-6-2020,8,7
13-6-2020,4,4
14-6-2020,3,2
15-6-2020,5,5
16-6-2020,8,7
17-6-2020,7,6
18-6-2020,3,2
19-6-2020,3,3
20-6-2020,4,4
21-6-2020,4,4
22-6-2020,7,7
23-6-2020,6,6
24-6-2020,4,3
25-6-2020,8,8
26-6-2020,3,3
27-6-2020,1,0
28-6-2020,4,4
29-6-2020,7,8
30-6-2020,2,2
1-7-2020,3,3
2-7-2020,4,4
3-7-2020,7,4
4-7-2020,0,0
5-7-2020,2,1
6-7-2020,2,2
7-7-2020,3,3
8-7-2020,3,3
9-7-2020,6,3
10-7-2020,6,5
11-7-2020,2,2
12-7-2020,3,3
13-7-2020,4,4
14-7-2020,5,5
15-7-2020,2,1
16-7-2020,2,2
17-7-2020,6,5
18-7-2020,5,4
19-7-2020,7,4
20-7-2020,4,3
21-7-2020,6,8
22-7-2020,3,3
23-7-2020,9,8
24-7-2020,10,9
25-7-2020,9,8
26-7-2020,3,3
27-7-2020,4,5
28-7-2020,9,9
29-7-2020,4,4
30-7-2020,15,11
31-7-2020,10,10
1-8-2020,6,7
2-8-2020,9,9
3-8-2020,15,11
4-8-2020,8,8
5-8-2020,7,7
6-8-2020,9,9
7-8-2020,13,12
8-8-2020,15,14
9-8-2020,14,14
10-8-2020,15,12
11-8-2020,25,23
12-8-2020,16,16
13-8-2020,18,17
14-8-2020,11,12
15-8-2020,14,14
16-8-2020,15,14
17-8-2020,17,14
18-8-2020,9,10
19-8-2020,15,12
20-8-2020,22,19
21-8-2020,17,15
22-8-2020,10,10
23-8-2020,13,13
24-8-2020,10,10
25-8-2020,18,17
26-8-2020,11,9
27-8-2020,6,6
28-8-2020,11,10
29-8-2020,2,3
30-8-2020,8,8
31-8-2020,12,11
1-9-2020,12,12
2-9-2020,15,15
3-9-2020,7,9
4-9-2020,14,12
5-9-2020,12,11
6-9-2020,18,18
7-9-2020,24,21
8-9-2020,18,17
9-9-2020,22,20
10-9-2020,13,12
11-9-2020,36,33
12-9-2020,17,18
13-9-2020,18,17
14-9-2020,34,30
15-9-2020,24,19
16-9-2020,12,1
17-9-2020,0,NA
