Week,Jaar,Sample_size,Variant_name,Variant_cases,Date_of_statistics_week_start,Variant_code
1,2021,357,Alpha,45,4-1-2021,B.1.1.7
2,2021,303,Alpha,61,11-1-2021,B.1.1.7
3,2021,645,Alpha,157,18-1-2021,B.1.1.7
4,2021,837,Alpha,224,25-1-2021,B.1.1.7
5,2021,902,Alpha,286,1-2-2021,B.1.1.7
6,2021,964,Alpha,396,8-2-2021,B.1.1.7
7,2021,1041,Alpha,647,15-2-2021,B.1.1.7
8,2021,1028,Alpha,787,22-2-2021,B.1.1.7
9,2021,1514,Alpha,1265,1-3-2021,B.1.1.7
10,2021,1974,Alpha,1725,8-3-2021,B.1.1.7
11,2021,1561,Alpha,1400,15-3-2021,B.1.1.7
12,2021,1600,Alpha,1494,22-3-2021,B.1.1.7
13,2021,1710,Alpha,1618,29-3-2021,B.1.1.7
14,2021,1507,Alpha,1437,5-4-2021,B.1.1.7
15,2021,1620,Alpha,1565,12-4-2021,B.1.1.7
16,2021,1543,Alpha,1484,19-4-2021,B.1.1.7
17,2021,1723,Alpha,1674,26-4-2021,B.1.1.7
18,2021,1665,Alpha,1611,3-5-2021,B.1.1.7
19,2021,1635,Alpha,1579,10-5-2021,B.1.1.7
20,2021,1361,Alpha,1308,17-5-2021,B.1.1.7
21,2021,1269,Alpha,1223,24-5-2021,B.1.1.7
22,2021,1179,Alpha,1102,31-5-2021,B.1.1.7
23,2021,578,Alpha,501,7-6-2021,B.1.1.7
1,2021,357,Beta,0,4-1-2021,B.1.351
2,2021,303,Beta,3,11-1-2021,B.1.351
3,2021,645,Beta,3,18-1-2021,B.1.351
4,2021,837,Beta,14,25-1-2021,B.1.351
5,2021,902,Beta,17,1-2-2021,B.1.351
6,2021,964,Beta,26,8-2-2021,B.1.351
7,2021,1041,Beta,32,15-2-2021,B.1.351
8,2021,1028,Beta,19,22-2-2021,B.1.351
9,2021,1514,Beta,25,1-3-2021,B.1.351
10,2021,1974,Beta,56,8-3-2021,B.1.351
11,2021,1561,Beta,55,15-3-2021,B.1.351
12,2021,1600,Beta,39,22-3-2021,B.1.351
13,2021,1710,Beta,40,29-3-2021,B.1.351
14,2021,1507,Beta,27,5-4-2021,B.1.351
15,2021,1620,Beta,19,12-4-2021,B.1.351
16,2021,1543,Beta,18,19-4-2021,B.1.351
17,2021,1723,Beta,8,26-4-2021,B.1.351
18,2021,1665,Beta,12,3-5-2021,B.1.351
19,2021,1635,Beta,7,10-5-2021,B.1.351
20,2021,1361,Beta,3,17-5-2021,B.1.351
21,2021,1269,Beta,3,24-5-2021,B.1.351
22,2021,1179,Beta,0,31-5-2021,B.1.351
23,2021,578,Beta,0,7-6-2021,B.1.351
1,2021,357,Gamma,0,4-1-2021,P.1
2,2021,303,Gamma,0,11-1-2021,P.1
3,2021,645,Gamma,0,18-1-2021,P.1
4,2021,837,Gamma,1,25-1-2021,P.1
5,2021,902,Gamma,0,1-2-2021,P.1
6,2021,964,Gamma,0,8-2-2021,P.1
7,2021,1041,Gamma,1,15-2-2021,P.1
8,2021,1028,Gamma,3,22-2-2021,P.1
9,2021,1514,Gamma,10,1-3-2021,P.1
10,2021,1974,Gamma,15,8-3-2021,P.1
11,2021,1561,Gamma,23,15-3-2021,P.1
12,2021,1600,Gamma,23,22-3-2021,P.1
13,2021,1710,Gamma,12,29-3-2021,P.1
14,2021,1507,Gamma,23,5-4-2021,P.1
15,2021,1620,Gamma,21,12-4-2021,P.1
16,2021,1543,Gamma,27,19-4-2021,P.1
17,2021,1723,Gamma,27,26-4-2021,P.1
18,2021,1665,Gamma,35,3-5-2021,P.1
19,2021,1635,Gamma,31,10-5-2021,P.1
20,2021,1361,Gamma,33,17-5-2021,P.1
21,2021,1269,Gamma,16,24-5-2021,P.1
22,2021,1179,Gamma,21,31-5-2021,P.1
23,2021,578,Gamma,10,7-6-2021,P.1
1,2021,357,Delta,0,4-1-2021,B.1.617.2
2,2021,303,Delta,0,11-1-2021,B.1.617.2
3,2021,645,Delta,0,18-1-2021,B.1.617.2
4,2021,837,Delta,0,25-1-2021,B.1.617.2
5,2021,902,Delta,0,1-2-2021,B.1.617.2
6,2021,964,Delta,0,8-2-2021,B.1.617.2
7,2021,1041,Delta,0,15-2-2021,B.1.617.2
8,2021,1028,Delta,0,22-2-2021,B.1.617.2
9,2021,1514,Delta,0,1-3-2021,B.1.617.2
10,2021,1974,Delta,0,8-3-2021,B.1.617.2
11,2021,1561,Delta,0,15-3-2021,B.1.617.2
12,2021,1600,Delta,0,22-3-2021,B.1.617.2
13,2021,1710,Delta,0,29-3-2021,B.1.617.2
14,2021,1507,Delta,0,5-4-2021,B.1.617.2
15,2021,1620,Delta,1,12-4-2021,B.1.617.2
16,2021,1543,Delta,1,19-4-2021,B.1.617.2
17,2021,1723,Delta,5,26-4-2021,B.1.617.2
18,2021,1665,Delta,1,3-5-2021,B.1.617.2
19,2021,1635,Delta,10,10-5-2021,B.1.617.2
20,2021,1361,Delta,8,17-5-2021,B.1.617.2
21,2021,1269,Delta,18,24-5-2021,B.1.617.2
22,2021,1179,Delta,37,31-5-2021,B.1.617.2
23,2021,578,Delta,55,7-6-2021,B.1.617.2
1,2021,357,Kappa,0,4-1-2021,B.1.617.1
2,2021,303,Kappa,0,11-1-2021,B.1.617.1
3,2021,645,Kappa,0,18-1-2021,B.1.617.1
4,2021,837,Kappa,0,25-1-2021,B.1.617.1
5,2021,902,Kappa,0,1-2-2021,B.1.617.1
6,2021,964,Kappa,0,8-2-2021,B.1.617.1
7,2021,1041,Kappa,0,15-2-2021,B.1.617.1
8,2021,1028,Kappa,0,22-2-2021,B.1.617.1
9,2021,1514,Kappa,0,1-3-2021,B.1.617.1
10,2021,1974,Kappa,0,8-3-2021,B.1.617.1
11,2021,1561,Kappa,0,15-3-2021,B.1.617.1
12,2021,1600,Kappa,0,22-3-2021,B.1.617.1
13,2021,1710,Kappa,0,29-3-2021,B.1.617.1
14,2021,1507,Kappa,2,5-4-2021,B.1.617.1
15,2021,1620,Kappa,1,12-4-2021,B.1.617.1
16,2021,1543,Kappa,0,19-4-2021,B.1.617.1
17,2021,1723,Kappa,0,26-4-2021,B.1.617.1
18,2021,1665,Kappa,0,3-5-2021,B.1.617.1
19,2021,1635,Kappa,0,10-5-2021,B.1.617.1
20,2021,1361,Kappa,0,17-5-2021,B.1.617.1
21,2021,1269,Kappa,0,24-5-2021,B.1.617.1
22,2021,1179,Kappa,0,31-5-2021,B.1.617.1
23,2021,578,Kappa,3,7-6-2021,B.1.617.1
