"","week","year","covid_deaths"
"1",9,2020,0
"2",10,2020,4
"3",11,2020,60
"4",12,2020,353
"5",13,2020,857
"6",14,2020,1188
"7",15,2020,995
"8",16,2020,849
"9",17,2020,680
"10",18,2020,407
"11",19,2020,269
"12",20,2020,155
"13",21,2020,120
"14",22,2020,83
"15",23,2020,54
"16",24,2020,34
"17",25,2020,21
"18",26,2020,11
"19",27,2020,11
"20",28,2020,6
"21",29,2020,9
"22",30,2020,9
"23",31,2020,5
"24",32,2020,10
"25",33,2020,26
"26",34,2020,25
"27",35,2020,22
"28",36,2020,14
"29",37,2020,19
"30",38,2020,44
"31",39,2020,74
"32",40,2020,61
