,Gem. temperatuur,Weeksterfte,Correctiefactor,,,Waargenomen,Verwacht,Oversterfte
1,4.96,3102,,,3-okt,3111,,
2,7.83,3364,,,11,3216,3051,165
3,7.33,3153,,,12,3612,3092,520
4,3.07,3042,,,13,4458,3113,1345
5,8.36,3160,,,14,5084,3113,1971
6,6.43,3191,,,15,4974,2907,2067
7,7.93,3197,,,16,4298,3008,1290
8,7.9,2957,,,17,3903,2924,979
9,5.74,3092,,,18,3377,2977,400
10,6.2,3098,,,19,2980,2931,49
11,8.6,3215,0.98,,20,2772,3048,-276
12,7.29,3609,0.993,,21,2767,2809,-42
13,6.04,4450,1.006,,22,2722,2821,-99
14,6.47,5080,1.001,,23,2680,2859,-179
15,13.21,4972,0.934,,24,2688,2805,-117
16,9.97,4292,0.966,,25,2688,2890,-202
17,12.69,3893,0.939,,26,2657,3062,-405
18,10.97,3368,0.956,,27,2631,2834,-203
19,12.44,2964,0.942,,28,2602,2855,-253
20,8.69,2735,0.979,,29,2509,2847,-338
21,16.39,2759,0.902,,30,2645,2834,-189
,,,,,,,,
,,,,,,,,
,,,,,Som week 11 tot en met 19,35843,27104,8739
