"week","2017","2018","2019","2020*","2020 (verwachting)"
"1","3568","3343","3062","3102","."
"2","3637","3359","3262","3364","."
"3","3487","3364","3152","3153","."
"4","3626","3322","3179","3042","."
"5","3574","3403","3139","3160","."
"6","3446","3513","3183","3191","."
"7","3417","3660","3254","3197","."
"8","3328","3691","3220","2957","."
"9","3152","3937","3065","3092","."
"10","3054","4092","3172","3098","."
"11","2843","3733","3225","3215","3050"
"12","2778","3430","3043","3609","3091"
"13","2850","3225","3013","4450","3111"
"14","2764","3040","2898","5080","3111"
"15","2810","2860","2902","4972","2906"
"16","2713","2760","3036","4292","3007"
"17","2778","2663","2956","3893","2923"
"18","2769","2645","2806","3368","2976"
"19","2802","2641","2772","2964","2930"
"20","2801","2606","2821","2735","3047"
"21","2772","2674","2873","2759","2807"
"22","2701","2776","2730",".","."
"23","2624","2679","2734",".","."
"24","2643","2557","2647",".","."
"25","2627","2601","2692",".","."
"26","2691","2619","2836",".","."
"27","2697","2726","2725",".","."
"28","2520","2671","2761",".","."
"29","2674","2704","2586",".","."
"30","2571","2767","3006",".","."
"31","2510","2760","2731",".","."
"32","2657","2745","2629",".","."
"33","2540","2605","2613",".","."
"34","2545","2612","2617",".","."
"35","2576","2527","2783",".","."
"36","2570","2613","2553",".","."
"37","2707","2539","2642",".","."
"38","2715","2706","2580",".","."
"39","2669","2696","2751",".","."
"40","2641","2806","2717",".","."
"41","2763","2760","2912",".","."
"42","2706","2739","2879",".","."
"43","2676","2671","2867",".","."
"44","2726","2815","2856",".","."
"45","2797","2798","3015",".","."
"46","2916","2761","3060",".","."
"47","2917","2859","3023",".","."
"48","2886","2907","3045",".","."
"49","3027","2968","3018",".","."
"50","3218","3017","3161",".","."
"51","3079","3041","3253",".","."
"52","3187","2901","3028",".","."
