"week","2017","2018","2019*","2020*","verwacht aantal overledenen 2020"
"1","3568","3343","3062","3103","."
"2","3637","3359","3262","3364","."
"3","3487","3364","3152","3154","."
"4","3626","3322","3179","3045","."
"5","3574","3403","3139","3162","."
"6","3446","3513","3183","3193","."
"7","3417","3660","3254","3198","."
"8","3328","3691","3220","2958","."
"9","3152","3937","3065","3096","."
"10","3054","4092","3172","3103","."
"11","2843","3733","3225","3216","3052"
"12","2778","3430","3043","3612","3093"
"13","2850","3225","3013","4458","3114"
"14","2764","3040","2898","5084","3114"
"15","2810","2860","2902","4977","2908"
"16","2713","2760","3036","4299","3009"
"17","2778","2663","2956","3905","2925"
"18","2769","2645","2806","3378","2978"
"19","2802","2641","2772","2981","2932"
"20","2801","2606","2821","2772","3049"
"21","2772","2674","2873","2768","2810"
"22","2701","2776","2730","2724","2822"
"23","2624","2679","2734","2681","2860"
"24","2643","2557","2647","2691","2806"
"25","2627","2601","2692","2690","2891"
"26","2691","2619","2836","2659","3063"
"27","2697","2726","2725","2633","2835"
"28","2520","2671","2761","2610","2855"
"29","2674","2704","2586","2519","2848"
"30","2571","2767","3006","2666","2835"
"31","2510","2760","2731","2640","2944"
"32","2657","2745","2629","2623","3103"
"33","2540","2605","2613","3172","3114"
"34","2545","2612","2617",".","3022"
"35","2576","2527","2783",".","."
"36","2570","2613","2553",".","."
"37","2707","2539","2642",".","."
"38","2715","2706","2580",".","."
"39","2669","2696","2751",".","."
"40","2641","2806","2717",".","."
"41","2763","2760","2912",".","."
"42","2706","2739","2879",".","."
"43","2676","2671","2867",".","."
"44","2726","2815","2856",".","."
"45","2797","2798","3015",".","."
"46","2916","2761","3060",".","."
"47","2917","2859","3023",".","."
"48","2886","2907","3045",".","."
"49","3027","2968","3018",".","."
"50","3218","3017","3161",".","."
"51","3079","3041","3253",".","."
"52","3187","2901","3028",".","."
