Datum,Overleden,week
11-3-2020,1,11
12-3-2020,0,11
13-3-2020,1,11
14-3-2020,1,11
15-3-2020,2,12
16-3-2020,2,12
17-3-2020,1,12
18-3-2020,6,12
19-3-2020,7,12
20-3-2020,9,12
21-3-2020,8,12
22-3-2020,11,13
23-3-2020,11,13
24-3-2020,21,13
25-3-2020,22,13
26-3-2020,31,13
27-3-2020,32,13
28-3-2020,35,13
29-3-2020,38,14
30-3-2020,45,14
31-3-2020,48,14
1-4-2020,53,14
2-4-2020,70,14
3-4-2020,80,14
4-4-2020,70,14
5-4-2020,85,15
6-4-2020,90,15
7-4-2020,84,15
8-4-2020,115,15
9-4-2020,86,15
10-4-2020,90,15
11-4-2020,103,15
12-4-2020,97,16
13-4-2020,85,16
14-4-2020,91,16
15-4-2020,115,16
16-4-2020,111,16
17-4-2020,82,16
18-4-2020,86,16
19-4-2020,88,17
20-4-2020,84,17
21-4-2020,62,17
22-4-2020,77,17
23-4-2020,86,17
24-4-2020,89,17
25-4-2020,73,17
26-4-2020,75,18
27-4-2020,73,18
28-4-2020,82,18
29-4-2020,84,18
30-4-2020,78,18
1-5-2020,78,18
2-5-2020,73,18
3-5-2020,75,19
4-5-2020,84,19
5-5-2020,72,19
6-5-2020,73,19
7-5-2020,80,19
8-5-2020,60,19
9-5-2020,69,19
10-5-2020,74,20
11-5-2020,64,20
12-5-2020,61,20
13-5-2020,50,20
14-5-2020,46,20
15-5-2020,58,20
16-5-2020,49,20
17-5-2020,53,21
18-5-2020,61,21
19-5-2020,40,21
20-5-2020,54,21
21-5-2020,54,21
22-5-2020,56,21
23-5-2020,56,21
24-5-2020,44,22
25-5-2020,42,22
26-5-2020,28,22
27-5-2020,39,22
28-5-2020,40,22
29-5-2020,40,22
30-5-2020,39,22
31-5-2020,45,23
1-6-2020,40,23
2-6-2020,37,23
3-6-2020,26,23
4-6-2020,45,23
5-6-2020,38,23
6-6-2020,31,23
7-6-2020,33,24
8-6-2020,38,24
9-6-2020,33,24
10-6-2020,40,24
11-6-2020,36,24
12-6-2020,30,24
13-6-2020,33,24
14-6-2020,27,25
15-6-2020,31,25
16-6-2020,28,25
17-6-2020,33,25
18-6-2020,29,25
19-6-2020,29,25
20-6-2020,29,25
21-6-2020,21,26
22-6-2020,21,26
23-6-2020,25,26
24-6-2020,22,26
25-6-2020,24,26
26-6-2020,12,26
27-6-2020,14,26
28-6-2020,22,27
29-6-2020,18,27
30-6-2020,20,27
1-7-2020,17,27
2-7-2020,15,27
3-7-2020,8,27
4-7-2020,15,27
5-7-2020,9,28
6-7-2020,15,28
7-7-2020,12,28
8-7-2020,11,28
9-7-2020,14,28
10-7-2020,13,28
11-7-2020,11,28
12-7-2020,9,29
13-7-2020,14,29
14-7-2020,8,29
15-7-2020,6,29
16-7-2020,7,29
17-7-2020,8,29
18-7-2020,11,29
19-7-2020,10,30
20-7-2020,7,30
21-7-2020,7,30
22-7-2020,7,30
23-7-2020,6,30
24-7-2020,4,30
25-7-2020,1,30
26-7-2020,2,31
27-7-2020,6,31
28-7-2020,1,31
29-7-2020,1,31
30-7-2020,0,31
31-7-2020,1,31
1-8-2020,2,31
2-8-2020,1,32
3-8-2020,0,32
4-8-2020,1,32
5-8-2020,0,32
6-8-2020,0,32
7-8-2020,0,32
Uppgift saknas,5,#VALUE!
