Totaal ,Groningen,Friesland,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,Noord-Holland,Zuid-Holland,Zeeland,Noord-Brabant,Limburg,Week,Jaar
3103,104,144,118,203,47,385,225,435,631,77,456,278,1,2020
3365,121,141,111,232,60,389,211,563,675,79,518,265,2,2020
3157,120,155,119,212,54,381,207,498,643,91,462,215,3,2020
3046,129,121,104,201,50,371,220,449,634,76,442,249,4,2020
3162,115,118,117,225,59,398,191,487,619,91,482,260,5,2020
3193,122,120,114,207,47,428,240,455,629,92,490,249,6,2020
3199,91,138,96,229,62,401,217,502,632,90,502,239,7,2020
2959,122,108,94,194,39,382,199,405,610,79,478,249,8,2020
3097,102,130,103,233,51,415,200,464,581,84,494,240,9,2020
3105,126,112,94,222,43,393,200,484,600,80,489,262,10,2020
3218,116,123,104,230,55,393,211,459,618,88,541,280,11,2020
3615,124,141,107,247,49,452,213,527,619,94,709,333,12,2020
4459,122,151,113,303,45,568,278,631,701,87,971,489,13,2020
5084,124,134,112,326,59,640,323,718,916,98,1065,569,14,2020
4979,104,161,113,326,59,657,344,733,963,88,941,490,15,2020
4304,117,139,117,282,73,523,273,635,914,95,718,418,16,2020
3907,107,146,125,267,63,475,259,605,800,108,590,362,17,2020
3378,104,117,111,233,61,417,231,520,741,69,493,281,18,2020
2986,102,123,93,193,47,364,189,458,631,75,463,248,19,2020
2774,82,107,88,185,46,322,173,449,584,79,404,255,20,2020
2770,95,97,91,182,47,361,192,397,574,81,431,222,21,2020
2726,100,114,101,173,44,343,183,351,599,65,415,238,22,2020
2682,108,91,98,197,44,354,186,369,553,75,412,195,23,2020
2691,111,111,100,183,44,335,169,430,569,59,358,222,24,2020
2694,97,125,96,176,52,348,172,395,590,65,379,199,25,2020
2659,105,115,86,201,45,327,185,371,540,81,384,219,26,2020
2636,93,120,95,190,39,329,190,373,535,75,381,216,27,2020
2619,103,106,82,185,42,331,166,397,556,63,381,207,28,2020
2527,88,91,97,186,36,303,163,397,536,77,365,188,29,2020
2672,102,118,103,173,42,324,183,415,549,68,379,216,30,2020
2663,85,103,110,180,39,323,168,396,578,70,400,211,31,2020
2638,95,111,98,175,45,302,162,426,546,79,417,182,32,2020
3209,128,112,123,211,68,386,230,516,700,79,449,207,33,2020
2849,104,110,85,183,40,375,183,454,635,72,378,230,34,2020
2732,103,114,102,183,52,335,188,420,540,67,410,218,35,2020
2685,95,111,98,182,49,346,172,398,581,68,383,202,36,2020
2736,109,110,114,198,49,337,199,441,570,69,357,183,37,2020
2715,110,107,123,187,57,341,158,421,567,72,380,192,38,2020
2886,97,119,101,190,49,372,162,441,656,63,428,208,39,2020
2995,86,111,118,228,55,375,191,464,616,73,439,239,40,2020
3012,87,138,93,202,60,357,187,475,627,82,477,227,41,2020
3210,109,125,104,192,55,390,197,500,715,62,508,253,42,2020
3429,118,124,100,226,47,433,217,504,801,83,560,216,43,2020
3644,119,137,127,258,62,411,240,561,838,78,573,240,44,2020
3630,125,143,114,263,62,401,254,555,847,78,552,236,45,2020
3062,108,118,107,193,53,425,176,517,632,72,434,227,1,2019
3262,99,139,95,221,61,399,226,513,661,74,481,293,2,2019
3152,104,137,92,202,39,418,193,469,669,92,463,274,3,2019
3179,125,126,121,218,40,392,200,479,666,76,491,245,4,2019
3139,119,132,111,202,45,383,221,465,637,82,473,269,5,2019
3183,107,120,112,233,47,395,224,518,628,82,478,239,6,2019
3254,114,122,102,220,58,420,221,512,661,90,491,243,7,2019
3220,118,114,100,183,51,423,198,447,679,90,550,267,8,2019
3065,119,123,90,204,54,387,201,463,669,67,444,244,9,2019
3172,107,140,103,203,52,409,203,482,639,77,508,249,10,2019
3225,133,126,114,202,52,410,248,439,655,89,467,290,11,2019
3043,108,131,99,221,60,369,209,454,585,79,470,258,12,2019
