"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,45.0498384336553,66.126434337799,86.2166996953283
"2","Dynamisch",12,462.313998307792,600.136730414241,751.045816305174
"3","Dynamisch",13,1678.69833907564,2042.19730492498,2414.36247422349
"4","Dynamisch",14,3521.45639470042,4164.58611024031,4785.76257594872
"5","Dynamisch",15,5274.7375112543,6135.66105860219,6976.9463982093
"6","Dynamisch",16,6560.171355629,7617.50836477113,8651.24710773129
"7","Dynamisch",17,7543.42208004107,8761.59925264186,10002.7785972112
"8","Dynamisch",18,8086.49656279862,9431.04499185914,10770.9522015083
"9","Dynamisch",19,8452.58045428991,9866.86776176586,11296.693982265
"10","Dynamisch",20,8669.35431973242,10117.8399919339,11627.2630953568
"11","Dynamisch",21,8795.19787552672,10289.6483508784,11850.4074427286
"12","Dynamisch",22,8895.71234710674,10421.177568484,12031.6768995924
"13","Dynamisch",23,8964.97186521706,10498.6318877734,12137.4262323321
"14","Dynamisch",24,9000.49654666059,10542.9876824719,12180.6866290438
"15","Dynamisch",25,9026.67046765712,10577.4926251252,12216.205874924
"16","Dynamisch",26,9041.05028542117,10593.2785280961,12236.5208690855
"17","Dynamisch",27,9054.50821967031,10610.4833499794,12254.5555093587
"18","Dynamisch",28,9060.19163896702,10617.5820399225,12266.1073259307
"19","Dynamisch",29,9070.1720947381,10627.4879648915,12283.4659877782
"20","Dynamisch",30,9079.14434747625,10635.9445540926,12300.0383594003
"21","Statisch",11,58.4443670679838,65.9206905938534,73.7930118276867
"22","Statisch",12,530.869748196867,598.779602694758,670.286714893579
"23","Statisch",13,1813.39899231042,2045.37251265354,2289.63385295214
"24","Statisch",14,3712.84184885959,4187.79492167899,4687.90775411979
"25","Statisch",15,5378.50696945455,6066.53456481281,6791.00965155633
"26","Statisch",16,6805.5246074342,7676.09807385874,8592.78986254495
"27","Statisch",17,7933.82660625336,8948.73362800942,10017.4056404153
"28","Statisch",18,8618.92517820151,9721.47060916465,10882.4240678298
"29","Statisch",19,9094.59778584553,10257.9917778752,11483.0175201517
"30","Statisch",20,9375.45580990953,10574.7773134166,11837.6341310515
"31","Statisch",21,9568.6472153969,10792.6818160618,12081.5611692602
"32","Statisch",22,9716.38188159435,10959.3146735732,12268.0936790205
"33","Statisch",23,9804.04861026244,11058.1957086673,12378.7833380235
"34","Statisch",24,9854.37579633668,11114.9607468767,12442.3274018825
"35","Statisch",25,9893.33877750962,11158.9078734849,12491.5228390877
"36","Statisch",26,9911.1968177087,11179.0503068535,12514.0707534564
"37","Statisch",27,9930.67831073165,11201.0238706965,12538.6684768665
"38","Statisch",28,9938.79560208559,11210.1795222873,12548.9175266103
"39","Statisch",29,9950.15980663525,11222.9974344341,12563.2661949491
"40","Statisch",30,9959.90055195373,11233.9842161054,12575.565054587
"41","Interventie",11,44.7825448772336,235.160673467384,413.232000328541
"42","Interventie",12,566.158705790798,873.641262575675,1169.51110217888
"43","Interventie",13,1812.82468050961,2269.47687599254,2692.09083107111
"44","Interventie",14,3633.54645972832,4218.30608266927,4733.69163668543
"45","Interventie",15,5424.05343381368,6105.63628870457,6708.58978221406
"46","Interventie",16,6679.92639032733,7456.04354250878,8171.40344576517
"47","Interventie",17,7569.76774997919,8434.13313858295,9254.27808863138
"48","Interventie",18,7980.04364117523,8947.87222203946,9878.20604013132
"49","Interventie",19,8069.45811809591,9107.26567541023,10171.2940772146
"50","Interventie",20,7878.56166529311,9072.5377258037,10267.4991586498
"51","Interventie",21,7705.10356357541,9016.06526778539,10309.4584276085
"52","Interventie",22,7499.04233746278,8928.65463807425,10366.8169462481
"53","Interventie",23,7320.72949156733,8814.68381745103,10330.2669304671
"54","Interventie",24,7089.09676933529,8708.52893928616,10272.9665621318
"55","Interventie",25,6895.07760896444,8608.5354938426,10291.1432285413
"56","Interventie",26,6618.54904510084,8492.36300241076,10288.6712024348
"57","Interventie",27,6381.24558136236,8362.32681380853,10324.0981492125
"58","Interventie",28,6058.02713831032,8206.28920788872,10274.7336870332
"59","Interventie",29,5719.69649772469,7988.8486166273,10178.1476023541
"60","Interventie",30,5484.87368291169,7876.02772505301,10180.1723159144
"61","CBS/AMC",11,0,165,0
"62","CBS/AMC",12,0,685,0
"63","CBS/AMC",13,0,2030,0
"64","CBS/AMC",14,0,4001,0
"65","CBS/AMC",15,0,6068,0
"66","CBS/AMC",16,0,7358,0
"67","CBS/AMC",17,0,8337,0
"68","CBS/AMC",18,0,8737,0
"69","CBS/AMC",19,0,8786,0
"70","CBS/AMC",20,0,8510,0
"71","CBS/AMC",21,0,8468,0
"72","CBS/AMC",22,0,8369,0
"73","CBS/AMC",23,0,8190,0
"74","CBS/AMC",24,0,8073,0
"75","CBS/AMC",25,0,7871,0
"76","CBS/AMC",26,0,7466,0
"77","CBS/AMC",27,0,7263,0
"78","CBS/AMC",28,0,7010,0
"79","CBS/AMC",29,0,6672,0
"80","CBS/AMC",30,0,6483,0
