"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,46.3307534666078,66.469583988774,87.9636897144036
"2","Dynamisch",12,456.593383257213,599.667834674856,758.227118916279
"3","Dynamisch",13,1664.79644512885,2037.03810208207,2429.66292190737
"4","Dynamisch",14,3519.55000979897,4145.35738909378,4813.02526139679
"5","Dynamisch",15,5239.02792300435,6102.08564811621,7027.53074249471
"6","Dynamisch",16,6510.90420999707,7575.60091954027,8695.0231404655
"7","Dynamisch",17,7485.99470022001,8714.22138821868,10006.0063192075
"8","Dynamisch",18,7957.49751514484,9395.02213529405,10787.1643876495
"9","Dynamisch",19,8333.21075721122,9840.49626980175,11342.1389908256
"10","Dynamisch",20,8559.99341140331,10102.8107065008,11684.2171367615
"11","Dynamisch",21,8666.48734003779,10286.930427599,11877.0392702711
"12","Dynamisch",22,8814.31994110826,10429.19346284,12023.4517965816
"13","Dynamisch",23,8879.50870389982,10514.0764615881,12105.9349272613
"14","Dynamisch",24,8916.85011741979,10565.1272544063,12162.0964604517
"15","Dynamisch",25,8953.26565789923,10603.7889055756,12210.7264458582
"16","Dynamisch",26,8967.44552204423,10621.6649268458,12235.0406231355
"17","Dynamisch",27,8976.80176186308,10641.315524021,12262.9449405219
"18","Dynamisch",28,8984.47417544595,10651.2550300416,12276.4735005336
"19","Dynamisch",29,8993.82005151673,10663.0130736044,12292.6806059852
"20","Dynamisch",30,9004.24029951501,10674.8868734681,12309.5910102521
"21","Dynamisch",31,9015.53827459873,10688.6798210489,12328.7123819777
"22","Dynamisch",32,9022.24863939246,10695.6654616975,12338.1284445611
"23","Dynamisch",33,9066.2202727224,10741.6199468813,12399.1630990713
"24","Statisch",11,58.1331072882853,66.3571430793501,74.689609725505
"25","Statisch",12,528.042341707279,602.744047208949,678.430506141893
"26","Statisch",13,1803.74067077772,2058.91466853453,2317.45196760746
"27","Statisch",14,3693.06606782374,4215.52177821454,4744.86336521657
"28","Statisch",15,5349.85789617401,6106.70029867464,6873.51663477746
"29","Statisch",16,6769.2732405284,7726.92048608843,8697.18736071135
"30","Statisch",17,7891.56454932387,9007.98194000155,10139.1112872745
"31","Statisch",18,8573.01327125798,9785.83508655117,11014.6390423832
"32","Statisch",19,9046.15184722569,10325.9084800593,11622.5292061025
"33","Statisch",20,9325.5136267296,10644.791407601,11981.4541193771
"34","Statisch",21,9517.67579085972,10864.1386234375,12228.344666544
"35","Statisch",22,9664.62336741925,11031.8747316536,12417.1433298792
"36","Statisch",23,9751.82301992066,11131.4104439484,12529.1777054318
"37","Statisch",24,9803.49689871409,11190.3945692843,12595.5684431008
"38","Statisch",25,9842.25230381868,11234.6326634068,12645.3614999746
"39","Statisch",26,9860.01519362702,11254.9084564961,12668.1833238844
"40","Statisch",27,9879.39289776133,11277.0275035254,12693.079867291
"41","Statisch",28,9889.08174933628,11288.0870269107,12705.5281365423
"42","Statisch",29,9900.38540976626,11300.9898044772,12720.0511152316
"43","Statisch",30,9911.68906479295,11313.892581968,12734.5740909993
"44","Statisch",31,9924.60752450618,11328.6386131858,12751.171778545
"45","Statisch",32,9931.06675743203,11336.0116286898,12759.4706183884
