"","model","week","Laag","Gemiddeld","Hoog","year"
"1","Dynamisch",11,48.602648700676,65.0966630183174,81.942834895322,2020
"2","Dynamisch",12,459.870112416779,597.338039977339,725.339096817938,2020
"3","Dynamisch",13,1653.59794556271,2030.76346451011,2377.87919726066,2020
"4","Dynamisch",14,3444.11919591762,4149.55002300038,4817.61229582729,2020
"5","Dynamisch",15,5171.76944801371,6107.31560603183,6969.07846365796,2020
"6","Dynamisch",16,6473.37131360658,7630.20489516387,8720.95917161696,2020
"7","Dynamisch",17,7495.38142166752,8810.18844290043,10044.7389158727,2020
"8","Dynamisch",18,8073.56388714506,9516.07235042763,10838.4632175407,2020
"9","Dynamisch",19,8464.14892014467,9982.21961423542,11402.4938658729,2020
"10","Dynamisch",20,8674.35936748923,10257.009648446,11713.8530112583,2020
"11","Dynamisch",21,8846.0566324617,10445.9103983589,11932.402996155,2020
"12","Dynamisch",22,8973.57263098498,10589.4130248705,12096.99369397,2020
"13","Dynamisch",23,9039.3489572793,10677.9061181884,12196.3042585015,2020
"14","Dynamisch",24,9089.20292619156,10733.3048247889,12255.0849429931,2020
"15","Dynamisch",25,9120.84864787471,10772.9984791845,12302.3277821359,2020
"16","Dynamisch",26,9137.04899343365,10792.1772031842,12325.9071882098,2020
"17","Dynamisch",27,9153.19416216956,10811.4480818816,12349.7883717988,2020
"18","Dynamisch",28,9160.4824437834,10821.1084864965,12362.5775907358,2020
"19","Dynamisch",29,9167.52699813459,10832.4795204934,12377.2047153782,2020
"20","Dynamisch",30,9173.65830493525,10843.8707126877,12392.0405820649,2020
"21","Dynamisch",31,9183.29454982212,10858.584013763,12410.1655174786,2020
"22","Dynamisch",32,9189.06551290725,10866.7880370225,12420.2086740584,2020
"23","Dynamisch",33,9231.54233852571,10909.6737256267,12474.8552065442,2020
"24","Dynamisch",34,9283.63602365819,10953.7251471646,12531.6513338157,2020
"25","Dynamisch",35,9320.6116489153,10991.0395196147,12563.8868912009,2020
"26","Dynamisch",36,9352.42586960358,11020.2089650611,12614.1468186337,2020
"27","Dynamisch",37,9387.36875053392,11052.6387324018,12667.0338979248,2020
"28","Dynamisch",38,9450.68971585359,11112.5817595378,12739.3211210628,2020
"29","Dynamisch",39,9593.68085524545,11260.2120728541,12895.5122145364,2020
"30","Dynamisch",40,9792.58222196215,11466.6470222943,13103.31355156,2020
"31","Dynamisch",41,10039.7789107106,11740.6744255984,13405.220865277,2020
"32","Dynamisch",42,10457.4196270236,12164.1601040923,13854.2214548026,2020
"33","Dynamisch",43,10966.3397842514,12749.5551418803,14475.4475913171,2020
"34","Dynamisch",44,11626.0380560394,13548.4330852765,15353.5309457955,2020
"35","Dynamisch",45,12312.350226922,14371.0279897107,16312.2795116513,2020
"36","Dynamisch",46,12916.4374930486,15058.2032491823,17093.8911802028,2020
"37","Dynamisch",47,13347.3737214512,15585.3555212591,17716.5754197289,2020
"38","Dynamisch",48,13763.1173611391,16093.4082467339,18333.2101785423,2020
"39","Dynamisch",49,14106.7120760797,16556.3670560036,18857.3220798696,2020
"40","Dynamisch",50,14596.1499593109,17113.1756057996,19497.3482507026,2020
"41","Dynamisch",51,15260.9827203381,17856.2769442926,20385.3244406661,2020
"42","Dynamisch",52,15930.2393462459,18691.8175730609,21434.4015374935,2020
"43","Statisch",11,55.0249746275867,61.9864677951916,68.7816939104248,2020
"44","Statisch",12,505.924260127741,569.931131020848,632.409630632988,2020
"45","Statisch",13,1724.11666671476,1942.24263743346,2155.16058430203,2020
"46","Statisch",14,3535.35704854767,3982.6305139519,4419.22562502146,2020
"47","Statisch",15,5123.44041975973,5771.62882470012,6404.34288703118,2020
"48","Statisch",16,6477.66706683027,7297.18466186831,8097.13820931373,2020
"49","Statisch",17,7553.71148082493,8509.3644578061,9442.20327157656,2020
"50","Statisch",18,8206.36935538757,9244.59281999551,10258.0312034528,2020
"51","Statisch",19,8655.74043869369,9750.81562381349,10819.7487030481,2020
"52","Statisch",20,8923.22337700257,10052.1387142474,11154.1043348649,2020
"53","Statisch",21,9106.64027090213,10258.7602601197,11383.3767491898,2020
"54","Statisch",22,9245.73143011604,10415.4482672713,11557.2417071415,2020
"55","Statisch",23,9331.32594787616,10511.8716562807,11664.2355347923,2020
"56","Statisch",24,9384.82253034557,10572.1362742844,11731.1066788013,2020
"57","Statisch",25,9423.03439232191,10615.1824302804,11778.8717837649,2020
"58","Statisch",26,9441.37608946837,10635.8445852114,11801.7990295251,2020
"59","Statisch",27,9459.71777282561,10656.5067403356,11824.7262733209,2020
"60","Statisch",28,9468.88861576128,10666.8378178915,11836.1898942433,2020
"61","Statisch",29,9479.58793386173,10678.8907417946,11849.5641148853,2020
"62","Statisch",30,9490.28724229795,10690.9436656688,11862.9383451261,2020
"63","Statisch",31,9504.04349409021,10706.4402820231,11880.1337825922,2020
"64","Statisch",32,9511.68585234428,10715.0495131888,11889.6868024363,2020
"65","Statisch",33,9551.4261156496,10759.8175153726,11939.3624955111,2020
"66","Statisch",34,9592.69484901812,10806.307363843,11990.9487901945,2020
"67","Statisch",35,9627.84968472243,10845.9098277769,12034.8926422315,2020
"68","Statisch",36,9655.36217604304,10876.9030605206,12069.2834851141,2020
"69","Statisch",37,9685.93162575038,10911.3399854583,12107.4955525942,2020
"70","Statisch",38,9742.48512968694,10975.0482964482,12178.1878515639,2020
"71","Statisch",39,9881.57612897588,11131.7363066647,12352.0527257103,2020
"72","Statisch",40,10077.2205520093,11352.1326274495,12596.6098467298,2020
"73","Statisch",41,10340.1179091097,11648.2901815649,12925.2333998544,2020
"74","Statisch",42,10748.2203790796,12108.0231242618,13435.3640296796,2020
