"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,48.3831655340039,64.2241186144215,79.6955689617607
"2","Dynamisch",12,458.141914869968,587.99605616596,710.437288988142
"3","Dynamisch",13,1664.49201954257,1999.40960096753,2336.67212461743
"4","Dynamisch",14,3453.35387477932,4087.04663934493,4703.52071058855
"5","Dynamisch",15,5130.2005564361,6002.17807521472,6872.68241110985
"6","Dynamisch",16,6422.78897073437,7487.70671223619,8515.34402855818
"7","Dynamisch",17,7424.51223453147,8659.32115767394,9903.34575967345
"8","Dynamisch",18,8030.33749554085,9362.86525554724,10707.439134618
"9","Dynamisch",19,8416.78617735128,9833.46727176772,11242.797800919
"10","Dynamisch",20,8642.81954402675,10112.3336580923,11578.3711358343
"11","Dynamisch",21,8802.43922356953,10304.3082988841,11829.5015059834
"12","Dynamisch",22,8927.81357554967,10450.3943763703,12017.6773972468
"13","Dynamisch",23,9008.96595511403,10540.5661714189,12132.4416619502
"14","Dynamisch",24,9057.22496430379,10596.9388955698,12197.3799783134
"15","Dynamisch",25,9092.30119508543,10637.4102600463,12245.2918839821
"16","Dynamisch",26,9110.63370064494,10656.9140040433,12269.7873025602
"17","Dynamisch",27,9130.14693225768,10676.5272784421,12294.9966827703
"18","Dynamisch",28,9139.99030046716,10686.3872931919,12307.2644304491
"19","Dynamisch",29,9151.54482829232,10697.9204593866,12322.6521455836
"20","Dynamisch",30,9162.85341940187,10709.4692094638,12337.9505675297
"21","Dynamisch",31,9177.31349110817,10724.3841510152,12357.9826001005
"22","Dynamisch",32,9185.74756533311,10732.6983526181,12368.6319165057
"23","Dynamisch",33,9229.14558363994,10776.2102324297,12416.8759426404
"24","Dynamisch",34,9262.60680942622,10821.2313442081,12457.4828304911
"25","Dynamisch",35,9297.53323121172,10857.7975524691,12489.7180651485
"26","Dynamisch",36,9319.7652822669,10886.0012585715,12518.5199019592
"27","Dynamisch",37,9346.98566699808,10919.0655927491,12551.2037474385
"28","Dynamisch",38,9402.13800471083,10980.4109258308,12612.0812874169
"29","Dynamisch",39,9531.67435281665,11128.0730327863,12805.9653848241
"30","Dynamisch",40,9729.55688171959,11339.7758798159,13086.4391603518
"31","Dynamisch",41,9986.05347602764,11620.6211143996,13371.0280799764
"32","Dynamisch",42,10356.9034925539,12051.1154647523,13858.8172704801
"33","Dynamisch",43,10875.3455194983,12643.0431432214,14530.42167691
"34","Dynamisch",44,11559.471051805,13427.1456651163,15479.6647540426
"35","Dynamisch",45,12242.276156774,14269.15973476,16456.3322523228
"36","Dynamisch",46,12749.6458428472,14955.4120839694,17333.1947101158
"37","Dynamisch",47,13180.8270478081,15488.8879926146,18033.5860953056
"38","Dynamisch",48,13478.8872776352,15947.3431208516,18570.3061280724
"39","Statisch",11,55.0969518684578,62.82853633296,70.3890608680404
"40","Statisch",12,506.585712778624,577.673485599659,647.188317934536
"41","Statisch",13,1726.3696785013,1968.62746557503,2205.52385343957
"42","Statisch",14,3539.97592233249,4036.73348280818,4522.49768513562
"43","Statisch",15,5130.13358126059,5850.03487081988,6554.00444873187
"44","Statisch",16,6483.06852188126,7392.82451583148,8282.44673115814
"45","Statisch",17,7560.51930013643,8621.47148042952,9658.94359137
"46","Statisch",18,8212.49943406504,9364.94251155915,10491.880516074
"47","Statisch",19,8662.45766914638,9878.0422462641,11066.7242883012
"48","Statisch",20,8930.28998442709,10183.4587535142,11408.8933059643
"49","Statisch",21,9113.94647614185,10392.8872152552,11643.5233037235
"50","Statisch",22,9253.21932127286,10551.7037989781,11821.450963064
"51","Statisch",23,9338.92567450018,10649.4370801327,11930.944871302
"52","Statisch",24,9392.49214109153,10710.5203799648,11999.3785675254
"53","Statisch",25,9430.75391192128,10754.1513084001,12048.2597835598
"54","Statisch",26,9449.11956013859,10775.0941541238,12071.7227749492
"55","Statisch",27,9467.48520998919,10796.0369998256,12095.1857687462
"56","Statisch",28,9476.66803147501,10806.5084227038,12106.9172629933
"57","Statisch",29,9487.38131840482,10818.7250827488,12120.6040012931
"58","Statisch",30,9498.09460593395,10830.9417428186,12134.2907426348
"59","Statisch",31,9511.86883290309,10846.6488769381,12151.8879760336
"60","Statisch",32,9519.52117682348,10855.3750625615,12161.664216283
"61","Statisch",33,9559.31335813975,10900.7512271309,12212.5006682747
"62","Statisch",34,9600.63601499444,10947.8726283093,12265.2923588229
"63","Statisch",35,9634.30633146428,10986.2678443923,12308.3078257156
"64","Statisch",36,9660.32428903237,11015.9368749389,12341.5470464308
"65","Statisch",37,9690.93365232802,11050.841616878,12380.652026734
"66","Statisch",38,9747.56096860338,11115.4153890904,12452.9962348841
"67","Statisch",39,9883.77257898306,11270.7414905649,12627.0133767295
"68","Statisch",40,10079.672494861,11494.1318379274,12877.2851946402
"69","Statisch",41,10341.3824915362,11792.5673774148,13211.6326718135
"70","Statisch",42,10743.8955468394,12251.564734014,13725.8632072566
"71","Statisch",43,11296.394138411,12881.5953204847,14431.7081943868
"72","Statisch",44,12035.6100674463,13724.544811355,15376.0934481696
"73","Statisch",45,12865.123418974,14670.463275588,16435.8383254544
"74","Statisch",46,13529.3465228638,15427.896133022,17284.4166127836
"75","Statisch",47,14058.8884906083,16031.7481306121,17960.9328974589
"76","Statisch",48,14502.7242289287,16537.866846506,18527.955126988
"77","Interventie",11,60.6353026741925,240.03410215862,422.507017756997
"78","Interventie",12,556.960074787768,884.61278443988,1209.68135216166
"79","Interventie",13,1843.87703694752,2276.68452503518,2716.34844719322
"80","Interventie",14,3658.32621250061,4211.99033087157,4756.6226127629
"81","Interventie",15,5382.82453821584,6093.66564092949,6788.01253046129
"82","Interventie",16,6664.84750233195,7445.00451859724,8259.64329494526
"83","Interventie",17,7533.13282374734,8424.21125687675,9341.95422140841
"84","Interventie",18,7895.63825505195,8935.3090271544,10008.6295704112
"85","Interventie",19,7912.96280156687,9093.47847423708,10284.359332661
"86","Interventie",20,7926.00476047639,9071.1149048731,10288.3333165537
"87","Interventie",21,7784.68245825636,9020.48665051116,10285.1441899982
"88","Interventie",22,7580.04735200967,8934.82376633431,10292.1618679529
"89","Interventie",23,7402.84335803836,8813.84156582466,10205.7696145624
"90","Interventie",24,7201.3400629303,8713.38897942645,10203.8478010088
"91","Interventie",25,7048.38803295502,8623.30717643248,10232.7278463723
"92","Interventie",26,6802.21356738728,8519.90533342446,10249.4387741448
"93","Interventie",27,6570.22274640109,8405.22654357331,10212.2769612185
"94","Interventie",28,6339.90151764631,8284.011363265,10168.1421003179
"95","Interventie",29,6005.56151968046,8098.13571171673,10096.1679290325
"96","Interventie",30,5845.82505431916,8028.4553766572,10158.4377360986
"97","Interventie",31,5656.669389551,7973.13118081635,10283.616514048
"98","Interventie",32,5478.66738914863,7929.36976414722,10363.8424316699
"99","Interventie",33,5681.692084834,8303.41962596136,10867.7535465939
"100","Interventie",34,5753.52606272296,8423.68657743846,11059.3061909179
"101","Interventie",35,5568.73303185504,8443.64866651839,11149.1518970832
"102","Interventie",36,5407.65094493497,8411.85692557221,11285.1529215588
"103","Interventie",37,5253.88616665604,8406.00401262564,11498.0153374904
"104","Interventie",38,5051.09912717747,8388.26778869168,11667.2612223915
"105","Interventie",39,5009.88845555849,8496.19250066218,11911.0195230481
"106","Interventie",40,5037.42053220664,8692.87490857399,12336.8115628075
"107","Interventie",41,5152.73498307658,8925.49689961202,12737.5411241176
"108","Interventie",42,5400.26721226483,9304.47393043256,13165.0673262622
"109","Interventie",43,5818.58222536753,9857.88382440653,13787.5616117543
"110","Interventie",44,6363.33502156691,10576.8132025685,14656.3396064988
"111","Interventie",45,6801.90353429167,11209.407643689,15380.7916377237
"112","Interventie",46,7319.05688284892,11777.4811094319,16091.0111924133
"113","Interventie",47,7588.53532306077,12120.4797892314,16554.3911129612
"114","Interventie",48,7897.35678471794,12544.2360730848,17121.9267709792
"115","CBS/AMC",11,0,-34,0
"116","CBS/AMC",12,0,407,0
"117","CBS/AMC",13,0,1762,0
"118","CBS/AMC",14,0,3822,0
"119","CBS/AMC",15,0,5845,0
"120","CBS/AMC",16,0,7234,0
"121","CBS/AMC",17,0,8272,0
"122","CBS/AMC",18,0,8810,0
"123","CBS/AMC",19,0,8975,0
"124","CBS/AMC",20,0,8956,0
"125","CBS/AMC",21,0,8957,0
"126","CBS/AMC",22,0,8932,0
"127","CBS/AMC",23,0,8879,0
"128","CBS/AMC",24,0,8833,0
"129","CBS/AMC",25,0,8802,0
"130","CBS/AMC",26,0,8745,0
"131","CBS/AMC",27,0,8661,0
"132","CBS/AMC",28,0,8561,0
"133","CBS/AMC",29,0,8368,0
"134","CBS/AMC",30,0,8332,0
"135","CBS/AMC",31,0,8310,0
"136","CBS/AMC",32,0,8267,0
"137","CBS/AMC",33,0,8807,0
"138","CBS/AMC",34,0,8995,0
"139","CBS/AMC",35,0,9060,0
"140","CBS/AMC",36,0,9073,0
"141","CBS/AMC",37,0,9113,0
"142","CBS/AMC",38,0,9102,0
"143","CBS/AMC",39,0,9240,0
"144","CBS/AMC",40,0,9450,0
"145","CBS/AMC",41,0,9660,0
"146","CBS/AMC",42,0,10031,0
"147","CBS/AMC",43,0,10611,0
"148","CBS/AMC",44,0,11394,0
"149","CBS/AMC",45,0,12075,0
"150","CBS/AMC",46,0,12691,0
"151","CBS/AMC",47,0,13012,0
"152","CBS/AMC",48,0,13447,0
