"week","year","cbs_deaths","covid_deaths"
1,2000,1867,0
2,2000,1902,0
3,2000,2027,0
4,2000,1940,0
5,2000,1928,0
6,2000,1760,0
7,2000,1666,0
8,2000,1628,0
9,2000,1566,0
10,2000,1524,0
11,2000,1528,0
12,2000,1501,0
13,2000,1428,0
14,2000,1475,0
15,2000,1543,0
16,2000,1391,0
17,2000,1392,0
18,2000,1290,0
19,2000,1279,0
20,2000,1320,0
21,2000,1336,0
22,2000,1265,0
23,2000,1383,0
24,2000,1428,0
25,2000,1392,0
26,2000,1317,0
27,2000,1339,0
28,2000,1304,0
29,2000,1329,0
30,2000,1299,0
31,2000,1375,0
32,2000,1326,0
33,2000,1519,0
34,2000,1441,0
35,2000,1279,0
36,2000,1217,0
37,2000,1382,0
38,2000,1303,0
39,2000,1351,0
40,2000,1353,0
41,2000,1422,0
42,2000,1415,0
43,2000,1409,0
44,2000,1466,0
45,2000,1578,0
46,2000,1372,0
47,2000,1441,0
48,2000,1406,0
49,2000,1388,0
50,2000,1471,0
51,2000,1459,0
52,2000,1513,0
1,2001,1580,0
2,2001,1600,0
3,2001,1460,0
4,2001,1566,0
5,2001,1529,0
6,2001,1473,0
7,2001,1432,0
8,2001,1514,0
9,2001,1438,0
10,2001,1488,0
11,2001,1511,0
12,2001,1518,0
13,2001,1360,0
14,2001,1445,0
15,2001,1506,0
16,2001,1441,0
17,2001,1509,0
18,2001,1508,0
19,2001,1402,0
20,2001,1361,0
21,2001,1312,0
22,2001,1354,0
23,2001,1291,0
24,2001,1335,0
25,2001,1351,0
26,2001,1413,0
27,2001,1349,0
28,2001,1365,0
29,2001,1338,0
30,2001,1293,0
31,2001,1472,0
32,2001,1327,0
33,2001,1448,0
34,2001,1409,0
35,2001,1294,0
36,2001,1253,0
37,2001,1306,0
38,2001,1304,0
39,2001,1399,0
40,2001,1406,0
41,2001,1399,0
42,2001,1454,0
43,2001,1362,0
44,2001,1406,0
45,2001,1439,0
46,2001,1513,0
47,2001,1500,0
48,2001,1484,0
49,2001,1495,0
50,2001,1570,0
51,2001,1638,0
52,2001,1617,0
1,2002,1632,0
2,2002,1551,0
3,2002,1523,0
4,2002,1639,0
5,2002,1572,0
6,2002,1543,0
7,2002,1555,0
8,2002,1605,0
9,2002,1465,0
10,2002,1565,0
11,2002,1581,0
12,2002,1482,0
13,2002,1399,0
14,2002,1527,0
15,2002,1531,0
16,2002,1447,0
17,2002,1390,0
18,2002,1433,0
19,2002,1439,0
20,2002,1415,0
21,2002,1379,0
22,2002,1352,0
23,2002,1357,0
24,2002,1418,0
25,2002,1664,0
26,2002,1469,0
27,2002,1395,0
