"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr"
"1",2020,1,NA,0,2243,NA,NA
"2",2020,2,NA,0,2405,NA,NA
"3",2020,3,NA,0,2326,NA,NA
"4",2020,4,NA,0,2216,NA,NA
"5",2020,5,NA,0,2373,NA,NA
"6",2020,6,NA,0,2179,NA,NA
"7",2020,7,NA,0,2321,NA,NA
"8",2020,8,NA,0,2316,NA,NA
"9",2020,9,2258.9955093705,0,2259,2258.11834195336,2259.83644529115
"10",2020,10,2222.03171086443,0,2222,2221.16282417749,2222.961284175
"11",2020,11,2221.89636377112,18,2254,2186.34511154564,2255.78177038301
"12",2020,12,2216.11318086826,198,2573,2015.00821028607,2407.19167240926
"13",2020,13,2168.57531555394,782,3216,1910.15098423224,2412.51181636331
"14",2020,14,2122.56567534842,1584,4044,1855.47635100626,2370.4565512768
"15",2020,15,2080.71698586704,1979,4308,1826.44857420039,2329.78108711261
"16",2020,16,2026.21249412554,1667,3721,1748.39058177171,2332.70166941991
"17",2020,17,1987.89005452481,1195,3057,1709.7115560995,2274.82610961097
"18",2020,18,1958.56731743608,698,2432,1650.49325174231,2243.44414336484
"19",2020,19,1931.83562663122,535,2397,1678.89046061431,2207.05251998322
"20",2020,20,1891.36924062231,314,2047,1622.80197027033,2187.23356922416
"21",2020,21,1879.20630752842,230,2087,1651.61310357546,2140.53561976746
"22",2020,22,1829.72874966093,160,1991,1624.30887661126,2047.94667927489
"23",2020,23,1726.27633995327,113,1812,1537.84492165212,1933.44408187169
"24",2020,24,1805.80981270303,58,1905,1682.10955162844,1923.74902908666
"25",2020,25,1727.79631750585,43,1824,1624.39904081695,1832.68360351832
"26",2020,26,1845.90097928396,39,1971,1737.51796720794,1949.83922794894
"27",2020,27,1679.1177275534,25,1772,1609.73107952407,1747.83409208322
"28",2020,28,1639.29330359712,13,1697,1600.9199031458,1676.76660791435
"29",2020,29,1760.94263032355,19,1862,1708.05576043444,1815.94870573625
"30",2020,30,1727.26869891007,15,1818,1683.71452808892,1773.09069439315
"31",2020,31,1820.69468392784,20,1958,1763.20830506813,1877.76464152713
"32",2020,32,1816.60132567492,30,2046,1732.02439302064,1903.00439760417
"33",2020,33,2210.46048929611,75,2885,2038.00806983168,2392.13926144704
"34",2020,34,1904.59338462156,42,2223,1803.75423064034,2014.05539360776
"35",2020,35,1699.96274763156,28,1878,1621.04424340861,1776.35771865159
"36",2020,36,1807.42229904269,17,1903,1757.30382220988,1856.10914963949
"37",2020,37,1730.91637939178,19,1822,1679.01483549131,1781.85023183599
"38",2020,38,1898.13808935906,27,2010,1824.29003434238,1974.02850442985
"39",2020,39,1803.5159168089,39,1927,1711.17765291022,1904.72889511483
"40",2020,40,1738.39599682065,84,1928,1563.18210603936,1932.34026575301
"41",2020,41,1801.4585098023,139,2068,1588.62199663825,2018.82886444293
"42",2020,42,1824.66126445967,236,2156,1588.79935812246,2061.65382752806
"43",2020,43,1888.31256019601,502,2623,1600.83380471532,2194.2171605415
"44",2020,44,1936.81525572074,1056,3290,1670.2546833389,2210.50113930872
"45",2020,45,1985.38165656797,1411,3697,1688.6083890332,2263.10461724305
"46",2020,46,2026.70830595687,1328,3439,1774.63874446498,2288.35011878337
"47",2020,47,2067.15295794761,1123,3179,1750.84774152934,2378.17027835078
"48",2020,48,2105.12925140169,874,2891,1826.78769930408,2391.47336342983
"49",2020,49,2144.63798588351,699,2696,1799.51863626402,2466.24448271041
"50",2020,50,2196.01221711635,666,2778,1835.96424458506,2551.96447383026
"51",2020,51,2228.20988044139,654,2730,1911.18000697165,2543.78021164762
"52",2020,52,2266.45072902191,534,2609,2023.12437929509,2520.5955256964
