"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,-2.13832977896014,32.1006152079285,67.3209998304387
"2","Dynamisch",12,178.996299926883,388.978884798998,613.816411338943
"3","Dynamisch",13,1021.87126221429,1436.39003589408,1853.53719476893
"4","Dynamisch",14,2762.767565157,3357.81323597047,3975.19616196695
"5","Dynamisch",15,4837.09364495203,5585.09794597035,6381.40394877767
"6","Dynamisch",16,6409.73582963076,7279.87379221612,8219.32541510057
"7","Dynamisch",17,7332.42716848024,8348.9781391921,9410.50906313182
"8","Dynamisch",18,7589.5561412688,8822.41589315706,10104.7553488206
"9","Dynamisch",19,7916.39627849392,9287.58063528674,10668.4254437122
"10","Dynamisch",20,8026.38347582756,9443.18498176428,10957.9340792805
"11","Dynamisch",21,8109.51696724016,9650.99109752122,11232.026545342
"12","Dynamisch",22,8123.21508591442,9812.25529351908,11507.0548162127
"13","Dynamisch",23,8172.78481179005,9898.00298143298,11641.4345574569
"14","Dynamisch",24,8251.88184422842,9997.18927535099,11802.5940955044
"15","Dynamisch",25,8285.15554763608,10093.3996615703,11943.278664834
"16","Dynamisch",26,8383.36458959208,10218.5007940276,12165.9675913544
"17","Dynamisch",27,8437.20069463582,10311.3633833826,12278.4761789447
"18","Dynamisch",28,8487.76020699377,10369.0669047095,12356.7236118006
"19","Dynamisch",29,8567.97596630194,10470.1455911059,12474.7782994977
"20","Dynamisch",30,8661.65800246336,10560.888048865,12567.0869850748
"21","Dynamisch",31,8793.05063004345,10698.2024277252,12697.4391710264
"22","Dynamisch",32,9001.8237255659,10927.6151971876,12925.9031412844
"23","Dynamisch",33,9633.75421797885,11602.1423254031,13647.2085126756
"24","Dynamisch",34,9839.89628676758,11920.5403591823,13997.5306752832
"25","Dynamisch",35,9994.99554597101,12098.5680544921,14182.3485262446
"26","Dynamisch",36,10085.6856137529,12194.1102179741,14280.2717193172
"27","Dynamisch",37,10144.3369591326,12285.2153592306,14377.7521350983
"28","Dynamisch",38,10241.5718847501,12397.0553867006,14497.9125644525
"29","Dynamisch",39,10350.8421868824,12520.5337665766,14609.0662050515
"30","Dynamisch",40,10523.5748867253,12710.1699538873,14839.8821617003
"31","Dynamisch",41,10765.5820047089,12976.6971954304,15157.4073296959
"32","Dynamisch",42,11036.3412521119,13308.0396717516,15544.1825949051
"33","Dynamisch",43,11787.9513523533,14042.7136344367,16334.300690352
"34","Dynamisch",44,13099.7240115883,15395.8899374787,17818.8668606803
"35","Dynamisch",45,14631.6335338079,17107.5319932218,19569.0475174155
"36","Dynamisch",46,16015.3734855741,18519.8304287922,21083.4329496425
"37","Dynamisch",47,16961.9664005882,19631.6908480054,22303.5255720216
"38","Dynamisch",48,17652.2510369984,20417.5414916023,23176.035687711
"39","Dynamisch",49,18086.0126416183,20968.9075330297,23838.3356818156
"40","Dynamisch",50,18589.6347280863,21550.8843054896,24528.3783813366
"41","Dynamisch",51,18938.3835799329,22052.6699903163,25105.9678538868
"42","Dynamisch",52,19144.5645696135,22395.2266943843,25569.1436866459
