"","year","week","cbs_deaths","mid","lwr","upr","smooth"
"1",2010,1,2280,2280.00167835207,NA,NA,NA
"2",2010,2,2352,2352.04107333643,NA,NA,NA
"3",2010,3,2303,2302.98950620116,NA,NA,NA
"4",2010,4,2226,2225.99135242308,NA,NA,NA
"5",2010,5,2248,2247.97853945628,NA,NA,NA
"6",2010,6,2151,2151.00627479332,NA,NA,NA
"7",2010,7,2260,2259.99311819137,NA,NA,NA
"8",2010,8,2210,2209.99224295761,NA,NA,NA
"9",2010,9,2116,2116.01910353075,NA,NA,NA
"10",2010,10,2144,2144.02291833811,NA,NA,NA
"11",2010,11,2092,2091.98145670978,NA,NA,NA
"12",2010,12,2036,2035.97526368296,NA,NA,NA
"13",2010,13,2024,2023.99837984441,NA,NA,NA
"14",2010,14,1918,1918.03146659656,NA,NA,NA
"15",2010,15,1948,1947.99122950862,NA,NA,NA
"16",2010,16,1929,1928.98958096675,NA,NA,NA
"17",2010,17,1956,1955.98021319329,NA,NA,NA
"18",2010,18,1894,1894.01085223257,NA,NA,NA
"19",2010,19,1967,1966.98745216405,NA,NA,NA
"20",2010,20,1989,1989.01646818152,NA,NA,NA
"21",2010,21,1886,1885.99537445179,NA,NA,NA
"22",2010,22,2029,2028.98010565657,NA,NA,NA
"23",2010,23,1882,1882.00069998343,NA,NA,NA
"24",2010,24,1736,1736.00840739956,NA,NA,NA
"25",2010,25,1961,1961.01269353947,NA,NA,NA
"26",2010,26,2200,2199.99318946708,NA,NA,NA
"27",2010,27,2063,2063.00783602075,NA,NA,NA
"28",2010,28,1871,1871.01739128186,NA,NA,NA
"29",2010,29,1842,1841.98247641383,NA,NA,NA
"30",2010,30,1752,1752.00740643941,NA,NA,NA
"31",2010,31,1785,1784.98853701076,NA,NA,NA
"32",2010,32,1816,1816.00579025554,NA,NA,NA
"33",2010,33,1853,1852.98062324848,NA,NA,NA
"34",2010,34,1798,1797.99901827021,NA,NA,NA
"35",2010,35,1804,1804.01210135087,NA,NA,NA
"36",2010,36,1826,1826.01227183148,NA,NA,NA
"37",2010,37,1911,1911.01094368068,NA,NA,NA
"38",2010,38,1981,1981.02790812259,NA,NA,NA
"39",2010,39,1952,1952.00137854747,NA,NA,NA
"40",2010,40,1955,1955.03095649064,NA,NA,NA
"41",2010,41,1813,1812.98460135793,NA,NA,NA
"42",2010,42,1950,1950.01894906751,NA,NA,NA
"43",2010,43,2005,2005.02056161589,NA,NA,NA
"44",2010,44,1955,1954.96576759691,NA,NA,NA
"45",2010,45,1972,1971.98682059827,NA,NA,NA
"46",2010,46,1925,1924.99566842053,NA,NA,NA
"47",2010,47,1996,1996.01282577187,NA,NA,NA
"48",2010,48,2147,2146.99818214719,NA,NA,NA
"49",2010,49,2172,2172.02527023898,NA,NA,NA
"50",2010,50,2288,2287.99687719584,NA,NA,NA
"51",2010,51,2312,2312.0313012692,NA,NA,NA
"52",2010,52,2311,2311.01188728628,NA,NA,NA
"53",2011,1,2334,2333.9722085527,NA,NA,NA
"54",2011,2,2323,2322.99716449833,NA,NA,NA
"55",2011,3,2191,2191.00595589494,NA,NA,NA
"56",2011,4,2030,2029.97962681881,NA,NA,NA
"57",2011,5,2144,2144.0071346198,NA,NA,NA
"58",2011,6,2066,2065.99320979942,NA,NA,NA
"59",2011,7,2068,2068.01821980278,NA,NA,NA
"60",2011,8,2053,2053.01800119473,NA,NA,NA
"61",2011,9,1972,1972.01275895631,NA,NA,NA
"62",2011,10,2144,2143.97974670003,NA,NA,NA
"63",2011,11,2077,2076.9925859307,NA,NA,NA
"64",2011,12,2049,2048.99958384394,NA,NA,NA
"65",2011,13,2014,2014.00113404428,NA,NA,NA
"66",2011,14,1936,1935.99134980954,NA,NA,NA
"67",2011,15,1898,1897.97454915774,NA,NA,NA
"68",2011,16,2046,2045.99460008566,NA,NA,NA
"69",2011,17,1934,1933.98101090127,NA,NA,NA
"70",2011,18,1882,1882.0001178487,NA,NA,NA
"71",2011,19,1962,1961.9954556882,NA,NA,NA
"72",2011,20,1872,1871.97112307053,NA,NA,NA
"73",2011,21,1959,1959.00346564245,NA,NA,NA
"74",2011,22,1997,1997.00351523609,NA,NA,NA
"75",2011,23,1870,1870.01207171805,NA,NA,NA
"76",2011,24,1888,1887.99677823074,NA,NA,NA
"77",2011,25,1832,1832.01830689695,NA,NA,NA
"78",2011,26,2037,2037.01899848463,NA,NA,NA
"79",2011,27,1970,1969.99536378078,NA,NA,NA
"80",2011,28,1798,1798.03048606502,NA,NA,NA
"81",2011,29,1790,1790.00879846723,NA,NA,NA
"82",2011,30,1777,1776.99551661307,NA,NA,NA
"83",2011,31,1931,1931.00062605656,NA,NA,NA
"84",2011,32,1878,1878.01864995261,NA,NA,NA
"85",2011,33,1770,1769.9893820283,NA,NA,NA
"86",2011,34,1858,1857.99969350156,NA,NA,NA
"87",2011,35,1856,1855.99868038533,NA,NA,NA
"88",2011,36,1832,1832.00209881739,NA,NA,NA
"89",2011,37,1822,1821.99839897494,NA,NA,NA
"90",2011,38,1819,1818.97264455724,NA,NA,NA
"91",2011,39,2015,2014.99819849437,NA,NA,NA
"92",2011,40,1891,1890.99546130509,NA,NA,NA
"93",2011,41,1914,1913.97696464019,NA,NA,NA
"94",2011,42,1930,1929.97873060737,NA,NA,NA
"95",2011,43,2085,2085.02152663074,NA,NA,NA
"96",2011,44,2116,2116.00624875558,NA,NA,NA
"97",2011,45,1937,1936.97979128615,NA,NA,NA
"98",2011,46,2077,2077.01493075097,NA,NA,NA
"99",2011,47,2027,2027.00729479542,NA,NA,NA
"100",2011,48,2159,2158.98809736397,NA,NA,NA
"101",2011,49,2182,2182.00275776252,NA,NA,NA
"102",2011,50,2203,2202.99710827157,NA,NA,NA
"103",2011,51,2383,2382.97575114836,NA,NA,NA
"104",2011,52,2321,2320.98229110023,NA,NA,NA
"105",2012,1,2286,2286.0088524876,NA,NA,NA
"106",2012,2,2218,2218.01706852725,NA,NA,NA
"107",2012,3,2232,2232.01409499087,NA,NA,NA
"108",2012,4,2233,2233.01901813183,NA,NA,NA
"109",2012,5,2358,2357.9825962093,NA,NA,NA
"110",2012,6,2445,2445.01689596671,NA,NA,NA
"111",2012,7,2717,2716.99042463058,NA,NA,NA
"112",2012,8,2770,2769.99810957424,NA,NA,NA
"113",2012,9,2650,2649.98973741096,NA,NA,NA
"114",2012,10,2480,2480.00472475191,NA,NA,NA
"115",2012,11,2427,2426.99941069175,NA,NA,NA
"116",2012,12,2162,2162.00546681147,NA,NA,NA
"117",2012,13,2206,2206.02683017513,NA,NA,NA
"118",2012,14,2099,2098.98615909515,NA,NA,NA
"119",2012,15,2122,2121.99000040372,NA,NA,NA
"120",2012,16,2110,2110.01457878666,NA,NA,NA
"121",2012,17,2027,2027.00612398724,NA,NA,NA
"122",2012,18,2091,2091.0056542036,NA,NA,NA
"123",2012,19,2020,2019.99627124491,NA,NA,NA
"124",2012,20,1879,1879.00813242585,NA,NA,NA
"125",2012,21,2086,2085.98791951496,NA,NA,NA
"126",2012,22,1904,1903.98724660078,NA,NA,NA
"127",2012,23,1897,1896.99421515108,NA,NA,NA
"128",2012,24,1845,1844.99079149195,NA,NA,NA
"129",2012,25,1902,1901.99311377192,NA,NA,NA
"130",2012,26,2016,2016.00401863496,NA,NA,NA
"131",2012,27,1864,1864.00145737258,NA,NA,NA
"132",2012,28,1816,1815.99441789327,NA,NA,NA
"133",2012,29,1774,1774.00366065744,NA,NA,NA
"134",2012,30,2041,2040.99048191085,NA,NA,NA
"135",2012,31,1771,1770.99490993496,NA,NA,NA
"136",2012,32,1834,1833.99021207755,NA,NA,NA
"137",2012,33,1838,1837.99521351156,NA,NA,NA
"138",2012,34,1954,1954.00385471451,NA,NA,NA
"139",2012,35,1731,1730.99457089723,NA,NA,NA
"140",2012,36,1790,1790.00305428371,NA,NA,NA
"141",2012,37,1845,1845.00629045264,NA,NA,NA
"142",2012,38,1788,1787.99293805314,NA,NA,NA
"143",2012,39,1996,1996.01899887974,NA,NA,NA
"144",2012,40,2015,2015.01354308283,NA,NA,NA
"145",2012,41,1965,1965.00665629928,NA,NA,NA
"146",2012,42,2050,2050.00150518172,NA,NA,NA
"147",2012,43,2018,2017.99088749854,NA,NA,NA
"148",2012,44,2007,2007.00399255545,NA,NA,NA
"149",2012,45,2095,2094.99480066331,NA,NA,NA
"150",2012,46,2030,2030.0138118016,NA,NA,NA
"151",2012,47,2079,2079.01703874463,NA,NA,NA
"152",2012,48,2061,2061.02446240705,NA,NA,NA
"153",2012,49,2152,2151.9913455575,NA,NA,NA
"154",2012,50,2184,2183.97996355386,NA,NA,NA
"155",2012,51,2292,2291.98472689551,NA,NA,NA
"156",2012,52,2203,2202.99570610537,NA,NA,NA
"157",2013,1,2236,2235.9958997068,NA,NA,NA
"158",2013,2,2267,2266.96321997456,NA,NA,NA
"159",2013,3,2238,2238.01872503629,NA,NA,NA
"160",2013,4,2444,2444.00714165897,NA,NA,NA
"161",2013,5,2576,2576.00740852882,NA,NA,NA
"162",2013,6,2448,2448.02236884115,NA,NA,NA
"163",2013,7,2444,2443.98377389829,NA,NA,NA
"164",2013,8,2435,2434.99653302313,NA,NA,NA
"165",2013,9,2549,2549.00622716364,NA,NA,NA
"166",2013,10,2572,2571.98763537566,NA,NA,NA
"167",2013,11,2343,2343.0195730193,NA,NA,NA
"168",2013,12,2364,2363.99831343704,NA,NA,NA
"169",2013,13,2365,2365.00824004323,NA,NA,NA
"170",2013,14,2418,2417.9866028171,NA,NA,NA
"171",2013,15,2415,2415.0140540285,NA,NA,NA
"172",2013,16,2254,2253.98748715092,NA,NA,NA
"173",2013,17,2139,2139.0001376145,NA,NA,NA
"174",2013,18,1940,1940.03098386476,NA,NA,NA
"175",2013,19,1960,1959.98283649714,NA,NA,NA
"176",2013,20,1988,1988.00149875241,NA,NA,NA
