"","week","model","mid","lwr","upr"
"1",11,"Dynamisch",32.1006152079285,-2.13832977896014,67.3209998304387
"2",12,"Dynamisch",356.878269591069,165.893174683994,557.555380951074
"3",13,"Dynamisch",1047.41115109508,803.090067965826,1305.0830583237
"4",14,"Dynamisch",1921.42320007639,1673.2131993961,2188.78502127197
"5",15,"Dynamisch",2227.28470999988,1977.84448673744,2481.99411908444
"6",16,"Dynamisch",1694.77584624577,1387.95393651028,1972.94263948724
"7",17,"Dynamisch",1069.10434697598,782.793328125464,1347.85631004637
"8",18,"Dynamisch",473.437753964968,188.389769491198,781.562257646646
"9",19,"Dynamisch",465.164742129675,190.008511141622,718.406185377327
"10",20,"Dynamisch",155.604346477539,-140.847504067516,424.375684866574
"11",21,"Dynamisch",207.806115756945,-52.9950967095431,435.777896198099
"12",22,"Dynamisch",161.264195997855,-56.8819322172122,366.813832935136
"13",23,"Dynamisch",85.747687913899,-121.133717323455,274.03081439749
"14",24,"Dynamisch",99.1862939180101,-19.3108163846202,222.941590678033
"15",25,"Dynamisch",96.2103862193276,-8.73352005284155,199.456352687061
"16",26,"Dynamisch",125.101132457315,21.5782033193306,233.291312954224
"17",27,"Dynamisch",92.8625893549354,24.4564470968789,162.63541604794
"18",28,"Dynamisch",57.7035213269097,20.5302240055188,95.838817207478
"19",29,"Dynamisch",101.078686396445,45.5232190022201,154.232648435623
"20",30,"Dynamisch",90.7424577591166,44.0991965329972,134.064491253628
"21",31,"Dynamisch",137.314378860177,80.4750630096272,195.187070125206
"22",32,"Dynamisch",229.412769462372,142.545203436313,313.055001171161
"23",33,"Dynamisch",674.527128215534,493.22189402758,847.325680339217
"24",34,"Dynamisch",318.398033779171,208.699404057851,419.409738244129
"25",35,"Dynamisch",178.027695309774,101.590098779089,256.708160566327
"26",36,"Dynamisch",95.5421634819931,47.042254183519,145.340902588125
"27",37,"Dynamisch",91.1051412565248,40.0586958424388,143.248991985686
"28",38,"Dynamisch",111.840027470039,36.3632528937524,185.579796393299
"29",39,"Dynamisch",123.478379875982,21.9764353445846,215.850086683871
"30",40,"Dynamisch",189.636187310684,-3.72254939973369,365.157359124234
"31",41,"Dynamisch",266.527241543076,49.1421764640396,480.0359405805
"32",42,"Dynamisch",331.342476321215,93.9385603347867,567.941445971865
"33",43,"Dynamisch",734.673962685157,428.77157216185,1021.86313654487
"34",44,"Dynamisch",1353.17630304198,1079.6098291023,1619.95130171853
"35",45,"Dynamisch",1711.64205574304,1433.91478919508,2008.03650888481
"36",46,"Dynamisch",1412.29843557049,1150.91424384351,1663.83162590512
"37",47,"Dynamisch",1111.8604192132,800.473612779851,1427.98022686632
"38",48,"Dynamisch",785.850643596818,499.642216921755,1064.15473651623
"39",49,"Dynamisch",551.366041427483,229.877449029382,896.098752167977
"40",50,"Dynamisch",581.976772459839,226.812162216831,942.231655187161
"41",51,"Dynamisch",501.785684826752,186.091384469854,819.544776397869
"42",52,"Dynamisch",342.556704067993,88.5676102198685,585.857027925216
"43",11,"Statisch",19.8795195044633,18.0747520799612,21.617232750006
"44",12,"Statisch",218.674721559237,198.822289578262,237.789582810098
"45",13,"Statisch",863.654715213194,785.247887098171,939.149118810252
"46",14,"Statisch",1749.39779509305,1590.57721425161,1902.31754867403
"47",15,"Statisch",2185.64285622626,1987.21665119613,2376.6952281688
"48",16,"Statisch",1841.06452796089,1673.9206509322,2001.99576345775
"49",17,"Statisch",1319.77931264632,1199.96122055793,1435.14443149013
"50",18,"Statisch",770.883656470016,700.897927363976,838.268273317463
"51",19,"Statisch",590.863549956562,537.221010065624,642.512193739183
"52",20,"Statisch",346.787198262251,315.303454414095,377.100702783875
"53",21,"Statisch",254.01610010708,230.95476299851,276.220097354416
"54",22,"Statisch",176.706848855757,160.664004284496,192.153054390976
"55",23,"Statisch",124.799209744174,113.469097810312,135.708092870944
"56",24,"Statisch",64.0562304917681,58.2407864741793,69.6554815489821
"57",25,"Statisch",47.4899641459338,43.1784830756756,51.6411201109804
"58",26,"Statisch",43.0722925058518,39.1618798735135,46.8372848796279
"59",27,"Statisch",27.6104427043845,25.1037522806241,30.023891606922
"60",28,"Statisch",14.3574299847881,13.0539495014587,15.61241358209
"61",29,"Statisch",20.9839358936538,19.0788496044866,22.8181305847088
"62",30,"Statisch",16.5662650353336,15.0622419938015,18.0143157262182
"63",31,"Statisch",22.0883542084039,20.0829917422331,24.0190805311986
"64",32,"Statisch",33.1325302602994,30.1244727307147,36.0286144650701
"65",33,"Statisch",82.8313256766589,75.311187797893,90.0715527226234
"66",34,"Statisch",46.3855429045011,42.1742566706387,50.4400840555758
"67",35,"Statisch",30.9236955727836,28.1161887409831,33.6267460840068
"68",36,"Statisch",18.7751006310187,17.070541415292,20.4162309716051
"69",37,"Statisch",20.9839364990931,19.0788367305018,22.8181412023955
"70",38,"Statisch",29.8192789048108,27.1120374362192,32.4257745215303
"71",39,"Statisch",43.0722915465422,39.161853337978,46.8372345241615
"72",40,"Statisch",92.7710904545399,84.3486454516391,100.88013033099
"73",41,"Statisch",153.514063467947,139.576896498936,166.932422268107
"74",42,"Statisch",260.642583790454,236.979185966067,283.424885367716
"75",43,"Statisch",554.417714007387,504.082660349148,602.878273592152
"76",44,"Statisch",1166.26515772382,1060.38067094232,1268.2059599084
"77",45,"Statisch",1558.33344147072,1416.85294803457,1694.54315241782
"78",46,"Statisch",1466.66678632223,1333.50956349684,1594.8648822733
