week,year,cbs_deaths,covid_deaths
1,2007,1173,0
2,2007,1209,0
3,2007,1063,0
4,2007,1022,0
5,2007,1110,0
6,2007,1112,0
7,2007,1119,0
8,2007,1256,0
9,2007,1256,0
10,2007,1184,0
11,2007,1240,0
12,2007,1142,0
13,2007,1177,0
14,2007,1124,0
15,2007,1042,0
16,2007,1090,0
17,2007,1021,0
18,2007,1138,0
19,2007,1059,0
20,2007,971,0
21,2007,1090,0
22,2007,978,0
23,2007,1040,0
24,2007,1046,0
25,2007,1007,0
26,2007,986,0
27,2007,995,0
28,2007,998,0
29,2007,1052,0
30,2007,982,0
31,2007,1014,0
32,2007,1096,0
33,2007,947,0
34,2007,940,0
35,2007,1006,0
36,2007,967,0
37,2007,1006,0
38,2007,1000,0
39,2007,950,0
40,2007,980,0
41,2007,985,0
42,2007,947,0
43,2007,1021,0
44,2007,1033,0
45,2007,1077,0
46,2007,1063,0
47,2007,988,0
48,2007,1112,0
49,2007,1104,0
50,2007,1127,0
51,2007,1139,0
52,2007,1244,0
1,2008,1257,0
2,2008,1217,0
3,2008,1173,0
4,2008,1179,0
5,2008,1114,0
6,2008,1094,0
7,2008,1063,0
8,2008,1110,0
9,2008,1052,0
10,2008,1066,0
11,2008,1059,0
12,2008,1074,0
13,2008,1095,0
14,2008,1067,0
15,2008,1052,0
16,2008,1048,0
17,2008,1003,0
18,2008,1056,0
19,2008,1040,0
20,2008,1005,0
21,2008,974,0
22,2008,1119,0
23,2008,1020,0
24,2008,1000,0
25,2008,975,0
26,2008,963,0
27,2008,1009,0
28,2008,940,0
29,2008,986,0
30,2008,948,0
31,2008,989,0
32,2008,953,0
33,2008,896,0
34,2008,979,0
35,2008,899,0
36,2008,948,0
37,2008,952,0
38,2008,1032,0
39,2008,1036,0
40,2008,1049,0
41,2008,1002,0
42,2008,1042,0
43,2008,1000,0
44,2008,1012,0
45,2008,1039,0
46,2008,1034,0
47,2008,1018,0
48,2008,1007,0
49,2008,1086,0
50,2008,1103,0
51,2008,1207,0
52,2008,1181,0
1,2009,1265,0
2,2009,1296,0
3,2009,1309,0
4,2009,1364,0
5,2009,1227,0
6,2009,1261,0
7,2009,1185,0
8,2009,1222,0
9,2009,1139,0
10,2009,1150,0
11,2009,1091,0
12,2009,1099,0
13,2009,1104,0
14,2009,1100,0
15,2009,1052,0
16,2009,1024,0
17,2009,1012,0
18,2009,1053,0
19,2009,953,0
20,2009,1053,0
21,2009,966,0
22,2009,986,0
23,2009,976,0
24,2009,947,0
25,2009,998,0
26,2009,982,0
27,2009,1035,0
28,2009,891,0
29,2009,1028,0
30,2009,979,0
31,2009,957,0
32,2009,973,0
33,2009,937,0
34,2009,940,0
35,2009,943,0
36,2009,949,0
37,2009,992,0
38,2009,920,0
39,2009,936,0
40,2009,1003,0
41,2009,951,0
42,2009,950,0
43,2009,1052,0
44,2009,1039,0
45,2009,1033,0
46,2009,1024,0
47,2009,1086,0
48,2009,1015,0
49,2009,1076,0
50,2009,1090,0
51,2009,1058,0
52,2009,1098,0
53,2009,1117,0
1,2010,1159,0
2,2010,1127,0
3,2010,1120,0
4,2010,1058,0
5,2010,1102,0
6,2010,1128,0
7,2010,1135,0
8,2010,1177,0
9,2010,1182,0
10,2010,1128,0
11,2010,1067,0
12,2010,1095,0
13,2010,1056,0
14,2010,1090,0
15,2010,1091,0
16,2010,1076,0
17,2010,1022,0
18,2010,1039,0
19,2010,1005,0
20,2010,1079,0
21,2010,960,0
22,2010,921,0
23,2010,950,0
24,2010,972,0
25,2010,995,0
26,2010,1093,0
27,2010,955,0
28,2010,991,0
29,2010,980,0
30,2010,977,0
31,2010,978,0
32,2010,994,0
33,2010,940,0
34,2010,998,0
35,2010,949,0
36,2010,993,0
37,2010,994,0
38,2010,1039,0
39,2010,937,0
40,2010,965,0
41,2010,1001,0
42,2010,1058,0
43,2010,990,0
44,2010,1019,0
45,2010,1021,0
46,2010,947,0
47,2010,1032,0
48,2010,1106,0
49,2010,1109,0
50,2010,1121,0
51,2010,1160,0
52,2010,1125,0
1,2011,1244,0
2,2011,1099,0
3,2011,1093,0
4,2011,1086,0
5,2011,1067,0
6,2011,1055,0
7,2011,1124,0
8,2011,1035,0
9,2011,1117,0
10,2011,1089,0
11,2011,1087,0
12,2011,1006,0
13,2011,1071,0
14,2011,1013,0
15,2011,938,0
16,2011,956,0
17,2011,1011,0
18,2011,1028,0
19,2011,1007,0
20,2011,951,0
21,2011,983,0
22,2011,914,0
23,2011,986,0
24,2011,964,0
25,2011,926,0
26,2011,994,0
27,2011,945,0
28,2011,998,0
29,2011,906,0
30,2011,972,0
31,2011,912,0
32,2011,904,0
33,2011,906,0
34,2011,921,0
35,2011,935,0
36,2011,929,0
37,2011,933,0
38,2011,1007,0
39,2011,962,0
40,2011,918,0
41,2011,942,0
42,2011,971,0
43,2011,983,0
44,2011,1029,0
45,2011,967,0
46,2011,950,0
47,2011,1002,0
48,2011,1095,0
49,2011,1095,0
