"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,1.50480107744148,3.47039602011452,5.43324331789476
"2","Dynamisch",12,9.40499091579258,21.6899750479012,33.9577641737508
"3","Dynamisch",13,31.6007382104246,72.8783174308794,114.098086776922
"4","Dynamisch",14,74.111250579273,170.917009634845,267.587261669716
"5","Dynamisch",15,109.850183711057,253.338920457218,396.626896948433
"6","Dynamisch",16,138.065189761062,318.408850875811,498.500262538519
"7","Dynamisch",17,160.261003988663,369.597195299756,578.640625165265
"8","Dynamisch",18,184.714100655962,425.991133346142,666.930889134644
"9","Dynamisch",19,197.504929451781,455.489500566258,713.113497065789
"10","Dynamisch",20,208.038541165585,479.78227315091,751.146237659724
"11","Dynamisch",21,212.929134922198,491.061060133281,768.80428674422
"12","Dynamisch",22,217.067325827747,500.604649123526,783.745711138402
"13","Dynamisch",23,223.086521759888,514.486232899666,805.478706504245
"14","Dynamisch",24,224.967519625697,518.824227674757,812.270270885138
"15","Dynamisch",25,226.848519365173,523.162222483418,819.061838813708
"16","Dynamisch",26,227.977118670927,525.765019221661,823.136778199234
"17","Dynamisch",27,228.353318788321,526.632618111481,824.495090686191
"18","Dynamisch",28,229.481916218216,529.235414788,828.57002910503
"19","Dynamisch",29,229.858114969515,530.103013682518,829.92834100718
"20","Dynamisch",30,230.610512584934,531.838211516608,832.644965255043
"21","Dynamisch",31,231.739111280224,534.441008299529,836.719904237511
"22","Dynamisch",32,233.243908329087,537.911404134832,842.153155830274
"23","Dynamisch",33,233.620106672989,538.779003098911,843.51146883351
"24","Dynamisch",34,234.372503433585,540.514201071345,846.228094698393
"25","Dynamisch",35,234.748702641799,541.381800038587,847.586406925059
"26","Dynamisch",36,236.253498461089,544.852195824596,853.019655733786
"27","Dynamisch",37,238.134495693987,549.190190776725,859.811217557939
"28","Dynamisch",38,241.14408655115,556.130982709909,870.677715473716
"29","Dynamisch",39,244.153678505776,563.071774653208,881.544208239899
"30","Dynamisch",40,248.668071343814,573.48296265362,897.843942239819
"31","Dynamisch",41,252.806274634443,583.026551988642,912.785360705586
"32","Dynamisch",42,258.449271491995,596.040537521151,933.160026097926
"33","Dynamisch",43,267.101870608413,615.995314897336,964.401184654033
"34","Dynamisch",44,272.368668140277,628.1417013956,983.417538800446
"35","Dynamisch",45,281.397460301512,648.964077543473,1016.01699485293
"36","Dynamisch",46,287.792854282749,663.713260800152,1039.10827183956
"37","Dynamisch",47,299.078846454487,689.741231583594,1079.85756933467
"38","Dynamisch",48,316.384024642093,729.650785515382,1142.33982770414
"39","Dynamisch",49,338.956059811028,781.706724847629,1223.83843409444
"40","Dynamisch",50,360.023250438582,830.292267397414,1299.90383289252
"41","Dynamisch",51,399.900443201262,922.257760175617,1443.88473257572
"42","Dynamisch",52,458.963766997265,1058.47080031088,1657.13939361456
"43","Statisch",11,1.49718500560697,3.59556751044649,5.65407092634391
"44","Statisch",12,9.35741421512862,22.4722970823852,35.3379385451337
"45","Statisch",13,31.4409500632724,75.50691913399,118.735448646617
"46","Statisch",14,73.7365060457467,177.081704899262,278.462978575439
"47","Statisch",15,109.29475468493,262.476436932439,412.747105820636
"48","Statisch",16,137.367086379265,329.893332982802,518.760939754474
"49","Statisch",17,159.45062039661,382.927959776088,602.158516066376
"50","Statisch",18,183.780019093338,441.355938840609,694.037199820338
"51","Statisch",19,196.506194467042,471.918266590742,742.096809341385
"52","Statisch",20,206.986563492278,497.087241378048,781.675304870718
"53","Statisch",21,211.852446147242,508.77283690197,800.051023830192
"54","Statisch",22,215.969728128717,518.660648394819,815.599713051104
"55","Statisch",23,221.958507853633,533.042919580564,838.215991917401
"56","Statisch",24,223.830001153114,537.537379329901,845.2835795637
"57","Statisch",25,225.701492804687,542.031839070845,852.351163304472
"58","Statisch",26,226.824387272735,544.728514859589,856.59171608281
"59","Statisch",27,227.198685326477,545.627406798002,858.005233361451
"60","Statisch",28,228.32157949443,548.324082611507,862.245784676859
"61","Statisch",29,228.695876594147,549.222974565487,863.659301067
"62","Statisch",30,229.444470521255,551.020758463453,866.486334628469
"63","Statisch",31,230.567360366243,553.717434266288,870.726886356606
"64","Statisch",32,232.064546188338,557.313002060401,876.380956220831
"65","Statisch",33,232.438843066426,558.211894047243,877.794473962251
