year,week,cbs_deaths,covid_deaths
2000,1,13630,0
2000,2,13175,0
2000,3,13192,0
2000,4,13193,0
2000,5,12885,0
2000,6,11755,0
2000,7,11292,0
2000,8,10893,0
2000,9,10686,0
2000,10,10287,0
2000,11,10009,0
2000,12,10042,0
2000,13,10035,0
2000,14,10035,0
2000,15,9850,0
2000,16,9874,0
2000,17,9774,0
2000,18,9587,0
2000,19,9406,0
2000,20,9242,0
2000,21,9269,0
2000,22,9566,0
2000,23,9297,0
2000,24,9541,0
2000,25,9614,0
2000,26,9263,0
2000,27,9427,0
2000,28,8985,0
2000,29,9511,0
2000,30,9467,0
2000,31,9068,0
2000,32,9440,0
2000,33,9294,0
2000,34,9289,0
2000,35,8816,0
2000,36,9033,0
2000,37,9226,0
2000,38,9057,0
2000,39,9154,0
2000,40,9436,0
2000,41,9986,0
2000,42,9880,0
2000,43,9974,0
2000,44,9799,0
2000,45,9982,0
2000,46,10133,0
2000,47,10102,0
2000,48,10037,0
2000,49,9977,0
2000,50,9993,0
2000,51,10287,0
2000,52,10910,0
2001,1,11534,0
2001,2,11321,0
2001,3,11054,0
2001,4,11206,0
2001,5,10719,0
2001,6,10831,0
2001,7,10599,0
2001,8,10437,0
2001,9,11075,0
2001,10,10985,0
2001,11,10761,0
2001,12,10288,0
2001,13,10149,0
2001,14,10049,0
2001,15,9915,0
2001,16,10153,0
2001,17,10249,0
2001,18,10204,0
2001,19,10000,0
2001,20,9776,0
2001,21,9879,0
2001,22,9718,0
2001,23,9405,0
2001,24,9440,0
2001,25,9853,0
2001,26,10439,0
2001,27,9959,0
2001,28,9171,0
2001,29,9197,0
2001,30,10101,0
2001,31,10370,0
2001,32,8945,0
2001,33,9613,0
2001,34,9791,0
2001,35,9282,0
2001,36,9108,0
2001,37,9425,0
2001,38,10008,0
2001,39,9770,0
2001,40,9990,0
2001,41,9610,0
2001,42,9778,0
2001,43,9351,0
2001,44,9687,0
2001,45,10325,0
2001,46,10381,0
2001,47,10369,0
2001,48,10710,0
2001,49,10080,0
2001,50,10393,0
2001,51,11457,0
2001,52,11978,0
2002,1,12475,0
2002,2,12763,0
2002,3,12588,0
2002,4,12536,0
2002,5,11924,0
2002,6,11586,0
2002,7,11207,0
2002,8,11133,0
2002,9,10969,0
2002,10,10892,0
2002,11,10242,0
2002,12,10317,0
2002,13,10125,0
2002,14,10323,0
2002,15,10289,0
2002,16,10184,0
2002,17,10200,0
2002,18,9755,0
2002,19,9650,0
2002,20,9922,0
2002,21,9537,0
2002,22,9682,0
2002,23,9487,0
2002,24,9881,0
2002,25,10395,0
2002,26,9368,0
2002,27,9254,0
2002,28,9487,0
2002,29,9678,0
2002,30,9431,0
2002,31,9499,0
2002,32,8775,0
2002,33,9449,0
2002,34,9116,0
2002,35,9036,0
2002,36,9147,0
2002,37,9331,0
2002,38,9534,0
2002,39,9516,0
2002,40,10020,0
2002,41,9944,0
2002,42,9919,0
2002,43,10086,0
2002,44,9842,0
2002,45,10056,0
2002,46,10206,0
2002,47,10023,0
2002,48,9963,0
2002,49,10059,0
2002,50,10505,0
2002,51,10921,0
2002,52,10908,0
2003,1,11181,0
2003,2,11596,0
2003,3,12006,0
2003,4,11400,0
2003,5,11025,0
2003,6,11226,0
2003,7,10954,0
2003,8,11333,0
2003,9,11395,0
2003,10,10939,0
2003,11,10750,0
2003,12,10602,0
2003,13,10414,0
2003,14,10160,0
2003,15,10438,0
2003,16,10661,0
2003,17,10329,0
2003,18,9947,0
2003,19,9759,0
2003,20,9721,0
2003,21,9545,0
2003,22,9958,0
2003,23,9919,0
2003,24,10042,0
2003,25,9845,0
2003,26,9937,0
2003,27,9394,0
2003,28,9952,0
2003,29,10513,0
2003,30,9862,0
2003,31,9477,0
2003,32,15822,0
2003,33,17412,0
2003,34,9911,0
2003,35,9538,0
2003,36,9254,0
2003,37,9606,0
2003,38,9821,0
2003,39,9672,0
2003,40,9733,0
2003,41,9763,0
2003,42,9664,0
2003,43,9995,0
2003,44,10229,0
2003,45,10274,0
2003,46,10145,0
2003,47,10112,0
2003,48,10337,0
2003,49,10430,0
2003,50,11355,0
2003,51,11500,0
2003,52,11854,0
2004,1,11982,0
2004,2,12175,0
2004,3,11200,0
2004,4,11012,0
2004,5,10843,0
2004,6,10672,0
2004,7,10313,0
2004,8,10527,0
2004,9,10520,0
2004,10,10502,0
2004,11,10455,0
2004,12,10012,0
2004,13,9835,0
2004,14,9968,0
2004,15,9623,0
2004,16,9786,0
2004,17,9731,0
2004,18,9655,0
2004,19,9404,0
2004,20,9484,0
2004,21,9179,0
2004,22,9325,0
2004,23,9172,0
2004,24,9583,0
2004,25,8800,0
2004,26,8995,0
2004,27,8894,0
2004,28,8976,0
2004,29,9275,0
2004,30,9092,0
2004,31,9101,0
2004,32,9177,0
2004,33,8712,0
2004,34,8602,0
2004,35,8837,0
2004,36,9228,0
2004,37,9326,0
2004,38,8815,0
2004,39,9119,0
2004,40,9610,0
2004,41,9727,0
2004,42,9508,0
2004,43,9910,0
2004,44,9527,0
2004,45,9452,0
2004,46,9531,0
2004,47,10041,0
2004,48,9794,0
2004,49,10033,0
2004,50,9994,0
2004,51,10522,0
2004,52,10764,0
2005,1,11000,0
2005,2,10642,0
2005,3,10926,0
2005,4,11199,0
2005,5,11967,0
2005,6,12528,0
2005,7,12824,0
2005,8,13019,0
2005,9,13110,0
2005,10,12865,0
2005,11,12557,0
2005,12,10999,0
2005,13,10453,0
2005,14,10167,0
2005,15,10060,0
2005,16,10180,0
2005,17,10139,0
2005,18,9697,0
2005,19,9444,0
2005,20,9555,0
2005,21,9897,0
2005,22,9136,0
2005,23,9132,0
2005,24,9658,0
2005,25,10055,0
2005,26,9332,0
2005,27,8458,0
2005,28,9531,0
2005,29,8943,0
2005,30,9140,0
2005,31,8588,0
2005,32,8912,0
2005,33,8853,0
2005,34,8600,0
2005,35,9475,0
2005,36,8908,0
2005,37,8735,0
2005,38,9397,0
2005,39,9230,0
2005,40,9653,0
2005,41,9887,0
2005,42,9502,0
2005,43,9733,0
2005,44,9277,0
2005,45,9622,0
2005,46,9770,0
2005,47,10208,0
2005,48,10517,0
2005,49,10195,0
2005,50,10523,0
2005,51,10643,0
2005,52,11366,0
2006,1,11547,0
2006,2,11162,0
2006,3,11034,0
2006,4,10673,0
2006,5,10858,0
2006,6,11028,0
2006,7,10994,0
2006,8,10764,0
2006,9,10864,0
2006,10,10454,0
2006,11,10290,0
2006,12,10460,0
2006,13,9968,0
2006,14,9830,0
2006,15,9752,0
2006,16,9717,0
2006,17,9490,0
2006,18,9720,0
2006,19,9318,0
2006,20,9325,0
2006,21,9379,0
2006,22,9264,0
2006,23,9764,0
2006,24,9923,0
2006,25,9243,0
2006,26,9441,0
2006,27,9569,0
2006,28,9536,0
2006,29,10434,0
2006,30,9646,0
2006,31,8862,0
2006,32,9213,0
2006,33,9160,0
2006,34,9098,0
2006,35,9417,0
2006,36,9721,0
2006,37,9546,0
2006,38,9021,0
2006,39,9285,0
2006,40,9367,0
2006,41,9665,0
2006,42,9760,0
2006,43,9778,0
2006,44,9473,0
2006,45,10234,0
2006,46,9884,0
2006,47,9988,0
2006,48,9696,0
2006,49,9973,0
2006,50,10018,0
2006,51,10170,0
2006,52,11405,0
2007,1,11558,0
2007,2,11368,0
2007,3,10718,0
2007,4,10740,0
2007,5,11104,0
2007,6,11259,0
2007,7,11265,0
2007,8,10925,0
2007,9,10588,0
2007,10,10316,0
2007,11,10142,0
2007,12,10188,0
2007,13,10240,0
2007,14,10105,0
2007,15,10187,0
2007,16,9698,0
2007,17,9707,0
2007,18,9191,0
2007,19,9205,0
2007,20,9336,0
2007,21,9576,0
2007,22,9187,0
2007,23,9763,0
2007,24,9254,0
2007,25,9156,0
2007,26,9232,0
2007,27,9317,0
2007,28,9682,0
2007,29,9686,0
2007,30,9319,0
2007,31,9245,0
2007,32,8929,0
2007,33,9015,0
2007,34,9146,0
2007,35,9129,0
2007,36,9031,0
2007,37,9265,0
2007,38,9467,0
2007,39,9445,0
2007,40,10126,0
2007,41,9790,0
2007,42,9870,0
2007,43,10262,0
2007,44,10315,0
2007,45,10286,0
2007,46,10476,0
2007,47,10643,0
2007,48,10461,0
2007,49,10554,0
2007,50,10483,0
2007,51,10967,0
2007,52,11684,0
2008,1,12625,0
2008,2,12248,0
2008,3,11655,0
2008,4,10977,0
2008,5,10884,0
2008,6,11116,0
2008,7,11006,0
2008,8,11416,0
2008,9,10873,0
2008,10,10680,0
2008,11,10714,0
2008,12,10486,0
2008,13,10659,0
2008,14,10660,0
2008,15,10530,0
2008,16,10334,0
2008,17,10312,0
2008,18,10025,0
2008,19,10200,0
2008,20,9605,0
2008,21,9542,0
2008,22,9517,0
2008,23,9113,0
2008,24,9485,0
2008,25,9832,0
2008,26,9722,0
2008,27,9617,0
2008,28,9109,0
2008,29,9476,0
2008,30,9480,0
2008,31,9836,0
2008,32,9178,0
2008,33,8935,0
2008,34,9127,0
2008,35,9339,0
2008,36,9022,0
2008,37,9272,0
2008,38,9487,0
2008,39,9742,0
2008,40,9985,0
2008,41,10361,0
2008,42,9856,0
2008,43,9901,0
2008,44,9950,0
2008,45,10037,0
2008,46,9783,0
2008,47,9908,0
2008,48,10278,0
2008,49,10749,0
2008,50,10939,0
2008,51,11333,0
2008,52,11222,0
2009,1,12846,0
2009,2,13654,0
2009,3,13762,0
2009,4,13280,0
2009,5,12586,0
2009,6,12336,0
2009,7,11569,0
2009,8,11463,0
2009,9,11262,0
2009,10,10890,0
2009,11,10590,0
2009,12,10127,0
2009,13,10346,0
2009,14,10539,0
2009,15,10393,0
2009,16,10200,0
2009,17,9841,0
2009,18,9947,0
2009,19,9839,0
2009,20,9575,0
2009,21,9694,0
2009,22,9611,0
2009,23,9418,0
2009,24,9521,0
2009,25,9288,0
2009,26,9756,0
2009,27,9982,0
2009,28,9193,0
2009,29,9152,0
2009,30,9492,0
2009,31,9328,0
2009,32,9499,0
2009,33,9178,0
2009,34,9525,0
2009,35,9002,0
2009,36,9062,0
2009,37,9464,0
2009,38,9418,0
2009,39,9446,0
2009,40,9592,0
2009,41,10017,0
2009,42,9865,0
2009,43,10751,0
2009,44,10323,0
2009,45,10187,0
2009,46,10282,0
2009,47,10116,0
2009,48,9942,0
2009,49,10235,0
2009,50,10229,0
2009,51,11140,0
2009,52,11583,0
2010,1,11761,0
2010,2,11841,0
2010,3,11516,0
2010,4,11394,0
2010,5,11343,0
2010,6,11431,0
2010,7,11758,0
2010,8,11523,0
2010,9,10793,0
2010,10,11182,0
2010,11,11137,0
2010,12,10252,0
2010,13,10249,0
2010,14,10351,0
2010,15,10380,0
2010,16,10211,0
2010,17,10073,0
2010,18,9721,0
2010,19,9795,0
2010,20,10428,0
2010,21,10227,0
2010,22,10267,0
2010,23,9576,0
2010,24,9308,0
2010,25,10016,0
2010,26,10328,0
2010,27,9867,0
2010,28,9402,0
2010,29,9391,0
2010,30,9387,0
2010,31,9282,0
2010,32,9365,0
2010,33,9551,0
2010,34,9494,0
2010,35,9512,0
2010,36,9608,0
2010,37,9662,0
2010,38,9910,0
2010,39,10250,0
2010,40,10464,0
2010,41,10089,0
2010,42,10406,0
2010,43,10611,0
2010,44,10506,0
2010,45,10182,0
2010,46,10209,0
2010,47,10299,0
2010,48,10745,0
2010,49,10868,0
2010,50,11170,0
2010,51,11593,0
2010,52,12180,0
2011,1,12437,0
2011,2,11834,0
2011,3,11285,0
2011,4,11288,0
2011,5,11534,0
2011,6,11541,0
2011,7,11225,0
2011,8,11034,0
2011,9,10734,0
2011,10,10785,0
2011,11,10448,0
2011,12,10368,0
2011,13,10274,0
2011,14,10111,0
2011,15,9650,0
2011,16,10361,0
2011,17,10030,0
2011,18,10142,0
2011,19,9857,0
2011,20,9535,0
2011,21,9559,0
2011,22,9690,0
2011,23,9348,0
2011,24,9671,0
2011,25,9505,0
2011,26,10004,0
2011,27,9656,0
2011,28,9433,0
2011,29,9405,0
2011,30,9521,0
2011,31,9940,0
2011,32,9265,0
2011,33,9536,0
2011,34,9346,0
2011,35,9373,0
2011,36,9488,0
2011,37,9509,0
2011,38,9347,0
2011,39,9344,0
2011,40,9785,0
2011,41,10100,0
2011,42,10480,0
2011,43,10715,0
2011,44,10366,0
2011,45,10190,0
2011,46,10423,0
2011,47,10431,0
2011,48,10715,0
2011,49,10856,0
2011,50,10953,0
2011,51,11266,0
2011,52,11625,0
2012,1,11771,0
2012,2,11532,0
2012,3,11799,0
2012,4,11409,0
2012,5,11629,0
2012,6,12696,0
2012,7,13357,0
2012,8,13459,0
2012,9,13380,0
2012,10,12576,0
2012,11,12126,0
2012,12,11226,0
2012,13,11003,0
2012,14,10796,0
2012,15,10715,0
2012,16,10768,0
2012,17,10703,0
2012,18,10303,0
2012,19,10462,0
2012,20,9910,0
2012,21,10195,0
2012,22,9985,0
2012,23,9315,0
2012,24,9648,0
2012,25,9823,0
2012,26,10169,0
2012,27,9567,0
2012,28,9317,0
2012,29,9747,0
2012,30,10337,0
2012,31,9537,0
2012,32,9631,0
2012,33,9831,0
2012,34,9653,0
2012,35,8986,0
2012,36,9628,0
2012,37,9628,0
2012,38,9700,0
2012,39,9910,0
2012,40,10516,0
2012,41,10339,0
2012,42,10500,0
2012,43,10320,0
2012,44,10720,0
2012,45,10916,0
2012,46,10730,0
2012,47,10476,0
2012,48,10719,0
2012,49,11081,0
2012,50,11539,0
2012,51,11409,0
2012,52,11715,0
2013,1,12273,0
2013,2,12055,0
2013,3,12511,0
2013,4,12778,0
2013,5,12529,0
2013,6,12430,0
2013,7,12802,0
2013,8,12729,0
