"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr"
"1",2020,1,NA,0,12729,NA,NA
"2",2020,2,NA,0,13195,NA,NA
"3",2020,3,NA,0,12594,NA,NA
"4",2020,4,NA,0,12329,NA,NA
"5",2020,5,NA,0,12533,NA,NA
"6",2020,6,NA,0,12404,NA,NA
"7",2020,7,NA,0,12257,NA,NA
"8",2020,8,NA,0,11832,NA,NA
"9",2020,9,12039.9363429645,1,12042,12035.0185441625,12044.8937344884
"10",2020,10,12117.2250279706,8,12134,12077.7317891505,12154.5580340484
"11",2020,11,12380.1643660124,81,12550,11969.5819027093,12759.882813484
"12",2020,12,12948.7349222762,471,13937,10552.386804228,15270.2219768238
"13",2020,13,12726.3459301411,1749,16187,5045.62713537813,20281.7382006448
"14",2020,14,10852.0705282561,5235,18799,-3419.47880585909,24598.8510691004
"15",2020,15,8167.46772449005,6268,17558,-16753.5252823261,31861.5444362193
"16",2020,16,8464.18748115575,5481,15391,-14645.1367961359,33272.40251479
"17",2020,17,9947.23230393088,3287,12820,-12283.5533985721,32856.6520785183
"18",2020,18,9507.76547328779,2142,11256,-7016.68557747792,26811.7900749155
"19",2020,19,9572.87138267963,1544,11030,3203.42836324165,15988.7348714539
"20",2020,20,9641.41190481572,1328,10751,4913.66092267776,14217.1962539791
"21",2020,21,10824.5639106809,685,11114,9046.8932369536,12645.0336298333
"22",2020,22,10272.583356739,436,10427,8841.28315252256,11777.4782275955
"23",2020,23,10222.783274017,367,10390,9051.79671906215,11392.3184780799
"24",2020,24,10158.6990995923,251,10358,8999.98992902738,11363.2373090985
"25",2020,25,10240.0732623673,230,10422,9028.77638079287,11468.7527316668
"26",2020,26,11005.5982039383,135,11108,10241.9187000902,11804.2461868268
"27",2020,27,9922.32695864494,108,10011,9232.80717792494,10653.1383397526
"28",2020,28,10222.767224621,102,10313,9558.24250565215,10926.0485961768
"29",2020,29,9993.39720774608,136,10121,9047.64055967067,11028.328871401
"30",2020,30,10504.1187213762,32,10537,10269.8594102542,10754.7996447058
"31",2020,31,10778.0381355444,69,10852,10254.736705946,11349.0006299277
"32",2020,32,10681.7876793617,54,10743,10246.0381221692,11132.3185657015
"33",2020,33,11669.7280819836,76,11757,11039.3205480276,12342.9624663509
"34",2020,34,10363.4447063797,99,10477,9518.80033689798,11277.0525661337
"35",2020,35,10385.1515650256,89,10491,9568.64488086502,11242.589475544
"36",2020,36,10502.6961758302,81,10606,9692.62201059516,11343.8765127854
"37",2020,37,10906.7884950117,203,11185,8675.42395860836,13191.305561008
"38",2020,38,11239.6778209622,360,11754,6995.88875342026,15585.9224203364
"39",2020,39,10247.5136370071,405,10842,5048.63530818049,15768.58222989
"40",2020,40,11156.0869299955,455,11815,4712.70646478791,17779.6030683448
"41",2020,41,11100.8679117571,462,11794,3733.45327367177,18912.571848692
"42",2020,42,11094.9468040114,688,12150,382.961317344196,22072.5007478671
"43",2020,43,11621.2472779568,1243,13661,-8133.82238718124,31821.3801100553
"44",2020,44,11282.3370886818,2111,14585,-18287.1906746371,41802.1330236928
"45",2020,45,10916.9799605382,3376,15580,-23436.1024503027,47165.8798462334
"46",2020,46,10866.1983313783,4064,15446,-19270.043743851,41061.4365310591
"47",2020,47,10933.1078206537,4257,14969,-7735.98575724718,28695.0352603655
"48",2020,48,10864.2391453079,3597,14666,-14611.2443513188,37041.2152868403
"49",2020,49,11215.4568346762,2851,14479,-13210.9537671962,35167.0229440523
"50",2020,50,11615.0191480974,2774,14454,5322.83812094078,17886.628710963
"51",2020,51,11747.9718137124,2651,14004,2419.22584910498,21291.7446271167
"52",2020,52,11820.7413082938,2154,13675,10471.327774947,13112.6046351243
