year,week,cbs_deaths,covid_deaths
1950,1,67015,0
1950,2,66261,0
1950,3,71767,0
1950,4,66068,0
1950,5,64094,0
1950,6,58248,0
1950,7,56144,0
1950,8,55363,0
1950,9,53037,0
1950,10,58863,0
1950,11,63586,0
1950,12,67883,0
1951,1,77708,0
1951,2,70545,0
1951,3,73133,0
1951,4,64832,0
1951,5,62439,0
1951,6,57566,0
1951,7,56619,0
1951,8,54910,0
1951,9,51591,0
1951,10,60588,0
1951,11,59272,0
1951,12,63494,0
1952,1,68976,0
1952,2,66204,0
1952,3,76234,0
1952,4,74800,0
1952,5,61747,0
1952,6,57663,0
1952,7,60194,0
1952,8,55561,0
1952,9,53932,0
1952,10,61074,0
1952,11,60824,0
1952,12,70430,0
1953,1,81557,0
1953,2,96193,0
1953,3,79470,0
1953,4,64036,0
1953,5,62947,0
1953,6,57066,0
1953,7,56061,0
1953,8,54726,0
1953,9,53336,0
1953,10,58186,0
1953,11,60160,0
1953,12,66916,0
1954,1,77579,0
1954,2,76979,0
1954,3,73022,0
1954,4,63520,0
1954,5,65143,0
1954,6,58295,0
1954,7,57257,0
1954,8,56621,0
1954,9,54324,0
1954,10,61740,0
1954,11,62688,0
1954,12,68123,0
1955,1,73414,0
1955,2,71872,0
1955,3,83627,0
1955,4,67518,0
1955,5,65928,0
1955,6,63241,0
1955,7,59935,0
1955,8,58431,0
1955,9,55545,0
1955,10,62403,0
1955,11,64380,0
1955,12,69644,0
1956,1,70884,0
1956,2,77318,0
1956,3,84468,0
1956,4,73463,0
1956,5,69684,0
1956,6,60800,0
1956,7,62413,0
1956,8,58665,0
1956,9,58269,0
1956,10,62184,0
1956,11,65598,0
1956,12,68365,0
1957,1,73605,0
1957,2,65242,0
1957,3,75203,0
1957,4,68379,0
1957,5,67999,0
1957,6,64358,0
1957,7,65491,0
1957,8,60559,0
1957,9,63744,0
1957,10,86610,0
1957,11,69813,0
1957,12,79192,0
1958,1,83355,0
1958,2,76516,0
1958,3,79662,0
1958,4,71476,0
1958,5,66589,0
1958,6,60844,0
1958,7,61063,0
1958,8,58631,0
1958,9,56645,0
1958,10,63877,0
1958,11,65917,0
1958,12,73843,0
1959,1,72372,0
1959,2,70021,0
1959,3,80705,0
1959,4,74733,0
1959,5,68428,0
1959,6,64789,0
1959,7,66261,0
1959,8,60808,0
1959,9,59779,0
1959,10,69374,0
1959,11,70075,0
1959,12,78057,0
1960,1,85232,0
1960,2,99752,0
1960,3,85095,0
1960,4,69991,0
1960,5,69400,0
1960,6,63913,0
1960,7,64121,0
1960,8,62998,0
1960,9,60716,0
1960,10,70509,0
1960,11,69479,0
1960,12,75515,0
1961,1,79924,0
1961,2,69381,0
1961,3,72726,0
1961,4,70123,0
1961,5,71199,0
1961,6,69484,0
1961,7,65586,0
1961,8,65892,0
1961,9,62716,0
1961,10,68313,0
1961,11,73225,0
1961,12,81731,0
1962,1,85792,0
1962,2,75120,0
1962,3,92250,0
1962,4,76310,0
1962,5,70906,0
1962,6,69244,0
1962,7,66390,0
1962,8,63032,0
1962,9,62211,0
1962,10,67618,0
1962,11,70539,0
1962,12,79402,0
1963,1,88358,0
1963,2,98956,0
1963,3,91660,0
1963,4,71714,0
1963,5,70416,0
1963,6,64449,0
1963,7,66765,0
1963,8,63909,0
1963,9,62965,0
1963,10,68722,0
1963,11,68890,0
1963,12,78266,0
1964,1,81542,0
1964,2,72928,0
1964,3,78364,0
1964,4,73860,0
1964,5,73233,0
1964,6,67716,0
1964,7,71442,0
1964,8,65816,0
1964,9,63271,0
1964,10,71658,0
1964,11,73079,0
1964,12,77410,0
1965,1,83082,0
1965,2,75772,0
1965,3,87719,0
1965,4,75074,0
1965,5,74821,0
1965,6,70790,0
1965,7,68990,0
1965,8,69101,0
1965,9,68132,0
1965,10,73306,0
1965,11,78634,0
1965,12,82461,0
1966,1,85955,0
1966,2,75589,0
1966,3,82722,0
1966,4,80084,0
1966,5,74966,0
1966,6,71622,0
1966,7,69120,0
1966,8,70097,0
1966,9,67051,0
1966,10,73347,0
1966,11,79215,0
1966,12,82216,0
1967,1,81055,0
1967,2,74958,0
1967,3,82097,0
1967,4,76682,0
1967,5,77782,0
1967,6,72203,0
1967,7,72586,0
1967,8,69867,0
1967,9,70982,0
1967,10,74629,0
1967,11,77682,0
1967,12,83894,0
1968,1,93572,0
1968,2,102039,0
1968,3,95927,0
1968,4,78725,0
1968,5,76532,0
1968,6,73508,0
1968,7,71108,0
1968,8,72057,0
1968,9,69362,0
1968,10,76958,0
1968,11,78904,0
1968,12,87829,0
1969,1,87963,0
1969,2,78799,0
1969,3,91769,0
1969,4,86723,0
1969,5,79184,0
1969,6,74363,0
1969,7,78337,0
1969,8,73105,0
1969,9,73088,0
1969,10,77489,0
1969,11,78138,0
1969,12,109134,0
1970,1,115798,0
1970,2,82231,0
1970,3,83495,0
1970,4,77821,0
1970,5,78542,0
1970,6,77098,0
1970,7,74161,0
1970,8,73814,0
1970,9,71982,0
1970,10,79638,0
1970,11,78338,0
1970,12,82746,0
1971,1,89124,0
1971,2,75141,0
1971,3,90185,0
1971,4,81159,0
1971,5,80669,0
1971,6,74314,0
1971,7,78968,0
1971,8,74525,0
1971,9,73317,0
1971,10,77852,0
1971,11,79717,0
1971,12,90652,0
1972,1,93118,0
1972,2,87946,0
1972,3,84666,0
1972,4,76498,0
1972,5,80851,0
1972,6,74535,0
1972,7,77863,0
1972,8,73626,0
1972,9,73462,0
1972,10,80542,0
1972,11,77243,0
1972,12,85339,0
1973,1,99784,0
1973,2,80804,0
1973,3,82416,0
1973,4,78321,0
1973,5,78627,0
1973,6,74938,0
1973,7,75630,0
1973,8,76180,0
1973,9,71563,0
1973,10,80368,0
1973,11,79111,0
1973,12,85246,0
1974,1,83779,0
1974,2,76194,0
1974,3,88625,0
1974,4,79894,0
1974,5,80092,0
1974,6,74485,0
1974,7,74530,0
1974,8,75180,0
1974,9,73234,0
1974,10,82634,0
1974,11,81006,0
1974,12,86920,0
1975,1,94329,0
1975,2,94028,0
1975,3,89647,0
1975,4,81286,0
1975,5,79016,0
1975,6,76730,0
1975,7,77375,0
1975,8,79923,0
1975,9,74169,0
1975,10,80204,0
1975,11,79894,0
1975,12,83048,0
1976,1,82558,0
1976,2,80778,0
1976,3,96805,0
1976,4,86577,0
1976,5,79668,0
1976,6,78745,0
1976,7,79679,0
1976,8,74064,0
1976,9,71946,0
1976,10,76267,0
1976,11,77454,0
1976,12,82332,0
1977,1,82841,0
1977,2,73657,0
1977,3,83622,0
1977,4,81137,0
1977,5,77848,0
1977,6,73973,0
1977,7,73551,0
1977,8,73323,0
1977,9,72169,0
1977,10,77830,0
1977,11,77302,0
1977,12,83902,0
1978,1,85708,0
1978,2,88374,0
1978,3,87234,0
1978,4,78101,0
1978,5,79993,0
1978,6,74646,0
1978,7,76937,0
1978,8,73099,0
1978,9,72698,0
1978,10,77906,0
1978,11,76534,0
1978,12,84320,0
1979,1,87147,0
1979,2,77669,0
1979,3,87121,0
1979,4,79423,0
1979,5,80598,0
1979,6,74001,0
1979,7,74369,0
1979,8,73503,0
1979,9,72406,0
1979,10,78632,0
1979,11,78858,0
1979,12,80747,0
1980,1,85543,0
1980,2,80991,0
1980,3,85326,0
1980,4,77744,0
1980,5,80215,0
1980,6,75425,0
1980,7,77381,0
1980,8,74744,0
1980,9,72878,0
1980,10,79258,0
1980,11,79761,0
1980,12,83105,0
1981,1,83176,0
1981,2,77537,0
1981,3,87788,0
1981,4,77982,0
1981,5,79416,0
1981,6,75833,0
1981,7,77151,0
1981,8,75745,0
1981,9,73782,0
1981,10,79955,0
1981,11,79400,0
1981,12,86671,0
1982,1,87193,0
1982,2,76552,0
1982,3,89162,0
1982,4,79877,0
1982,5,78349,0
1982,6,76942,0
1982,7,76664,0
1982,8,73523,0
1982,9,72063,0
1982,10,75411,0
1982,11,76171,0
1982,12,81925,0
1983,1,83872,0
1983,2,81569,0
1983,3,88999,0
1983,4,77689,0
1983,5,77068,0
1983,6,74475,0
1983,7,77232,0
1983,8,74252,0
1983,9,70305,0
1983,10,75754,0
1983,11,77382,0
1983,12,82435,0
1984,1,80635,0
1984,2,75941,0
1984,3,84188,0
1984,4,78806,0
1984,5,76117,0
1984,6,73238,0
1984,7,74867,0
1984,8,71651,0
1984,9,70125,0
1984,10,76211,0
1984,11,76317,0
1984,12,79203,0
1985,1,90449,0
1985,2,85149,0
1985,3,86998,0
1985,4,75172,0
1985,5,77678,0
1985,6,70451,0
1985,7,73163,0
1985,8,69811,0
1985,9,69964,0
1985,10,74046,0
1985,11,77902,0
1985,12,78866,0
1986,1,80415,0
1986,2,81597,0
1986,3,98403,0
1986,4,77185,0
1986,5,74000,0
1986,6,73574,0
1986,7,72368,0
1986,8,71135,0
1986,9,70486,0
1986,10,73666,0
1986,11,73217,0
1986,12,79380,0
1987,1,83281,0
1987,2,73776,0
1987,3,81323,0
1987,4,74202,0
1987,5,74603,0
1987,6,72505,0
1987,7,71736,0
1987,8,71593,0
1987,9,68611,0
1987,10,75052,0
1987,11,74396,0
1987,12,80213,0
1988,1,77200,0
1988,2,72767,0
1988,3,82296,0
1988,4,77343,0
1988,5,76064,0
1988,6,70406,0
1988,7,71655,0
1988,8,70909,0
1988,9,70019,0
1988,10,74996,0
1988,11,75906,0
1988,12,81066,0
1989,1,80056,0
1989,2,74813,0
1989,3,79845,0
1989,4,72402,0
1989,5,76576,0
1989,6,71653,0
1989,7,71125,0
1989,8,71385,0
1989,9,69571,0
1989,10,76206,0
1989,11,74628,0
1989,12,85181,0
1990,1,93601,0
1990,2,78118,0
1990,3,78911,0
1990,4,75418,0
1990,5,74065,0
1990,6,71616,0
1990,7,71222,0
1990,8,72310,0
1990,9,71742,0
1990,10,76796,0
1990,11,74925,0
1990,12,82721,0
1991,1,80593,0
1991,2,78020,0
1991,3,81097,0
1991,4,74701,0
1991,5,75918,0
1991,6,71527,0
1991,7,74402,0
1991,8,70497,0
1991,9,68215,0
1991,10,75505,0
1991,11,76619,0
1991,12,84151,0
1992,1,81761,0
1992,2,75456,0
1992,3,77424,0
1992,4,74308,0
1992,5,72910,0
1992,6,68606,0
1992,7,70455,0
1992,8,71260,0
1992,9,68658,0
1992,10,75074,0
1992,11,73045,0
1992,12,76486,0
1993,1,81535,0
1993,2,73271,0
1993,3,89611,0
1993,4,75661,0
1993,5,71199,0
1993,6,67576,0
1993,7,69470,0
1993,8,68081,0
1993,9,68731,0
1993,10,73481,0
1993,11,74935,0
1993,12,83719,0
1994,1,82514,0
1994,2,73073,0
1994,3,78061,0
1994,4,71545,0
1994,5,70216,0
1994,6,71294,0
1994,7,75759,0
1994,8,72474,0
1994,9,68421,0
1994,10,74724,0
1994,11,70393,0
1994,12,76187,0
1995,1,79171,0
1995,2,69053,0
1995,3,83907,0
1995,4,77097,0
1995,5,72513,0
1995,6,67852,0
1995,7,71140,0
1995,8,68075,0
1995,9,67506,0
1995,10,71386,0
1995,11,72188,0
1995,12,84700,0
1996,1,94684,0
1996,2,81447,0
1996,3,79053,0
1996,4,72679,0
1996,5,70589,0
1996,6,68175,0
1996,7,67805,0
1996,8,66041,0
1996,9,66094,0
1996,10,70574,0
1996,11,69219,0
1996,12,76483,0
1997,1,83490,0
1997,2,75162,0
1997,3,75100,0
1997,4,70517,0
1997,5,70228,0
1997,6,67290,0
1997,7,66489,0
1997,8,68917,0
1997,9,64862,0
1997,10,71914,0
1997,11,71538,0
1997,12,74882,0
1998,1,74667,0
1998,2,72829,0
1998,3,78610,0
1998,4,71360,0
1998,5,69676,0
1998,6,65888,0
1998,7,67849,0
1998,8,67259,0
1998,9,65552,0
1998,10,70917,0
1998,11,70041,0
1998,12,77734,0
1999,1,78743,0
1999,2,79870,0
1999,3,81676,0
1999,4,67259,0
1999,5,68011,0
1999,6,63938,0
1999,7,66422,0
1999,8,65429,0
1999,9,63765,0
1999,10,68715,0
1999,11,67886,0
1999,12,74616,0
2000,1,83841,0
2000,2,77307,0
2000,3,73131,0
2000,4,68285,0
2000,5,66830,0
2000,6,65220,0
2000,7,65007,0
2000,8,65604,0
2000,9,63687,0
2000,10,68582,0
2000,11,68550,0
2000,12,72753,0
2001,1,74828,0
2001,2,65680,0
2001,3,73293,0
2001,4,69121,0
2001,5,69384,0
2001,6,65240,0
2001,7,68517,0
2001,8,66829,0
2001,9,64468,0
2001,10,68300,0
2001,11,68452,0
2001,12,74429,0
2002,1,76022,0
2002,2,66097,0
2002,3,75000,0
2002,4,71761,0
2002,5,69034,0
2002,6,66595,0
2002,7,67035,0
2002,8,67259,0
2002,9,63951,0
2002,10,71084,0
2002,11,69576,0
2002,12,78272,0
2003,1,79116,0
2003,2,72341,0
2003,3,83497,0
2003,4,70144,0
2003,5,68225,0
2003,6,66029,0
2003,7,68133,0
2003,8,73767,0
2003,9,64519,0
2003,10,68806,0
2003,11,66955,0
2003,12,72414,0
2004,1,75332,0
2004,2,68300,0
2004,3,73288,0
2004,4,67638,0
2004,5,66532,0
2004,6,64477,0
2004,7,65155,0
2004,8,65784,0
2004,9,63510,0
2004,10,68406,0
2004,11,66827,0
2004,12,73022,0
2005,1,73561,0
2005,2,72275,0
2005,3,83271,0
2005,4,68245,0
2005,5,69328,0
2005,6,64485,0
2005,7,64725,0
2005,8,64075,0
2005,9,62261,0
2005,10,67033,0
2005,11,67339,0
2005,12,73629,0
2006,1,74230,0
2006,2,66793,0
2006,3,73680,0
2006,4,68105,0
2006,5,67837,0
2006,6,66177,0
2006,7,72864,0
2006,8,64777,0
2006,9,64502,0
2006,10,65965,0
2006,11,66288,0
2006,12,70409,0
2007,1,72665,0
2007,2,67310,0
2007,3,76221,0
2007,4,69944,0
2007,5,67500,0
2007,6,64033,0
2007,7,66683,0
2007,8,64352,0
2007,9,63129,0
2007,10,68706,0
2007,11,70062,0
2007,12,76550,0
2008,1,79537,0
2008,2,71025,0
2008,3,76064,0
2008,4,71148,0
2008,5,70229,0
2008,6,64398,0
2008,7,66715,0
2008,8,65605,0
2008,9,64209,0
2008,10,69854,0
2008,11,68771,0
2008,12,76884,0
2009,1,90026,0
2009,2,77205,0
2009,3,75966,0
2009,4,69143,0
2009,5,67894,0
2009,6,64887,0
2009,7,66275,0
2009,8,65043,0
2009,9,63488,0
2009,10,69391,0
2009,11,69970,0
2009,12,75256,0
2010,1,77390,0
2010,2,71266,0
2010,3,76382,0
2010,4,69623,0
2010,5,70076,0
2010,6,67023,0
2010,7,73373,0
2010,8,67528,0
2010,9,66646,0
2010,10,71343,0
2010,11,69663,0
2010,12,78455,0
2011,1,76780,0
2011,2,69597,0
2011,3,76912,0
2011,4,70131,0
2011,5,70613,0
2011,6,65607,0
2011,7,66646,0
2011,8,68570,0
2011,9,65117,0
2011,10,71825,0
2011,11,71950,0
2011,12,78580,0
2012,1,76895,0
2012,2,76507,0
2012,3,78204,0
2012,4,73434,0
2012,5,71270,0
2012,6,66589,0
2012,7,68391,0
2012,8,68472,0
2012,9,66100,0
2012,10,72543,0
2012,11,72469,0
2012,12,78708,0
2013,1,82262,0
2013,2,81957,0
2013,3,89394,0
2013,4,78590,0
2013,5,71522,0
2013,6,68658,0
2013,7,70290,0
2013,8,68170,0
2013,9,65600,0
2013,10,71780,0
2013,11,70164,0
2013,12,75438,0
2014,1,75520,0
2014,2,69513,0
2014,3,77336,0
2014,4,71941,0
2014,5,70163,0
2014,6,67511,0
2014,7,71795,0
2014,8,68610,0
2014,9,68526,0
2014,10,72597,0
2014,11,73722,0
2014,12,81122,0
2015,1,86585,0
2015,2,89912,0
2015,3,90726,0
2015,4,76824,0
2015,5,73543,0
2015,6,69484,0
2015,7,75689,0
2015,8,71755,0
2015,9,67818,0
2015,10,74854,0
2015,11,72144,0
2015,12,75866,0
2016,1,81742,0
2016,2,76619,0
2016,3,83668,0
2016,4,75315,0
2016,5,74525,0
2016,6,69186,0
2016,7,72122,0
2016,8,71295,0
2016,9,69037,0
2016,10,76001,0
2016,11,77050,0
2016,12,84339,0
2017,1,96033,0
2017,2,90649,0
2017,3,82934,0
2017,4,73204,0
2017,5,75683,0
2017,6,69644,0
2017,7,71411,0
2017,8,71488,0
2017,9,69391,0
2017,10,75229,0
2017,11,74987,0
2017,12,81610,0
2018,1,84973,0
2018,2,85799,0
2018,3,107104,0
2018,4,79539,0
2018,5,74648,0
2018,6,69328,0
2018,7,75605,0
2018,8,78370,0
2018,9,69708,0
2018,10,74039,0
2018,11,74762,0
2018,12,80999,0
2019,1,85105,0
2019,2,81009,0
2019,3,86739,0
2019,4,77410,0
2019,5,75669,0
2019,6,73483,0
2019,7,76926,0
2019,8,73444,0
2019,9,71022,0
2019,10,77006,0
2019,11,78378,0
2019,12,83329,0
2020,1,83562,0
2020,2,79939,0
2020,3,86708,1175
2020,4,83675,5928
2020,5,75930,1632
2020,6,72570,188
2020,7,74066,139
2020,8,78715,149
2020,9,74394,203
2020,10,79763,1497
2020,11,85699,7215
2020,12,110599,21439
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
