year,week,cbs_deaths,covid_deaths
2016,1,18467,0
2016,2,18439,0
2016,3,18627,0
2016,4,18707,0
2016,5,18493,0
2016,6,18541,0
2016,7,18483,0
2016,8,18475,0
2016,9,18926,0
2016,10,18888,0
2016,11,18971,0
2016,12,18826,0
2016,13,18617,0
2016,14,18244,0
2016,15,17712,0
2016,16,16775,0
2016,17,17053,0
2016,18,16901,0
2016,19,17629,0
2016,20,16601,0
2016,21,16286,0
2016,22,16346,0
2016,23,15799,0
2016,24,15717,0
2016,25,16910,0
2016,26,15699,0
2016,27,16229,0
2016,28,16172,0
2016,29,16985,0
2016,30,16157,0
2016,31,15439,0
2016,32,15487,0
2016,33,16258,0
2016,34,17147,0
2016,35,16101,0
2016,36,16116,0
2016,37,16372,0
2016,38,15606,0
2016,39,16336,0
2016,40,16352,0
2016,41,17427,0
2016,42,17599,0
2016,43,17586,0
2016,44,17580,0
2016,45,17782,0
2016,46,18591,0
2016,47,17911,0
2016,48,18146,0
2016,49,18793,0
2016,50,18885,0
2016,51,19376,0
2016,52,19744,0
2017,1,20918,0
2017,2,22070,0
2017,3,21236,0
2017,4,22083,0
2017,5,23640,0
2017,6,22744,0
2017,7,22683,0
2017,8,22266,0
2017,9,20930,0
2017,10,19102,0
2017,11,18665,0
2017,12,17640,0
2017,13,17731,0
2017,14,17028,0
2017,15,16901,0
2017,16,16637,0
2017,17,17634,0
2017,18,17129,0
2017,19,17343,0
2017,20,17079,0
2017,21,16451,0
2017,22,16902,0
2017,23,15846,0
2017,24,16087,0
2017,25,16819,0
2017,26,16076,0
2017,27,16424,0
2017,28,15603,0
2017,29,16589,0
2017,30,16058,0
2017,31,16494,0
2017,32,15784,0
2017,33,16148,0
2017,34,15880,0
2017,35,16064,0
2017,36,15706,0
2017,37,16146,0
2017,38,16505,0
2017,39,16747,0
2017,40,16664,0
2017,41,17470,0
2017,42,17139,0
2017,43,17059,0
2017,44,16762,0
2017,45,17371,0
2017,46,17594,0
2017,47,17676,0
2017,48,17877,0
2017,49,18295,0
2017,50,18504,0
2017,51,18500,0
2017,52,18652,0
2018,1,19342,0
2018,2,18770,0
2018,3,19187,0
2018,4,19171,0
2018,5,19558,0
2018,6,20086,0
2018,7,21254,0
2018,8,22888,0
2018,9,25535,0
2018,10,26777,0
2018,11,24385,0
2018,12,22777,0
2018,13,20906,0
2018,14,20038,0
2018,15,19165,0
2018,16,17992,0
2018,17,17093,0
2018,18,16789,0
2018,19,17226,0
2018,20,16488,0
2018,21,16513,0
2018,22,17039,0
2018,23,16714,0
2018,24,15582,0
2018,25,15843,0
2018,26,16569,0
2018,27,16622,0
2018,28,16070,0
2018,29,16702,0
2018,30,18340,0
2018,31,20371,0
2018,32,18478,0
2018,33,16890,0
2018,34,16612,0
2018,35,16000,0
2018,36,16390,0
2018,37,16292,0
2018,38,16651,0
2018,39,15969,0
2018,40,16622,0
2018,41,16993,0
2018,42,16552,0
2018,43,16608,0
2018,44,16895,0
2018,45,17604,0
2018,46,16842,0
2018,47,17785,0
2018,48,18091,0
2018,49,18342,0
2018,50,17943,0
2018,51,18990,0
2018,52,17954,0
2019,1,18686,0
2019,2,19170,0
2019,3,19163,0
2019,4,19505,0
2019,5,19812,0
2019,6,19981,0
2019,7,20150,0
2019,8,20349,0
2019,9,20790,0
2019,10,20453,0
2019,11,19795,0
2019,12,19016,0
2019,13,18562,0
2019,14,18671,0
2019,15,17852,0
2019,16,18089,0
2019,17,17894,0
2019,18,17090,0
2019,19,17118,0
2019,20,17315,0
2019,21,17080,0
2019,22,16921,0
2019,23,17491,0
2019,24,16484,0
2019,25,16639,0
2019,26,17918,0
2019,27,16552,0
2019,28,16319,0
2019,29,16856,0
2019,30,19630,0
2019,31,17034,0
2019,32,16540,0
2019,33,15934,0
2019,34,16263,0
2019,35,17637,0
2019,36,15988,0
2019,37,16303,0
2019,38,16500,0
2019,39,17402,0
2019,40,16899,0
2019,41,17666,0
2019,42,17713,0
2019,43,17327,0
2019,44,17488,0
2019,45,17859,0
2019,46,18242,0
2019,47,18535,0
2019,48,18581,0
2019,49,19143,0
2019,50,19101,0
2019,51,19062,0
2019,52,18204,0
2020,1,18903,0
2020,2,19430,0
2020,3,19184,0
2020,4,18940,0
2020,5,19800,0
2020,6,19031,0
2020,7,19648,0
2020,8,18946,0
2020,9,19491,0
2020,10,19643,0
2020,11,19883,18
2020,12,19741,162
2020,13,19702,603
2020,14,20647,1371
2020,15,20512,1737
2020,16,19282,1596
2020,17,18553,1169
2020,18,17913,783
2020,19,17635,517
2020,20,16981,355
2020,21,17155,273
2020,22,16757,151
2020,23,17267,113
2020,24,16597,72
2020,25,16388,49
2020,26,17297,54
2020,27,16452,46
2020,28,16168,28
2020,29,16532,26
2020,30,16910,31
2020,31,17415,30
2020,32,17488,30
2020,33,19696,31
2020,34,17560,40
2020,35,16642,36
2020,36,16734,19
2020,37,17105,33
2020,38,17544,53
2020,39,17400,66
2020,40,17594,81
2020,41,17466,123
2020,42,17725,240
2020,43,18574,408
2020,44,18577,793
2020,45,19064,1237
2020,46,19753,1639
2020,47,20202,2098
2020,48,21294,2880
2020,49,22661,3396
2020,50,23962,4293
2020,51,24726,5198
2020,52,25499,5763
2020,53,25398,5730
2021,1,24713,5416
2021,2,24346,4931
2021,3,23955,4651
2021,4,22485,3980
2021,5,21533,3203
2021,6,20756,2580
2021,7,20258,1939
2021,8,18763,1595
2021,9,18249,1293
2021,10,18447,1122
2021,11,18196,999
2021,12,18254,1033
