year,week,cbs_deaths,covid_deaths
2000,1,2364,0
2000,2,2232,0
2000,3,2093,0
2000,4,2087,0
2000,5,2016,0
2000,6,2050,0
2000,7,1882,0
2000,8,1892,0
2000,9,1832,0
2000,10,1813,0
2000,11,1751,0
2000,12,1852,0
2000,13,1732,0
2000,14,1709,0
2000,15,1846,0
2000,16,1703,0
2000,17,1682,0
2000,18,1713,0
2000,19,1596,0
2000,20,1718,0
2000,21,1642,0
2000,22,1585,0
2000,23,1596,0
2000,24,1609,0
2000,25,1725,0
2000,26,1609,0
2000,27,1690,0
2000,28,1631,0
2000,29,1715,0
2000,30,1652,0
2000,31,1620,0
2000,32,1617,0
2000,33,1689,0
2000,34,1539,0
2000,35,1665,0
2000,36,1673,0
2000,37,1677,0
2000,38,1571,0
2000,39,1729,0
2000,40,1641,0
2000,41,1578,0
2000,42,1674,0
2000,43,1710,0
2000,44,1744,0
2000,45,1733,0
2000,46,1689,0
2000,47,1730,0
2000,48,1715,0
2000,49,1709,0
2000,50,1748,0
2000,51,1838,0
2000,52,2016,0
2001,1,1968,0
2001,2,1853,0
2001,3,1810,0
2001,4,1801,0
2001,5,1797,0
2001,6,1855,0
2001,7,1792,0
2001,8,1907,0
2001,9,1903,0
2001,10,1905,0
2001,11,1820,0
2001,12,1842,0
2001,13,1806,0
2001,14,1806,0
2001,15,1861,0
2001,16,1901,0
2001,17,1771,0
2001,18,1820,0
2001,19,1764,0
2001,20,1796,0
2001,21,1712,0
2001,22,1684,0
2001,23,1709,0
2001,24,1736,0
2001,25,1680,0
2001,26,1782,0
2001,27,1854,0
2001,28,1710,0
2001,29,1646,0
2001,30,1627,0
2001,31,1665,0
2001,32,1667,0
2001,33,1593,0
2001,34,1680,0
2001,35,1586,0
2001,36,1674,0
2001,37,1704,0
2001,38,1699,0
2001,39,1629,0
2001,40,1728,0
2001,41,1697,0
2001,42,1607,0
2001,43,1688,0
2001,44,1730,0
2001,45,1863,0
2001,46,1726,0
2001,47,1749,0
2001,48,1809,0
2001,49,1792,0
2001,50,1793,0
2001,51,1885,0
2001,52,2040,0
2002,1,1983,0
2002,2,1899,0
2002,3,1891,0
2002,4,1782,0
2002,5,1903,0
2002,6,1807,0
2002,7,1781,0
2002,8,1859,0
2002,9,1975,0
2002,10,2011,0
2002,11,2017,0
2002,12,1997,0
2002,13,2042,0
2002,14,1937,0
2002,15,1896,0
2002,16,1843,0
2002,17,1843,0
2002,18,1691,0
2002,19,1743,0
2002,20,1669,0
2002,21,1717,0
2002,22,1668,0
2002,23,1675,0
2002,24,1580,0
2002,25,1617,0
2002,26,1601,0
2002,27,1653,0
2002,28,1673,0
2002,29,1699,0
2002,30,1648,0
2002,31,1760,0
2002,32,1715,0
2002,33,1713,0
2002,34,1664,0
2002,35,1671,0
2002,36,1622,0
2002,37,1637,0
2002,38,1636,0
2002,39,1726,0
2002,40,1710,0
2002,41,1777,0
2002,42,1773,0
2002,43,1901,0
2002,44,1804,0
2002,45,1761,0
2002,46,1807,0
2002,47,1812,0
2002,48,1755,0
2002,49,1807,0
2002,50,1948,0
2002,51,1917,0
2002,52,2129,0
2003,1,2232,0
2003,2,2195,0
2003,3,2076,0
2003,4,1981,0
2003,5,1923,0
2003,6,1983,0
2003,7,1854,0
2003,8,1862,0
2003,9,1833,0
2003,10,1859,0
2003,11,1896,0
2003,12,1768,0
2003,13,1874,0
2003,14,1808,0
2003,15,1802,0
2003,16,1776,0
2003,17,1717,0
2003,18,1692,0
2003,19,1701,0
2003,20,1577,0
2003,21,1616,0
2003,22,1630,0
2003,23,1581,0
2003,24,1539,0
2003,25,1615,0
2003,26,1582,0
2003,27,1673,0
2003,28,1577,0
2003,29,1730,0
2003,30,1680,0
2003,31,1634,0
2003,32,1601,0
2003,33,1653,0
2003,34,1577,0
2003,35,1628,0
2003,36,1631,0
2003,37,1669,0
2003,38,1662,0
2003,39,1691,0
2003,40,1677,0
2003,41,1690,0
2003,42,1718,0
2003,43,1773,0
2003,44,1708,0
2003,45,1678,0
2003,46,1702,0
2003,47,1697,0
2003,48,1735,0
2003,49,1719,0
2003,50,1749,0
2003,51,1965,0
2003,52,2113,0
2004,1,2034,0
2004,2,2110,0
2004,3,1957,0
2004,4,1850,0
2004,5,1810,0
2004,6,1766,0
2004,7,1765,0
2004,8,1724,0
2004,9,1775,0
2004,10,1709,0
2004,11,1762,0
2004,12,1734,0
2004,13,1821,0
2004,14,1734,0
2004,15,1708,0
2004,16,1701,0
2004,17,1665,0
2004,18,1622,0
2004,19,1654,0
2004,20,1662,0
2004,21,1668,0
2004,22,1652,0
2004,23,1601,0
2004,24,1627,0
2004,25,1616,0
2004,26,1580,0
2004,27,1593,0
2004,28,1654,0
2004,29,1571,0
2004,30,1637,0
2004,31,1578,0
2004,32,1624,0
2004,33,1653,0
2004,34,1548,0
2004,35,1615,0
2004,36,1624,0
2004,37,1592,0
2004,38,1590,0
2004,39,1674,0
2004,40,1648,0
2004,41,1590,0
2004,42,1713,0
2004,43,1666,0
2004,44,1755,0
2004,45,1679,0
2004,46,1700,0
2004,47,1714,0
2004,48,1776,0
2004,49,1811,0
2004,50,1740,0
2004,51,1870,0
2004,52,1954,0
2005,1,1914,0
2005,2,1855,0
2005,3,1786,0
2005,4,1797,0
2005,5,1896,0
2005,6,1920,0
2005,7,1963,0
2005,8,1959,0
2005,9,2191,0
2005,10,2140,0
2005,11,2146,0
2005,12,1963,0
2005,13,2011,0
2005,14,1959,0
2005,15,1820,0
2005,16,1759,0
2005,17,1759,0
2005,18,1711,0
2005,19,1671,0
2005,20,1632,0
2005,21,1648,0
2005,22,1696,0
2005,23,1658,0
2005,24,1624,0
2005,25,1678,0
2005,26,1634,0
2005,27,1647,0
2005,28,1680,0
2005,29,1596,0
2005,30,1508,0
2005,31,1624,0
2005,32,1580,0
2005,33,1561,0
2005,34,1603,0
2005,35,1618,0
2005,36,1562,0
2005,37,1594,0
2005,38,1617,0
2005,39,1629,0
2005,40,1551,0
2005,41,1523,0
2005,42,1642,0
2005,43,1651,0
2005,44,1633,0
2005,45,1606,0
2005,46,1660,0
2005,47,1718,0
2005,48,1725,0
2005,49,1788,0
2005,50,1732,0
2005,51,1819,0
2005,52,1957,0
2006,1,1867,0
2006,2,1916,0
2006,3,1798,0
2006,4,1925,0
2006,5,1921,0
2006,6,1863,0
2006,7,1811,0
2006,8,1734,0
2006,9,1857,0
2006,10,1873,0
2006,11,1815,0
2006,12,1803,0
2006,13,1794,0
2006,14,1768,0
2006,15,1720,0
2006,16,1687,0
2006,17,1672,0
2006,18,1707,0
2006,19,1657,0
2006,20,1670,0
2006,21,1661,0
2006,22,1578,0
2006,23,1564,0
2006,24,1717,0
2006,25,1725,0
2006,26,1600,0
2006,27,1785,0
2006,28,1623,0
2006,29,1613,0
2006,30,1646,0
2006,31,1637,0
2006,32,1658,0
2006,33,1626,0
2006,34,1640,0
2006,35,1644,0
2006,36,1673,0
2006,37,1665,0
2006,38,1638,0
2006,39,1680,0
2006,40,1692,0
2006,41,1671,0
2006,42,1675,0
2006,43,1744,0
2006,44,1761,0
2006,45,1750,0
2006,46,1807,0
2006,47,1736,0
2006,48,1753,0
2006,49,1726,0
2006,50,1811,0
2006,51,1839,0
2006,52,1937,0
2007,1,1959,0
2007,2,1878,0
2007,3,1859,0
2007,4,1869,0
2007,5,1874,0
2007,6,1867,0
2007,7,1886,0
2007,8,1971,0
2007,9,2123,0
2007,10,1974,0
2007,11,2024,0
2007,12,1876,0
2007,13,1816,0
2007,14,1906,0
2007,15,1824,0
2007,16,1783,0
2007,17,1731,0
2007,18,1641,0
2007,19,1610,0
2007,20,1590,0
2007,21,1669,0
2007,22,1634,0
2007,23,1656,0
2007,24,1650,0
2007,25,1637,0
2007,26,1614,0
2007,27,1702,0
2007,28,1577,0
2007,29,1566,0
2007,30,1621,0
2007,31,1572,0
2007,32,1631,0
2007,33,1551,0
2007,34,1534,0
2007,35,1613,0
2007,36,1633,0
2007,37,1660,0
2007,38,1679,0
2007,39,1672,0
2007,40,1624,0
2007,41,1641,0
2007,42,1761,0
2007,43,1727,0
2007,44,1655,0
2007,45,1736,0
2007,46,1681,0
2007,47,1783,0
2007,48,1807,0
2007,49,1918,0
2007,50,1679,0
2007,51,1816,0
2007,52,2050,0
2008,1,1962,0
2008,2,1941,0
2008,3,1842,0
2008,4,1805,0
2008,5,1825,0
2008,6,1755,0
2008,7,1783,0
2008,8,1930,0
2008,9,1789,0
2008,10,1840,0
2008,11,1877,0
2008,12,1879,0
2008,13,1952,0
2008,14,1914,0
2008,15,1803,0
2008,16,1781,0
2008,17,1812,0
2008,18,1695,0
2008,19,1697,0
2008,20,1651,0
2008,21,1635,0
2008,22,1684,0
2008,23,1660,0
2008,24,1630,0
2008,25,1646,0
2008,26,1631,0
2008,27,1653,0
2008,28,1704,0
2008,29,1588,0
2008,30,1618,0
2008,31,1652,0
2008,32,1589,0
2008,33,1568,0
2008,34,1555,0
2008,35,1611,0
2008,36,1652,0
2008,37,1534,0
2008,38,1697,0
2008,39,1727,0
2008,40,1700,0
2008,41,1644,0
2008,42,1614,0
2008,43,1663,0
2008,44,1663,0
2008,45,1726,0
2008,46,1677,0
2008,47,1802,0
2008,48,1760,0
2008,49,1822,0
2008,50,1793,0
2008,51,1833,0
2008,52,2060,0
2009,1,2122,0
2009,2,2197,0
2009,3,2096,0
2009,4,2086,0
2009,5,2007,0
2009,6,2001,0
2009,7,1969,0
2009,8,1955,0
2009,9,1947,0
2009,10,1798,0
2009,11,1857,0
2009,12,1779,0
2009,13,1758,0
2009,14,1750,0
2009,15,1737,0
2009,16,1690,0
2009,17,1723,0
2009,18,1682,0
2009,19,1703,0
2009,20,1630,0
2009,21,1628,0
2009,22,1629,0
2009,23,1580,0
2009,24,1562,0
2009,25,1588,0
2009,26,1603,0
2009,27,1612,0
2009,28,1533,0
2009,29,1532,0
2009,30,1544,0
2009,31,1555,0
2009,32,1579,0
2009,33,1474,0
2009,34,1574,0
2009,35,1479,0
2009,36,1532,0
2009,37,1551,0
2009,38,1522,0
2009,39,1556,0
2009,40,1631,0
2009,41,1662,0
2009,42,1672,0
2009,43,1682,0
2009,44,1700,0
2009,45,1739,0
2009,46,1726,0
2009,47,1710,0
2009,48,1706,0
2009,49,1657,0
2009,50,1636,0
2009,51,1808,0
2009,52,1921,0
2010,1,1899,0
2010,2,1942,0
2010,3,1865,0
2010,4,1919,0
2010,5,1848,0
2010,6,1836,0
2010,7,1786,0
2010,8,1813,0
2010,9,1874,0
2010,10,1844,0
2010,11,1741,0
2010,12,1814,0
2010,13,1754,0
2010,14,1731,0
2010,15,1749,0
2010,16,1745,0
2010,17,1720,0
2010,18,1695,0
2010,19,1647,0
2010,20,1620,0
2010,21,1615,0
2010,22,1588,0
2010,23,1574,0
2010,24,1571,0
2010,25,1615,0
2010,26,1644,0
2010,27,1635,0
2010,28,1682,0
2010,29,1602,0
2010,30,1600,0
2010,31,1583,0
2010,32,1573,0
2010,33,1506,0
2010,34,1569,0
2010,35,1647,0
2010,36,1614,0
2010,37,1717,0
2010,38,1652,0
2010,39,1628,0
2010,40,1594,0
2010,41,1755,0
2010,42,1696,0
2010,43,1694,0
2010,44,1640,0
2010,45,1791,0
2010,46,1719,0
2010,47,1750,0
2010,48,1862,0
2010,49,1849,0
2010,50,1842,0
2010,51,2002,0
2010,52,2192,0
2011,1,2010,0
2011,2,1953,0
2011,3,1867,0
2011,4,1841,0
2011,5,1830,0
2011,6,1761,0
2011,7,1784,0
2011,8,1862,0
2011,9,1902,0
2011,10,1882,0
2011,11,1785,0
2011,12,1779,0
2011,13,1823,0
2011,14,1757,0
2011,15,1748,0
2011,16,1758,0
2011,17,1657,0
2011,18,1673,0
2011,19,1681,0
2011,20,1636,0
2011,21,1617,0
2011,22,1577,0
2011,23,1587,0
2011,24,1552,0
2011,25,1523,0
2011,26,1570,0
2011,27,1620,0
2011,28,1566,0
2011,29,1679,0
2011,30,1605,0
2011,31,1567,0
2011,32,1508,0
2011,33,1629,0
2011,34,1621,0
2011,35,1581,0
2011,36,1605,0
2011,37,1562,0
2011,38,1745,0
2011,39,1723,0
2011,40,1723,0
2011,41,1692,0
2011,42,1698,0
2011,43,1744,0
2011,44,1652,0
2011,45,1709,0
2011,46,1650,0
2011,47,1659,0
2011,48,1728,0
2011,49,1849,0
2011,50,1848,0
2011,51,1839,0
2011,52,1910,0
2012,1,1953,0
2012,2,1919,0
2012,3,1876,0
2012,4,1840,0
2012,5,1874,0
2012,6,1931,0
2012,7,2082,0
2012,8,2060,0
2012,9,2125,0
2012,10,2037,0
2012,11,2010,0
2012,12,1890,0
2012,13,1819,0
2012,14,1811,0
2012,15,1907,0
2012,16,1738,0
2012,17,1725,0
2012,18,1627,0
2012,19,1727,0
2012,20,1740,0
2012,21,1621,0
2012,22,1659,0
2012,23,1515,0
2012,24,1528,0
2012,25,1622,0
2012,26,1599,0
2012,27,1639,0
2012,28,1592,0
2012,29,1551,0
2012,30,1625,0
2012,31,1635,0
2012,32,1613,0
2012,33,1586,0
2012,34,1559,0
2012,35,1593,0
2012,36,1609,0
2012,37,1527,0
2012,38,1642,0
2012,39,1688,0
2012,40,1710,0
2012,41,1667,0
2012,42,1652,0
2012,43,1692,0
2012,44,1728,0
2012,45,1683,0
2012,46,1667,0
2012,47,1693,0
2012,48,1718,0
2012,49,1767,0
2012,50,1962,0
2012,51,1912,0
2012,52,2040,0
2013,1,1962,0
2013,2,1968,0
2013,3,1999,0
2013,4,1945,0
2013,5,1986,0
2013,6,2024,0
2013,7,1879,0
2013,8,1971,0
2013,9,2090,0
2013,10,1934,0
2013,11,1883,0
2013,12,1909,0
2013,13,1870,0
2013,14,1911,0
2013,15,1876,0
2013,16,1812,0
2013,17,1803,0
2013,18,1735,0
2013,19,1682,0
2013,20,1570,0
2013,21,1576,0
2013,22,1544,0
2013,23,1536,0
2013,24,1535,0
2013,25,1659,0
2013,26,1595,0
2013,27,1633,0
2013,28,1504,0
2013,29,1570,0
2013,30,1552,0
2013,31,1499,0
2013,32,1573,0
2013,33,1508,0
2013,34,1553,0
2013,35,1598,0
2013,36,1611,0
2013,37,1614,0
2013,38,1580,0
2013,39,1576,0
2013,40,1612,0
2013,41,1547,0
2013,42,1700,0
2013,43,1686,0
2013,44,1613,0
2013,45,1654,0
2013,46,1600,0
2013,47,1683,0
2013,48,1800,0
2013,49,1799,0
2013,50,1742,0
2013,51,1725,0
2013,52,1888,0
2014,1,1840,0
2014,2,1787,0
2014,3,1846,0
2014,4,1758,0
2014,5,1864,0
2014,6,1887,0
2014,7,1894,0
2014,8,1784,0
2014,9,1792,0
2014,10,1746,0
2014,11,1693,0
2014,12,1796,0
2014,13,1638,0
2014,14,1758,0
2014,15,1652,0
2014,16,1700,0
2014,17,1644,0
2014,18,1675,0
2014,19,1742,0
2014,20,1635,0
2014,21,1651,0
2014,22,1549,0
2014,23,1565,0
2014,24,1546,0
2014,25,1610,0
2014,26,1638,0
2014,27,1580,0
2014,28,1692,0
2014,29,1610,0
2014,30,1674,0
2014,31,1659,0
2014,32,1607,0
2014,33,1590,0
2014,34,1612,0
2014,35,1668,0
2014,36,1691,0
2014,37,1500,0
2014,38,1630,0
2014,39,1639,0
2014,40,1683,0
2014,41,1675,0
2014,42,1687,0
2014,43,1678,0
2014,44,1671,0
2014,45,1669,0
2014,46,1765,0
2014,47,1622,0
2014,48,1678,0
2014,49,1663,0
2014,50,1796,0
2014,51,1826,0
2014,52,1923,0
2015,1,1927,0
2015,2,1966,0
2015,3,1935,0
2015,4,1946,0
2015,5,1975,0
2015,6,1868,0
2015,7,2001,0
2015,8,2107,0
2015,9,2076,0
2015,10,2041,0
2015,11,1932,0
2015,12,1874,0
2015,13,1930,0
2015,14,1834,0
2015,15,1849,0
2015,16,1844,0
2015,17,1764,0
2015,18,1656,0
2015,19,1661,0
2015,20,1668,0
2015,21,1670,0
2015,22,1627,0
2015,23,1617,0
2015,24,1609,0
2015,25,1592,0
2015,26,1525,0
2015,27,1674,0
2015,28,1560,0
2015,29,1529,0
2015,30,1538,0
2015,31,1588,0
2015,32,1524,0
2015,33,1535,0
2015,34,1563,0
2015,35,1458,0
2015,36,1648,0
2015,37,1552,0
2015,38,1566,0
2015,39,1633,0
2015,40,1651,0
2015,41,1528,0
2015,42,1574,0
2015,43,1698,0
