"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,4.60887726898686,5.34301453646831,6.08459816421095
"2","Dynamisch",12,45.1660627795375,52.361653450862,59.6430981246803
"3","Dynamisch",13,220.351321159381,255.395556459559,290.901198977327
"4","Dynamisch",14,636.166058520163,737.329972131397,839.750629803124
"5","Dynamisch",15,1248.61548873853,1446.86809591949,1647.68806227404
"6","Dynamisch",16,1854.46547768691,2148.92569961798,2447.40364597135
"7","Dynamisch",17,2357.56575650358,2732.37068202575,3112.09802014481
"8","Dynamisch",18,2857.89101600892,3312.61054202083,3773.18062339716
"9","Dynamisch",19,3327.7872309857,3857.58741615562,4394.03448992252
"10","Dynamisch",20,3677.56727345808,4263.64807038802,4856.44306061394
"11","Dynamisch",21,4008.70513310301,4648.33065174211,5294.76749447322
"12","Dynamisch",22,4258.84415662866,4938.97661079762,5626.1153927546
"13","Dynamisch",23,4484.11088138946,5200.77044125617,5924.52683259728
"14","Dynamisch",24,4699.11158221061,5450.80602639362,6209.5378260542
"15","Dynamisch",25,4882.93156715187,5664.51027175184,6453.09914185896
"16","Dynamisch",26,5009.67661525737,5811.96578741314,6621.227923821
"17","Dynamisch",27,5099.67438467273,5916.67982101937,6740.64278714885
"18","Dynamisch",28,5176.7885555848,6006.43312522362,6843.01869110731
"19","Dynamisch",29,5229.10901513483,6067.33664944195,6912.48905540185
"20","Dynamisch",30,5256.64514680502,6099.39054650617,6949.05264308629
"21","Dynamisch",31,5273.16770140949,6118.62271174587,6970.98465869135
"22","Dynamisch",32,5289.69553402865,6137.85496610008,6992.91195617103
"23","Dynamisch",33,5304.38934184816,6154.95017283335,7012.39948132697
"24","Dynamisch",34,5321.83767034847,6175.25067866577,7035.53589774102
"25","Dynamisch",35,5331.01743395766,6185.93506006707,7047.70809864275
"26","Dynamisch",36,5342.02685599189,6198.75641508616,7062.31529139485
"27","Dynamisch",37,5353.95775715006,6212.64586529454,7078.13605413284
"28","Dynamisch",38,5364.97448206926,6225.46702481725,7092.7423011849
"29","Dynamisch",39,5375.07172922405,6237.21958292368,7106.13121384159
"30","Dynamisch",40,5390.67591561444,6255.38266044568,7126.83444050419
"31","Dynamisch",41,5410.86648654465,6278.88823951568,7153.6262244381
"32","Dynamisch",42,5425.54968531149,6295.98300748455,7173.11065630272
"33","Dynamisch",43,5464.98719813839,6341.92500633926,7225.44943186868
"34","Dynamisch",44,5540.18741546872,6429.53432966476,7325.27189586119
"35","Dynamisch",45,5684.17647092998,6597.27272793039,7516.32939547903
"36","Dynamisch",46,5899.75602642214,6848.34190096317,7802.41234955596
"37","Dynamisch",47,6204.50041940728,7203.04111410167,8206.66559034255
"38","Dynamisch",48,6587.3005669513,7648.54572017175,8714.45198398782
"39","Dynamisch",49,7024.21617640765,8157.07626908406,9294.06470898378
"40","Dynamisch",50,7482.04393986191,8690.17763391584,9901.88336696567
"41","Dynamisch",51,8072.82835673749,9378.19126596995,10686.7273639805
"42","Dynamisch",52,8661.14224625536,10062.9960125876,11468.0817685814
"43","Statisch",11,4.5342458721888,5.31284449162704,6.05927650223671
"44","Statisch",12,44.4355853107601,52.0658739817713,59.3809296357441
"45","Statisch",13,216.737133304212,253.953954281187,289.633553753697
"46","Statisch",14,625.726575163618,733.172505358657,836.180806683607
"47","Statisch",15,1227.874746154,1438.71823154731,1640.85336800237
"48","Statisch",16,1823.6741763012,2136.82596383942,2437.0425147307
"49","Statisch",17,2318.81348784347,2716.98855507882,3098.71574216894
"50","Statisch",18,2811.23259748371,3293.96344577643,3756.75395568312
"51","Statisch",19,3273.72529491695,3835.87356185104,4374.80083440398
"52","Statisch",20,3618.32746463852,4239.64971858902,4835.30612982543
"53","Statisch",21,3944.79274914214,4622.17449786057,5271.57454009788
"54","Statisch",22,4191.4553819574,4911.19321420406,5601.19954538378
"55","Statisch",23,4413.63305619858,5171.52256777754,5898.10451905162
"56","Statisch",24,4625.83520281862,5420.16366892283,6181.67903878626
"57","Statisch",25,4807.2044956592,5632.67742980202,6424.05044347937
"58","Statisch",26,4932.34925367432,5779.31192674311,6591.28666420129
"59","Statisch",27,5021.22013139282,5883.44367569485,6710.04859213096
"60","Statisch",28,5097.39514914625,5972.69946193544,6811.8445120789
"61","Statisch",29,5149.08535641614,6033.26588759269,6880.92028070219
"62","Statisch",30,5176.29072052784,6065.14295402161,6917.2759397906
"63","Statisch",31,5192.61393468936,6084.26919312887,6939.08933036103
"64","Statisch",32,5208.93715159726,6103.39543160842,6960.90273095203
"65","Statisch",33,5223.44666789843,6120.39653247315,6980.292420728
"66","Statisch",34,5240.67671301299,6140.58533950802,7003.31767138461
"67","Statisch",35,5249.74516531523,6151.21102752772,7015.43621994245
"68","Statisch",36,5260.62730589677,6163.96185333214,7029.97848044542
"69","Statisch",37,5272.41629129203,6177.77524761373,7045.73259651281
"70","Statisch",38,5283.29843357011,6190.52607342567,7060.2748596241
"71","Statisch",39,5293.27372424821,6202.21433036515,7073.60526660852
"72","Statisch",40,5308.69008709561,6220.27799999181,7094.20680574572
"73","Statisch",41,5328.64069588523,6243.65451316501,7120.86761554511
"74","Statisch",42,5343.15022907862,6260.65561357552,7140.25728246044
"75","Statisch",43,5382.1445580474,6306.34607218397,7192.36704824375
"76","Statisch",44,5456.50579493287,6393.47671368811,7291.73918491595
"77","Statisch",45,5598.88037223002,6560.30001756369,7482.00052471029
"78","Statisch",46,5811.98885205228,6810.00369214979,7766.78659565704
"79","Statisch",47,6113.06132230962,7162.77654092628,8169.12258855811
"80","Statisch",48,6491.21536339178,7605.86774258867,8674.46648120652
"81","Statisch",49,6922.87342973365,8111.65051029131,9251.30998873286
"82","Statisch",50,7375.38886537062,8641.87236514386,9856.02614602413
"83","Statisch",51,7959.39678970877,9326.16672048909,10636.4615870148
"84","Statisch",52,8540.68402428016,10007.2733534931,11413.2613796596
"85","Interventie",11,-65.4781058800453,40.2814987844082,149.046014138831
"86","Interventie",12,12.7806090802333,211.865491725046,416.411368196674
"87","Interventie",13,274.725350990028,548.589066605226,835.063499267751
"88","Interventie",14,764.345826730673,1124.69906474653,1474.79116558407
"89","Interventie",15,1397.49910872039,1847.28460869298,2257.2322511238
"90","Interventie",16,2085.22378496966,2578.90406737641,3075.21621931125
"91","Interventie",17,2664.36568908439,3197.04850662648,3757.29495881904
