"","model","week","Laag","Gemiddeld","Hoog"
"1","Dynamisch",11,4.60887726898686,5.34301453646831,6.08459816421095
"2","Dynamisch",12,45.1660627795375,52.361653450862,59.6430981246803
"3","Dynamisch",13,220.351321159381,255.395556459559,290.901198977327
"4","Dynamisch",14,636.166058520163,737.329972131397,839.750629803124
"5","Dynamisch",15,1248.61548873853,1446.86809591949,1647.68806227404
"6","Dynamisch",16,1854.46547768691,2148.92569961798,2447.40364597135
"7","Dynamisch",17,2357.56575650358,2732.37068202575,3112.09802014481
"8","Dynamisch",18,2857.89101600892,3312.61054202083,3773.18062339716
"9","Dynamisch",19,3327.7872309857,3857.58741615562,4394.03448992252
"10","Dynamisch",20,3677.56727345808,4263.64807038802,4856.44306061394
"11","Dynamisch",21,4008.70513310301,4648.33065174211,5294.76749447322
"12","Dynamisch",22,4258.84415662866,4938.97661079762,5626.1153927546
"13","Dynamisch",23,4484.11088138946,5200.77044125617,5924.52683259728
"14","Dynamisch",24,4699.11158221061,5450.80602639362,6209.5378260542
"15","Dynamisch",25,4882.93156715187,5664.51027175184,6453.09914185896
"16","Dynamisch",26,5009.67661525737,5811.96578741314,6621.227923821
"17","Dynamisch",27,5099.67438467273,5916.67982101937,6740.64278714885
"18","Dynamisch",28,5176.7885555848,6006.43312522362,6843.01869110731
"19","Dynamisch",29,5229.10901513483,6067.33664944195,6912.48905540185
"20","Dynamisch",30,5256.64514680502,6099.39054650617,6949.05264308629
"21","Dynamisch",31,5273.16770140949,6118.62271174587,6970.98465869135
"22","Dynamisch",32,5289.69553402865,6137.85496610008,6992.91195617103
"23","Dynamisch",33,5304.38934184816,6154.95017283335,7012.39948132697
"24","Dynamisch",34,5321.83767034847,6175.25067866577,7035.53589774102
"25","Dynamisch",35,5331.01743395766,6185.93506006707,7047.70809864275
"26","Dynamisch",36,5342.02685599189,6198.75641508616,7062.31529139485
"27","Dynamisch",37,5353.95775715006,6212.64586529454,7078.13605413284
"28","Dynamisch",38,5364.97448206926,6225.46702481725,7092.7423011849
"29","Dynamisch",39,5375.07172922405,6237.21958292368,7106.13121384159
"30","Dynamisch",40,5390.67591561444,6255.38266044568,7126.83444050419
"31","Dynamisch",41,5410.86648654465,6278.88823951568,7153.6262244381
"32","Dynamisch",42,5425.54968531149,6295.98300748455,7173.11065630272
"33","Dynamisch",43,5464.98719813839,6341.92500633926,7225.44943186868
"34","Dynamisch",44,5540.18741546872,6429.53432966476,7325.27189586119
"35","Dynamisch",45,5684.17647092998,6597.27272793039,7516.32939547903
"36","Dynamisch",46,5899.75602642214,6848.34190096317,7802.41234955596
"37","Dynamisch",47,6204.50041940728,7203.04111410167,8206.66559034255
"38","Dynamisch",48,6587.3005669513,7648.54572017175,8714.45198398782
"39","Dynamisch",49,7024.21617640765,8157.07626908406,9294.06470898378
"40","Dynamisch",50,7482.04393986191,8690.17763391584,9901.88336696567
"41","Dynamisch",51,8072.82835673749,9378.19126596995,10686.7273639805
"42","Dynamisch",52,8661.14224625536,10062.9960125876,11468.0817685814
