"","year","week","cbs_deaths","mid","lwr","upr","smooth"
"1",2010,1,1899,1898.95642897504,NA,NA,NA
"2",2010,2,1942,1941.98144678492,NA,NA,NA
"3",2010,3,1865,1864.98873014494,NA,NA,NA
"4",2010,4,1919,1919.00082459605,NA,NA,NA
"5",2010,5,1848,1847.99724150186,NA,NA,NA
"6",2010,6,1836,1836.0010080843,NA,NA,NA
"7",2010,7,1786,1785.99743025887,NA,NA,NA
"8",2010,8,1813,1813.00030275453,NA,NA,NA
"9",2010,9,1874,1873.97479855208,NA,NA,NA
"10",2010,10,1844,1844.01902691864,NA,NA,NA
"11",2010,11,1741,1741.00299211035,NA,NA,NA
"12",2010,12,1814,1813.97930120159,NA,NA,NA
"13",2010,13,1754,1754.03473596477,NA,NA,NA
"14",2010,14,1731,1730.99990392315,NA,NA,NA
"15",2010,15,1749,1748.96837286643,NA,NA,NA
"16",2010,16,1745,1744.99878704821,NA,NA,NA
"17",2010,17,1720,1719.98083652314,NA,NA,NA
"18",2010,18,1695,1695.01692206317,NA,NA,NA
"19",2010,19,1647,1646.99012443585,NA,NA,NA
"20",2010,20,1620,1620.00867199286,NA,NA,NA
"21",2010,21,1615,1614.98653687742,NA,NA,NA
"22",2010,22,1588,1587.9807772973,NA,NA,NA
"23",2010,23,1574,1573.98907172231,NA,NA,NA
"24",2010,24,1571,1571.0035359248,NA,NA,NA
"25",2010,25,1615,1615.01493651557,NA,NA,NA
"26",2010,26,1644,1643.99362428849,NA,NA,NA
"27",2010,27,1635,1634.98312050198,NA,NA,NA
"28",2010,28,1682,1682.006096648,NA,NA,NA
"29",2010,29,1602,1602.01966404957,NA,NA,NA
"30",2010,30,1600,1600.00918710926,NA,NA,NA
"31",2010,31,1583,1583.01340210489,NA,NA,NA
"32",2010,32,1573,1572.99008415916,NA,NA,NA
"33",2010,33,1506,1505.99785783851,NA,NA,NA
"34",2010,34,1569,1568.99812033781,NA,NA,NA
"35",2010,35,1647,1646.9922954992,NA,NA,NA
"36",2010,36,1614,1614.01029610717,NA,NA,NA
"37",2010,37,1717,1716.98121671361,NA,NA,NA
"38",2010,38,1652,1651.96694004803,NA,NA,NA
"39",2010,39,1628,1628.00395001713,NA,NA,NA
"40",2010,40,1594,1594.00928551226,NA,NA,NA
"41",2010,41,1755,1754.97939056086,NA,NA,NA
"42",2010,42,1696,1696.02068442127,NA,NA,NA
"43",2010,43,1694,1694.02449245831,NA,NA,NA
"44",2010,44,1640,1640.00232812462,NA,NA,NA
"45",2010,45,1791,1791.00222865229,NA,NA,NA
"46",2010,46,1719,1719.01822266559,NA,NA,NA
"47",2010,47,1750,1749.99928149052,NA,NA,NA
"48",2010,48,1862,1861.98979389652,NA,NA,NA
"49",2010,49,1849,1849.01905809437,NA,NA,NA
"50",2010,50,1842,1841.98040751984,NA,NA,NA
"51",2010,51,2002,2002.01035797159,NA,NA,NA
"52",2010,52,2192,2191.97524117005,NA,NA,NA
"53",2011,1,2010,2010.00306717291,NA,NA,NA
"54",2011,2,1953,1953.00747054597,NA,NA,NA
"55",2011,3,1867,1867.02344328035,NA,NA,NA
"56",2011,4,1841,1840.99285689773,NA,NA,NA
"57",2011,5,1830,1830.00738926334,NA,NA,NA
"58",2011,6,1761,1761.00051159996,NA,NA,NA
"59",2011,7,1784,1783.99642469908,NA,NA,NA
"60",2011,8,1862,1862.011406439,NA,NA,NA
"61",2011,9,1902,1901.98784905475,NA,NA,NA
"62",2011,10,1882,1881.96528098977,NA,NA,NA
"63",2011,11,1785,1785.00413065331,NA,NA,NA
"64",2011,12,1779,1778.991820952,NA,NA,NA
"65",2011,13,1823,1822.9758459219,NA,NA,NA
"66",2011,14,1757,1756.97835371894,NA,NA,NA
"67",2011,15,1748,1748.00888986497,NA,NA,NA
"68",2011,16,1758,1758.00945808898,NA,NA,NA
"69",2011,17,1657,1656.99978676849,NA,NA,NA
"70",2011,18,1673,1672.99350239812,NA,NA,NA
"71",2011,19,1681,1680.99522205091,NA,NA,NA
"72",2011,20,1636,1636.02211932509,NA,NA,NA
"73",2011,21,1617,1616.98791436591,NA,NA,NA
"74",2011,22,1577,1576.99083172935,NA,NA,NA
