"","week","model","mid","lwr","upr"
"1",11,"Dynamisch",5.34301453646831,4.60887726898686,6.08459816421095
"2",12,"Dynamisch",47.0186389143937,40.5571855105507,53.5584999604693
"3",13,"Dynamisch",203.033903008697,175.185258379844,231.258100852647
"4",14,"Dynamisch",481.934415671838,415.814737360782,548.848385570457
"5",15,"Dynamisch",709.538123788095,612.449430218365,807.937432470913
"6",16,"Dynamisch",702.057603698489,605.849988948386,799.715583697315
"7",17,"Dynamisch",583.444982407773,503.10027881667,664.694374173456
"8",18,"Dynamisch",580.239859995078,500.325259505334,661.082603252354
"9",19,"Dynamisch",544.976874134792,469.896214976783,620.853866525357
"10",20,"Dynamisch",406.0606542324,349.89328224998,462.40857069142
"11",21,"Dynamisch",384.682581354089,331.376812211193,438.324433859278
"12",22,"Dynamisch",290.645959055502,250.296186657344,331.222015634073
"13",23,"Dynamisch",261.793830458557,225.45238275734,298.356344259021
"14",24,"Dynamisch",250.035585137449,215.203441592821,285.008445153591
"15",25,"Dynamisch",213.704245358218,184.035272109098,243.558729118466
"16",26,"Dynamisch",147.455515661295,126.903717702971,168.065701032855
"17",27,"Dynamisch",104.714033606231,90.1477340427261,119.308986689202
"18",28,"Dynamisch",89.7533042042524,77.2224665296053,102.250755629346
"19",29,"Dynamisch",60.9035242183271,52.3880135819905,69.4026720913317
"20",30,"Dynamisch",32.0538970642216,27.5767853162611,36.5339266902596
"21",31,"Dynamisch",19.232165239699,16.5477079154288,21.9132103421366
"22",32,"Dynamisch",19.2322543542157,16.5468991578821,21.9187108035105
"23",33,"Dynamisch",17.0952067332644,14.7091986726844,19.4851035468812
"24",34,"Dynamisch",20.3005058324242,17.4757433757641,23.1297933225901
"25",35,"Dynamisch",10.6843814012952,9.19700041684792,12.1721196147575
"26",36,"Dynamisch",12.8213550190983,11.0405022455034,14.6070132276552
"27",37,"Dynamisch",13.8894502083714,11.9566895468595,15.8213927758639
"28",38,"Dynamisch",12.8211595227162,11.0297100906113,14.6060140517905
"29",39,"Dynamisch",11.7525581064326,10.1049063483855,13.38851755975
"30",40,"Dynamisch",18.1630775219984,15.616231031939,20.7027679425848
"31",41,"Dynamisch",23.5055790699975,20.2189104241,26.7908319964553
"32",42,"Dynamisch",17.0947679688714,14.7058901852889,19.4838225875937
"33",43,"Dynamisch",45.9419988547035,39.5099304292674,52.3358695627915
"34",44,"Dynamisch",87.609323325505,75.3474885897657,99.8172902098313
"35",45,"Dynamisch",167.73839826563,144.243645578728,191.050231642422
"36",46,"Dynamisch",251.069173032778,215.920012033446,286.077929768952
"37",47,"Dynamisch",354.699213138503,305.131576662962,404.250384027727
"38",48,"Dynamisch",445.504606070078,383.254436856698,507.780258482585
"39",49,"Dynamisch",508.530548912315,437.482448852023,579.607804301048
"40",50,"Dynamisch",533.10136483177,458.701560608185,607.807344205207
"41",51,"Dynamisch",688.013632054117,591.992620657431,784.172680447492
"42",52,"Dynamisch",684.804746617638,589.21612864001,780.366380908319
"43",11,"Statisch",5.31284449162704,4.5342458721888,6.05927650223671
"44",12,"Statisch",46.7530294901442,39.9013394385713,53.3216531335074
"45",13,"Statisch",201.888080299415,172.301547993452,230.252624117953
"46",14,"Statisch",479.21855107747,408.989441859406,546.547252929909
"47",15,"Statisch",705.545726188649,602.148170990385,804.672561318768
"48",16,"Statisch",698.107732292116,595.799430147197,796.18914672832
"49",17,"Statisch",580.1625912394,495.139311542266,661.67322743825
"50",18,"Statisch",576.974890697603,492.419109640243,658.038213514173
"51",19,"Statisch",541.91011607461,462.492697433244,618.046878720858
"52",20,"Statisch",403.776156737983,344.60216972157,460.50529542145
"53",21,"Statisch",382.524779271553,326.46528450362,436.268410272452
"54",22,"Statisch",289.018716343489,246.662632815257,329.625005285904
"55",23,"Statisch",260.329353573483,222.177674241182,296.904973667835
"56",24,"Statisch",248.641101145289,212.202146620037,283.574519734645
"57",25,"Statisch",212.513760879188,181.369292840577,242.371404693114
"58",26,"Statisch",146.634496941092,125.144758015126,167.236220721918
"59",27,"Statisch",104.131748951739,88.870877718496,118.761927929664
"60",28,"Statisch",89.255786240591,76.175017753435,101.795919947946
"61",29,"Statisch",60.5664256572448,51.6902072698865,69.0757686232877
"62",30,"Statisch",31.877066428924,27.2053641116958,36.3556590884131
"63",31,"Statisch",19.126239107263,16.3232141615225,21.813390570427
"64",32,"Statisch",19.1262384795458,16.3232169079027,21.8134005910005
"65",33,"Statisch",17.0011008647249,14.5095163011672,19.3896897759679
"66",34,"Statisch",20.1888070348799,17.2300451145604,23.0252506566077
"67",35,"Statisch",10.6256880196966,9.06845230223949,12.1185485578475
"68",36,"Statisch",12.7508258044135,10.882140581541,14.5422605029697
"69",37,"Statisch",13.8133942815993,11.7889853952612,15.754116067385
"70",38,"Statisch",12.7508258119343,10.882142278076,14.5422631112892
"71",39,"Statisch",11.688256939478,9.97529067810099,13.3304069844245
"72",40,"Statisch",18.0636696266615,15.4163628474007,20.6015391371993
"73",41,"Statisch",23.3765131732019,19.9506087896261,26.6608097993868
"74",42,"Statisch",17.0011004105142,14.509533193382,19.3896669153288
"75",43,"Statisch",45.6904586084477,38.9943289687822,52.1097657833153
"76",44,"Statisch",87.1306415041336,74.3612368854692,99.3721366722021
"77",45,"Statisch",166.823303875589,142.374577297152,190.261339794337
"78",46,"Statisch",249.703674586093,213.108479822265,284.786070946746
"79",47,"Statisch",352.772848776496,301.072470257335,402.335992901073
"80",48,"Statisch",443.09120166239,378.154041082163,505.343892648415
"81",49,"Statisch",505.782767702638,431.658066341869,576.843507526337
"82",50,"Statisch",530.221854852543,452.515435636974,604.716157291265
"83",51,"Statisch",684.294355345233,584.007924338148,780.435440990694
"84",52,"Statisch",681.106633004048,581.287234571383,776.799792644808
"85",11,"Interventie",40.2814987844082,-65.4781058800453,149.046014138831
"86",12,"Interventie",171.583992940638,63.744496103327,284.832299945253
"87",13,"Interventie",336.72357488018,224.190375172595,451.162504732492
"88",14,"Interventie",576.109998141307,462.00423945368,690.82611890873
"89",15,"Interventie",722.585543946443,606.800548340692,840.394718490387
"90",16,"Interventie",731.619458683437,623.640780086233,847.296054786266
"91",17,"Interventie",618.144439250063,516.859845790213,725.428216635185
"92",18,"Interventie",585.750206722448,484.957601586067,689.140155990207
"93",19,"Interventie",531.543274121318,429.278176547596,637.781238788846
"94",20,"Interventie",415.077626899419,312.029947146168,523.750646988511
"95",21,"Interventie",341.84249169944,227.156817660387,456.94419990814
"96",22,"Interventie",195.28764521551,71.4393588467809,306.951916656065
"97",23,"Interventie",211.128340388514,100.810639263318,322.243472061227
"98",24,"Interventie",182.994461329451,76.073166135952,294.924168137063
"99",25,"Interventie",145.947217640009,31.8992520437894,252.047069662054
"100",26,"Interventie",130.468434760607,12.5365933594311,236.638894037254
"101",27,"Interventie",64.992846300494,-50.5956463795434,176.275209128489
"102",28,"Interventie",50.9647877946168,-60.1480571665381,163.759477843733
"103",29,"Interventie",13.343387910748,-98.4517577891533,123.877152951379
"104",30,"Interventie",15.4265715729765,-103.882815627066,130.126483204683
"105",31,"Interventie",17.5732091097519,-91.4203387541978,128.543252357605
"106",32,"Interventie",21.0257465615101,-94.8445705224853,130.475423253997
"107",33,"Interventie",-8.06969637436191,-123.365354864287,109.616385382457
"108",34,"Interventie",6.72397337370818,-105.159760557085,126.892249328754
"109",35,"Interventie",-40.9839583171882,-151.922558240502,67.5830004568943
"110",36,"Interventie",-39.2869473138827,-151.903499513355,65.5834920192349
"111",37,"Interventie",-38.7548122179616,-151.912714556907,71.3342269049902
"112",38,"Interventie",-46.0854855518755,-154.497169134325,58.6124309207697
"113",39,"Interventie",-26.1360098650291,-133.299994860143,96.3452678949042
"114",40,"Interventie",-35.7506897378918,-158.240149803402,75.9663374052359
"115",41,"Interventie",-38.0410726447006,-152.852789693885,71.0243804174285
"116",42,"Interventie",-1.22482444572446,-111.961729624648,105.68617382219
"117",43,"Interventie",-10.0478191455809,-119.534871778437,101.564967649256
"118",44,"Interventie",53.5760026369896,-52.810118877449,164.829163371095
"119",45,"Interventie",70.2741277471634,-39.5580759600503,182.096277122853
"120",46,"Interventie",180.757705688461,72.3756321771068,291.41806468809
"121",47,"Interventie",262.481235667763,147.596999328669,367.612182388735
"122",48,"Interventie",275.881572995791,169.245427499055,380.717479150224
"123",49,"Interventie",377.13368666541,262.016335456694,493.084668846476
"124",50,"Interventie",386.183780337589,261.089512993935,503.314385514003
"125",51,"Interventie",481.919811453846,356.273193667415,604.359979693833
"126",52,"Interventie",501.709250841326,384.737516560953,619.522765733515
"127",44,"CBS/AMC",2852.54761904762,NA,NA
