"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr"
"1",2020,1,3178.69290735345,641,4142,2994.60099958183,3369.67065431193
"2",2020,2,3023.42196702317,550,3850,2865.76077272757,3186.2474361985
"3",2020,3,3065.00684937753,529,3860,2913.38374948289,3222.24309394949
"4",2020,4,3084.29254631318,419,3714,2963.47038686207,3208.76054440665
"5",2020,5,3040.82840460269,406,3651,2924.11259106185,3161.43366322532
"6",2020,6,2954.39747596657,395,3548,2840.89435614194,3071.31962177412
"7",2020,7,2917.84764128974,404,3525,2801.06150202197,3037.88438737674
"8",2020,8,2789.72873743864,277,3206,2709.95544884372,2871.86870679293
"9",2020,9,2744.33133092583,240,3105,2675.69747640043,2815.16192516851
"10",2020,10,2963.47067108667,186,3243,2909.65351146433,3018.03673352035
"11",2020,11,2773.49682412442,176,3038,2723.04639192896,2825.65697811822
"12",2020,12,2815.07339654226,151,3042,2771.05017566134,2859.49925578833
"13",2020,13,2953.56752253029,146,3173,2911.27801260781,2997.57257370114
"14",2020,14,2945.6237762185,140,3156,2905.15180411029,2987.12349991391
"15",2020,15,2911.07536658431,147,3132,2868.17525514833,2954.42582596019
"16",2020,16,2933.10620044015,137,3139,2893.02863835765,2973.39215515457
"17",2020,17,2904.61751300692,140,3115,2863.95610570687,2945.66990149595
"18",2020,18,2785.60521745517,136,2990,2746.44868219973,2825.45523152718
"19",2020,19,2864.76575810181,92,3003,2838.01807658929,2892.20612955583
"20",2020,20,2852.269770718,83,2977,2827.91623320931,2876.87999463353
"21",2020,21,2715.35943452466,51,2792,2700.36406309807,2730.27417172102
"22",2020,22,2911.84541650995,54,2993,2896.20220725994,2927.9819005125
"23",2020,23,2804.92433106622,22,2838,2798.36468280681,2811.37041378371
"24",2020,24,2838.47457321257,11,2855,2835.00869007968,2841.95204608723
