"","model","week","Laag","Gemiddeld","Hoog","year","deaths_week_mid","deaths_week_low","deaths_week_high","deaths_low_cumsum","deaths_mid_cumsum","deaths_high_cumsum","weekyear"
"1","Dynamisch",10,5,5,5,"2020",5,5,5,5,5,5,"2020-10"
"2","Dynamisch",11,40,40,40,"2020",35,35,35,40,40,40,"2020-11"
"3","Dynamisch",12,452,452,452,"2020",412,412,412,452,452,452,"2020-12"
"4","Dynamisch",13,1703,1703,1703,"2020",1251,1251,1251,1703,1703,1703,"2020-13"
"5","Dynamisch",14,3623,3623,3623,"2020",1920,1920,1920,3623,3623,3623,"2020-14"
"6","Dynamisch",15,5599,5599,5599,"2020",1976,1976,1976,5599,5599,5599,"2020-15"
"7","Dynamisch",16,7064,7064,7064,"2020",1465,1465,1465,7064,7064,7064,"2020-16"
"8","Dynamisch",17,8158,8158,8158,"2020",1094,1094,1094,8158,8158,8158,"2020-17"
"9","Dynamisch",18,8824,8824,8824,"2020",666,666,666,8824,8824,8824,"2020-18"
"10","Dynamisch",19,9258,9258,9258,"2020",434,434,434,9258,9258,9258,"2020-19"
"11","Dynamisch",20,9540,9540,9540,"2020",282,282,282,9540,9540,9540,"2020-20"
"12","Dynamisch",21,9757,9757,9757,"2020",217,217,217,9757,9757,9757,"2020-21"
"13","Dynamisch",22,9906,9906,9906,"2020",149,149,149,9906,9906,9906,"2020-22"
"14","Dynamisch",23,10012,10012,10012,"2020",106,106,106,10012,10012,10012,"2020-23"
"15","Dynamisch",24,10078,10078,10078,"2020",66,66,66,10078,10078,10078,"2020-24"
"16","Dynamisch",25,10127,10127,10127,"2020",49,49,49,10127,10127,10127,"2020-25"
"17","Dynamisch",26,10161,10161,10161,"2020",34,34,34,10161,10161,10161,"2020-26"
"18","Dynamisch",27,10193,10193,10193,"2020",32,32,32,10193,10193,10193,"2020-27"
"19","Dynamisch",28,10218,10218,10218,"2020",25,25,25,10218,10218,10218,"2020-28"
"20","Dynamisch",29,10226,10226,10226,"2020",8,8,8,10226,10226,10226,"2020-29"
"21","Dynamisch",30,10244,10244,10244,"2020",18,18,18,10244,10244,10244,"2020-30"
"22","Dynamisch",31,10266,10266,10266,"2020",22,22,22,10266,10266,10266,"2020-31"
"23","Dynamisch",32,10294,10294,10294,"2020",28,28,28,10294,10294,10294,"2020-32"
"24","Dynamisch",33,10346,10346,10346,"2020",52,52,52,10346,10346,10346,"2020-33"
"25","Dynamisch",34,10394,10394,10394,"2020",48,48,48,10394,10394,10394,"2020-34"
"26","Dynamisch",35,10425,10425,10425,"2020",31,31,31,10425,10425,10425,"2020-35"
"27","Dynamisch",36,10452,10452,10452,"2020",27,27,27,10452,10452,10452,"2020-36"
"28","Dynamisch",37,10481,10481,10481,"2020",29,29,29,10481,10481,10481,"2020-37"
"29","Dynamisch",38,10547,10547,10547,"2020",66,66,66,10547,10547,10547,"2020-38"
"30","Dynamisch",39,10686,10686,10686,"2020",139,139,139,10686,10686,10686,"2020-39"
"31","Dynamisch",40,10880,10880,10880,"2020",194,194,194,10880,10880,10880,"2020-40"
"32","Dynamisch",41,11149,11149,11149,"2020",269,269,269,11149,11149,11149,"2020-41"
"33","Dynamisch",42,11583,11583,11583,"2020",434,434,434,11583,11583,11583,"2020-42"
"34","Dynamisch",43,12225,12225,12225,"2020",642,642,642,12225,12225,12225,"2020-43"
"35","Dynamisch",44,13077,13077,13077,"2020",852,852,852,13077,13077,13077,"2020-44"
"36","Dynamisch",45,13968,13968,13968,"2020",891,891,891,13968,13968,13968,"2020-45"
"37","Dynamisch",46,14743,14743,14743,"2020",775,775,775,14743,14743,14743,"2020-46"
"38","Dynamisch",47,15407,15407,15407,"2020",664,664,664,15407,15407,15407,"2020-47"
"39","Dynamisch",48,16055,16055,16055,"2020",648,648,648,16055,16055,16055,"2020-48"
"40","Dynamisch",49,16666,16666,16666,"2020",611,611,611,16666,16666,16666,"2020-49"
"41","Dynamisch",50,17358,17358,17358,"2020",692,692,692,17358,17358,17358,"2020-50"
"42","Dynamisch",51,18294,18294,18294,"2020",936,936,936,18294,18294,18294,"2020-51"
"43","Dynamisch",52,19405,19405,19405,"2020",1111,1111,1111,19405,19405,19405,"2020-52"
"44","Dynamisch",53,20577,20577,20577,"2020",1172,1172,1172,20577,20577,20577,"2020-53"
"45","Dynamisch",1,21704,21704,21704,"2021",1127,1127,1127,21704,21704,21704,"2021-01"
"46","Dynamisch",2,22716,22716,22716,"2021",1012,1012,1012,22716,22716,22716,"2021-02"
"47","Dynamisch",3,23678,23678,23678,"2021",962,962,962,23678,23678,23678,"2021-03"
"48","Dynamisch",4,24484,24484,24484,"2021",806,806,806,24484,24484,24484,"2021-04"
"49","Dynamisch",5,3067.99946909132,3826.66282162909,4621.66858334785,"2021",610.701694767917,489.625698039723,737.577867562383,24973.6256980397,25094.7016947679,25221.5778675624,"2021-05"
