"","week","mid","upr","lwr"
"1",1,1.50621649434499,1.81249922695837,1.2011859265258
"2",2,1.50621649568606,1.8124989455298,1.20118554302299
"3",3,1.50621650361138,1.81249846948387,1.20118617624432
"4",4,1.50621648064764,1.81249775890985,1.20118707560976
"5",5,1.50621649020486,1.81249817760947,1.20118731404678
"6",6,1.50621649556492,1.81249887658257,1.20118662726705
"7",7,1.50621647959299,1.81249888144888,1.20118664646066
"8",8,1.50621646842376,1.81249849703815,1.20118629050999
"9",9,1.50621649202108,1.812498146057,1.20118653911231
"10",10,1.50621646061128,1.812497588858,1.20118595383008
"11",11,1.50621644971568,1.81249756547023,1.20118604806701
"12",12,1.50621645859716,1.81249671993722,1.20118546084406
"13",13,1.50621647979787,1.81249650411634,1.20118583279643
"14",14,1.50621647507632,1.81249697142815,1.20118530405778
"15",15,1.5062164798874,1.81249634955041,1.20118558434686
"16",16,1.50621651490585,1.81249649415798,1.2011856074591
"17",17,1.50621649325548,1.81249671768011,1.20118526515017
