"","year","week","cbs_deaths","mid","lwr","upr","smooth"
"1",2010,1,2767,2766.9899029271,NA,NA,NA
"2",2010,2,2830,2829.96464076175,NA,NA,NA
"3",2010,3,2846,2846.00035619333,NA,NA,NA
"4",2010,4,2865,2864.99603895823,NA,NA,NA
"5",2010,5,2858,2858.00473156695,NA,NA,NA
"6",2010,6,2831,2831.01363964209,NA,NA,NA
"7",2010,7,2900,2900.00571379048,NA,NA,NA
"8",2010,8,2929,2928.98667499173,NA,NA,NA
"9",2010,9,2757,2757.00121094089,NA,NA,NA
"10",2010,10,2760,2760.02028860986,NA,NA,NA
"11",2010,11,2686,2686.01684228167,NA,NA,NA
"12",2010,12,2687,2686.97697301041,NA,NA,NA
"13",2010,13,2586,2586.01957853044,NA,NA,NA
"14",2010,14,2472,2472.00209321131,NA,NA,NA
"15",2010,15,2583,2582.99437659332,NA,NA,NA
"16",2010,16,2581,2581.01249151213,NA,NA,NA
"17",2010,17,2570,2569.9986270362,NA,NA,NA
"18",2010,18,2536,2536.00113303612,NA,NA,NA
"19",2010,19,2687,2686.98528882222,NA,NA,NA
"20",2010,20,2525,2524.98485601896,NA,NA,NA
"21",2010,21,2485,2485.00415031755,NA,NA,NA
"22",2010,22,2567,2567.00032456123,NA,NA,NA
"23",2010,23,2502,2502.02505664753,NA,NA,NA
"24",2010,24,2372,2372.0272872388,NA,NA,NA
"25",2010,25,2535,2535.00491258492,NA,NA,NA
"26",2010,26,2580,2580.01032832408,NA,NA,NA
"27",2010,27,2653,2652.98432824527,NA,NA,NA
"28",2010,28,2499,2498.97473719719,NA,NA,NA
"29",2010,29,2443,2443.00536348314,NA,NA,NA
"30",2010,30,2314,2314.0275052811,NA,NA,NA
"31",2010,31,2289,2288.98394440972,NA,NA,NA
"32",2010,32,2381,2381.01504687222,NA,NA,NA
"33",2010,33,2464,2463.97483059647,NA,NA,NA
"34",2010,34,2277,2277.00018528515,NA,NA,NA
"35",2010,35,2416,2416.00353404636,NA,NA,NA
"36",2010,36,2433,2432.99272109611,NA,NA,NA
"37",2010,37,2523,2522.99995768497,NA,NA,NA
"38",2010,38,2594,2594.01793805645,NA,NA,NA
"39",2010,39,2498,2498.0031914401,NA,NA,NA
"40",2010,40,2598,2597.97333022128,NA,NA,NA
"41",2010,41,2543,2542.9865589244,NA,NA,NA
"42",2010,42,2555,2555.00322727281,NA,NA,NA
"43",2010,43,2609,2608.9965069424,NA,NA,NA
"44",2010,44,2559,2559.00243734882,NA,NA,NA
"45",2010,45,2542,2542.02677661735,NA,NA,NA
"46",2010,46,2519,2518.99305481123,NA,NA,NA
"47",2010,47,2542,2541.9981371816,NA,NA,NA
"48",2010,48,2736,2735.99314421983,NA,NA,NA
"49",2010,49,2832,2832.02285250046,NA,NA,NA
"50",2010,50,2873,2872.99013047978,NA,NA,NA
"51",2010,51,2830,2829.99589578804,NA,NA,NA
"52",2010,52,2884,2884.01841001837,NA,NA,NA
"53",2011,1,2917,2916.98674096262,NA,NA,NA
"54",2011,2,2819,2819.0036597795,NA,NA,NA
"55",2011,3,2624,2624.01787020937,NA,NA,NA
"56",2011,4,2620,2620.00785242173,NA,NA,NA
"57",2011,5,2728,2728.01821661945,NA,NA,NA
"58",2011,6,2675,2675.01369306013,NA,NA,NA
"59",2011,7,2621,2620.97725250613,NA,NA,NA
"60",2011,8,2651,2651.01394972037,NA,NA,NA
"61",2011,9,2686,2686.00808583504,NA,NA,NA
"62",2011,10,2714,2714.0192212105,NA,NA,NA
"63",2011,11,2727,2727.01490888264,NA,NA,NA
"64",2011,12,2686,2685.9958046235,NA,NA,NA
"65",2011,13,2739,2739.01112452303,NA,NA,NA
"66",2011,14,2592,2591.99812580477,NA,NA,NA
"67",2011,15,2652,2651.97238562676,NA,NA,NA
"68",2011,16,2694,2694.00893056317,NA,NA,NA
"69",2011,17,2591,2590.98944331861,NA,NA,NA
"70",2011,18,2543,2542.98435058562,NA,NA,NA
"71",2011,19,2606,2606.00957902749,NA,NA,NA
"72",2011,20,2551,2550.994759262,NA,NA,NA
