"","week","model","mid","lwr","upr"
"1",1,"Dynamisch",961.209967495067,763.654398661726,1143.90261837761
"2",2,"Dynamisch",825.828276756628,656.097901124933,982.789988196401
"3",3,"Dynamisch",798.751915808821,634.587127328433,950.567488302925
"4",4,"Dynamisch",630.276934254262,500.738745277342,750.070760923417
"5",5,"Dynamisch",610.721800818796,485.202474883964,726.798769986345
"6",6,"Dynamisch",592.670901017729,470.861991140827,705.316773264938
"7",7,"Dynamisch",607.713298073493,482.812731037105,723.218260903161
"8",8,"Dynamisch",416.674715991059,331.037319276003,495.870018606005
"9",9,"Dynamisch",361.017810225366,286.819224330466,429.634717790212
"10",10,"Dynamisch",278.284559466809,221.089885811907,331.176771885948
"11",11,"Dynamisch",264.74639562702,210.334072553381,315.065546874261
"12",12,"Dynamisch",227.140373993827,180.457067259875,270.311924347524
"13",13,"Dynamisch",221.123412100865,175.676713661364,263.151314968015
"14",14,"Dynamisch",209.089488026659,166.116104540656,248.830176685682
"15",15,"Dynamisch",221.123415910464,175.676820270986,263.151286033371
"16",16,"Dynamisch",203.072524430553,161.335875766341,241.669551370918
"17",17,"Dynamisch",209.089485469464,166.116131600054,248.830052873453
"18",18,"Dynamisch",198.559798191022,157.750588581378,236.299054450086
"19",19,"Dynamisch",126.35623678971,100.386674007893,150.372140915722
"20",1,"Statisch",960.385033134966,768.476814183396,1149.29926343943
"21",2,"Statisch",825.119539535413,660.240467988753,987.426205481208
"22",3,"Statisch",798.066447707892,638.593122967939,955.051458648568
"23",4,"Statisch",629.736050040891,503.899263481604,753.609277658345
"24",5,"Statisch",610.19770314183,488.265138308877,730.22736746079
"25",6,"Statisch",592.162306631154,473.833761008331,708.644581022654
"26",7,"Statisch",607.191810527553,485.859764486696,726.630499791531
"27",8,"Statisch",416.317165366593,333.126572739212,498.209747681215
"28",9,"Statisch",360.708010611774,288.629356937162,431.661737647459
"29",10,"Statisch",278.045758661038,222.485313165173,332.739124205489
"30",11,"Statisch",264.519207978421,211.66173772991,316.55187333414
"31",12,"Statisch",226.945456678068,181.596092474374,271.587188656659
"32",13,"Statisch",220.93365265585,176.785610572716,264.392815639779
"33",14,"Statisch",208.910054002981,167.164440519315,250.004037463328
"34",15,"Statisch",220.933655275223,176.785388588989,264.392703964724
"35",16,"Statisch",202.898254821844,162.353900503514,242.809540027183
"36",17,"Statisch",208.910056633357,167.164379714647,250.00381372906
"37",18,"Statisch",198.389408626862,158.745966088855,237.413605217894
"38",19,"Statisch",126.247806671049,101.020144360715,151.08139864421
"39",1,"Interventie",942.748908911512,776.845898316193,1102.33188093545
"40",2,"Interventie",762.100044986159,606.418545676357,922.661968163899
"41",3,"Interventie",698.277785282754,540.110989495505,858.691012588053
"42",4,"Interventie",584.1009841068,425.954463109892,756.856739641075
"43",5,"Interventie",501.373349746287,340.911263700538,663.807765668959
"44",6,"Interventie",410.459801516654,250.299697790821,572.52062168017
"45",7,"Interventie",347.395274212373,173.82930594171,522.674627898459
"46",8,"Interventie",168.854119746803,3.64195745466397,346.517114441123
"47",9,"Interventie",91.6476429947035,-92.4028493685521,281.956116581875
"48",10,"Interventie",131.544358030323,-48.9506607222764,301.186204831834
"49",11,"Interventie",50.3443881446816,-125.31814383864,222.237107365092
"50",12,"Interventie",66.4807382673821,-114.783454642703,252.579522263448
"51",13,"Interventie",141.160005765744,-41.7040502400658,324.811770471154
"52",14,"Interventie",161.594451726177,-33.3284584499821,349.626244180179
"53",15,"Interventie",166.774799739683,-18.9753973446469,353.236425678625
"54",16,"Interventie",177.433699967842,-24.3199612471204,367.144900441968
"55",17,"Interventie",162.042093712041,-49.2756897829666,362.049296819188
"56",18,"Interventie",113.725403103194,-86.3697640890822,303.085029823181
"57",19,"Interventie",98.8679398191266,-109.079252538801,279.212210641209
"58",44,"CBS/AMC",2862.16279069767,NA,NA
"59",45,"CBS/AMC",3363.25,NA,NA
