"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr","weekyear"
"1",2020,1,NA,0,3105,NA,NA,2020-01-06
"2",2020,2,NA,0,3366,NA,NA,2020-01-13
"3",2020,3,NA,0,3157,NA,NA,2020-01-20
"4",2020,4,NA,0,3046,NA,NA,2020-01-27
"5",2020,5,NA,0,3163,NA,NA,2020-02-03
"6",2020,6,NA,0,3194,NA,NA,2020-02-10
"7",2020,7,NA,0,3199,NA,NA,2020-02-17
"8",2020,8,NA,0,2959,NA,NA,2020-02-24
"9",2020,9,3098.00615773689,0,3098,3096.9862148482,3098.93388453582,2020-03-02
"10",2020,10,3098.87555716548,4,3106,3096.32882539962,3101.22847907059,2020-03-09
"11",2020,11,3155.0178589717,36,3219,3137.9712827745,3173.32001406556,2020-03-16
"12",2020,12,3092.86332327261,295,3615,2974.30687311896,3217.03089904114,2020-03-23
"13",2020,13,3043.0610480558,797,4459,2798.03645595154,3307.12477559416,2020-03-30
"14",2020,14,2974.61199445693,1185,5085,2676.38388775177,3290.90211309386,2020-04-06
"15",2020,15,3022.88613591523,1040,4981,2733.70408812519,3312.83280769775,2020-04-13
"16",2020,16,2793.69455931224,886,4307,2503.78481594378,3059.23275449775,2020-04-20
"17",2020,17,2737.79392082832,705,3907,2507.02347360937,2973.58957082621,2020-04-27
"18",2020,18,2678.09991706309,427,3379,2496.86702344899,2860.31272559665,2020-05-04
"19",2020,19,2522.02884926655,295,2986,2389.48830152098,2657.7795132161,2020-05-11
"20",2020,20,2504.47041722837,175,2777,2421.54136028503,2597.01432544021,2020-05-18
"21",2020,21,2582.64120734631,120,2771,2518.77188490233,2652.11836755445,2020-05-25
"22",2020,22,2585.60078288922,91,2729,2535.29569569635,2641.53361360359,2020-06-01
"23",2020,23,2593.61713935085,56,2682,2559.91919324468,2628.30060040288,2020-06-08
"24",2020,24,2636.24330183969,35,2692,2614.54643150235,2659.07315279857,2020-06-15
"25",2020,25,2654.82300381712,25,2695,2637.86504029371,2671.17146765293,2020-06-22
"26",2020,26,2641.54498754577,12,2661,2633.26030468592,2650.10157954782,2020-06-29
"27",2020,27,2619.42302657486,12,2639,2611.13091329461,2627.85526573279,2020-07-06
"28",2020,28,2609.19079049834,6,2619,2604.81095718401,2613.68362428445,2020-07-13
"29",2020,29,2516.49245413814,7,2528,2511.5280098685,2521.71343013477,2020-07-20
"30",2020,30,2661.3996815047,7,2673,2656.15252733276,2666.44484381846,2020-07-27
"31",2020,31,2652.9434704963,9,2668,2646.34872858518,2659.26313888,2020-08-03
"32",2020,32,2631.63280998883,5,2640,2627.81943200556,2635.21426027644,2020-08-10
"33",2020,33,3164.79825887047,26,3209,3146.20051240769,3183.03304306615,2020-08-17
"34",2020,34,2809.65542000202,27,2855,2788.34043744742,2828.21421033428,2020-08-24
"35",2020,35,2694.48731626761,23,2733,2677.75886704213,2710.0255874148,2020-08-31
"36",2020,36,2659.98038197469,18,2690,2646.59075850132,2672.19969898339,2020-09-07
"37",2020,37,2705.76242056353,20,2739,2691.00824835209,2719.28060625391,2020-09-14
"38",2020,38,2658.73653015634,37,2720,2632.66939988336,2682.82535667617,2020-09-21
"39",2020,39,2741.86617264603,91,2892,2678.94423711785,2802.0677451769,2020-09-28
"40",2020,40,2786.44458937912,128,2997,2703.26113166312,2866.89256116835,2020-10-05
"41",2020,41,2740.6592000909,172,3020,2629.97712160276,2841.40625359169,2020-10-12
"42",2020,42,2787.43041821788,268,3220,2633.19695897787,2941.07378859246,2020-10-19
"43",2020,43,2857.31360259356,369,3449,2656.6716014986,3057.69581172634,2020-10-26
"44",2020,44,2871.7991994597,513,3679,2633.7022251956,3099.72592495469,2020-11-02
"45",2020,45,2773.02661709885,556,3589,2519.31659798861,3014.51990395702,2020-11-09
"46",2020,46,2894.85827379567,458,3575,2688.06307391302,3113.17385246715,2020-11-16
"47",2020,47,2809.94284960433,368,3329,2638.70362325615,3000.06026033015,2020-11-23
"48",2020,48,2897.44224215389,358,3401,2716.1537567379,3081.20492232356,2020-11-30
"49",2020,49,3061.13297448073,319,3519,2906.73593627392,3222.91843370253,2020-12-07
"50",2020,50,3058.8970789064,392,3606,2881.6023952323,3239.39141392383,2020-12-14
"51",2020,51,3163.83179514362,522,3896,2931.37217785337,3378.77081177791,2020-12-21
"52",2020,52,3038.95700235001,624,3849,2764.88636569842,3295.47803544837,2020-12-28
"53",2021,1,3244.96174883975,638,4139,2961.28008351177,3509.69766170203,2021-01-04
"54",2021,2,3136.90800791054,550,3843,2875.10083772563,3387.88222859714,2021-01-11
"55",2021,3,3179.36159660081,528,3848,2921.08917955511,3419.14878870014,2021-01-18
"56",2021,4,3190.54735243134,415,3706,2988.73054729446,3404.27628734833,2021-01-25
"57",2021,5,3161.82323949608,402,3644,2956.4887542444,3377.36522033081,2021-02-01
"58",2021,6,3094.15910109425,389,3541,2883.42252708269,3308.59427616781,2021-02-08
"59",2021,7,3065.69447335441,399,3512,2829.60462707454,3294.19600529323,2021-02-15
"60",2021,8,2902.40595924394,276,3190,2722.40310737823,3067.56611428094,2021-02-22
"61",2021,9,2850.08606471918,223,3075,2691.64741142026,2998.8185899465,2021-03-01
"62",2021,10,3153.03691663203,154,3318,3039.43833964888,3261.51622588337,2021-03-08
