"","model","week","Laag","Gemiddeld","Hoog","year","weekyear","deaths_week_mid","deaths_week_low","deaths_week_high","deaths_low_cumsum","deaths_mid_cumsum","deaths_high_cumsum"
"1","Dynamisch",11,47.670435536385,64.3286464769732,80.741374059251,2020,"2020-11",64.3286464769732,47.670435536385,80.741374059251,47.670435536385,64.3286464769732,80.741374059251
"2","Dynamisch",12,457.12574673361,587.913493290477,714.420546261648,2020,"2020-12",523.584846813503,409.455311197225,633.679172202397,457.12574673361,587.913493290477,714.420546261648
"3","Dynamisch",13,1635.92645131645,2002.89618153737,2343.2659628134,2020,"2020-13",1414.9826882469,1178.80070458284,1628.84541655175,1635.92645131645,2002.89618153737,2343.2659628134
"4","Dynamisch",14,3482.05042389204,4097.54132627948,4652.59755228284,2020,"2020-14",2094.64514474211,1846.12397257559,2309.33158946944,3482.05042389204,4097.54132627948,4652.59755228284
"5","Dynamisch",15,5253.90165110676,6051.89796261566,6808.40635385307,2020,"2020-15",1954.35663633617,1771.85122721472,2155.80880157024,5253.90165110676,6051.89796261566,6808.40635385307
"6","Dynamisch",16,6583.65516592216,7566.47040877422,8488.95795416619,2020,"2020-16",1514.57244615857,1329.7535148154,1680.55160031312,6583.65516592216,7566.47040877422,8488.95795416619
"7","Dynamisch",17,7625.00617096073,8745.32722992792,9817.7590999312,2020,"2020-17",1178.8568211537,1041.35100503857,1328.80114576501,7625.00617096073,8745.32722992792,9817.7590999312
"8","Dynamisch",18,8211.66328869801,9447.25927332443,10635.566595645,2020,"2020-18",701.932043396517,586.65711773728,817.80749571382,8211.66328869801,9447.25927332443,10635.566595645
"9","Dynamisch",19,8623.50877980123,9913.33152288621,11195.4969978541,2020,"2020-19",466.072249561772,411.84549110322,559.930402209104,8623.50877980123,9913.33152288621,11195.4969978541
"10","Dynamisch",20,8835.0519037393,10188.1932065906,11521.6669663288,2020,"2020-20",274.861683704376,211.543123938072,326.169968474642,8835.0519037393,10188.1932065906,11521.6669663288
"11","Dynamisch",21,8967.71006775494,10378.4865293858,11754.3990110555,2020,"2020-21",190.293322795174,132.658164015631,232.732044726767,8967.71006775494,10378.4865293858,11754.3990110555
"12","Dynamisch",22,9076.92724974711,10522.9417340913,11930.3297344228,2020,"2020-22",144.45520470554,109.217181992171,175.930723367283,9076.92724974711,10522.9417340913,11930.3297344228
"13","Dynamisch",23,9147.54462030948,10612.2697585685,12025.3753219239,2020,"2020-23",89.3280244771577,70.6173705623696,95.0455875010794,9147.54462030948,10612.2697585685,12025.3753219239
"14","Dynamisch",24,9200.49805943167,10668.4898944779,12088.2534451844,2020,"2020-24",56.2201359094797,52.9534391221969,62.8781232605179,9200.49805943167,10668.4898944779,12088.2534451844
"15","Dynamisch",25,9237.53626286708,10708.7344555978,12129.9342409829,2020,"2020-25",40.2445611198636,37.0382034354043,41.6807957984383,9237.53626286708,10708.7344555978,12129.9342409829
"16","Dynamisch",26,9251.97787412237,10728.116886795,12149.511154172,2020,"2020-26",19.3824311971857,14.4416112552881,19.5769131891939,9251.97787412237,10728.116886795,12149.511154172
"17","Dynamisch",27,9274.5093662014,10747.5216870844,12173.7795322866,2020,"2020-27",19.4048002894087,22.5314920790388,24.2683781145097,9274.5093662014,10747.5216870844,12173.7795322866
"18","Dynamisch",28,9284.60305249057,10757.2631797272,12185.6886015248,2020,"2020-28",9.74149264276275,10.0936862891649,11.909069238196,9284.60305249057,10757.2631797272,12185.6886015248
"19","Dynamisch",29,9295.70807314194,10768.6610399187,12198.7293324212,2020,"2020-29",11.3978601915132,11.1050206513701,13.0407308964623,9295.70807314194,10768.6610399187,12198.7293324212
"20","Dynamisch",30,9306.61271145017,10780.091535849,12212.6703591236,2020,"2020-30",11.430495930379,10.9046383082314,13.9410267024123,9306.61271145017,10780.091535849,12212.6703591236
"21","Dynamisch",31,9322.32334337814,10794.8896261354,12231.1181089689,2020,"2020-31",14.7980902863183,15.7106319279683,18.4477498453016,9322.32334337814,10794.8896261354,12231.1181089689
"22","Dynamisch",32,9330.72576196949,10803.1521927167,12241.6924402732,2020,"2020-32",8.26256658137572,8.40241859135313,10.574331304264,9330.72576196949,10803.1521927167,12241.6924402732
"23","Dynamisch",33,9370.8792584676,10846.4050988066,12298.6804573766,2020,"2020-33",43.2529060899014,40.1534964981111,56.9880171033801,9370.8792584676,10846.4050988066,12298.6804573766
"24","Dynamisch",34,9407.43730173934,10890.9212475704,12360.1822049291,2020,"2020-34",44.5161487637415,36.5580432717416,61.5017475525146,9407.43730173934,10890.9212475704,12360.1822049291
"25","Dynamisch",35,9440.034273253,10928.7174611383,12405.5407532671,2020,"2020-35",37.7962135679554,32.5969715136598,45.3585483380084,9440.034273253,10928.7174611383,12405.5407532671
"26","Dynamisch",36,9464.92266263603,10958.2627545759,12439.2734780882,2020,"2020-36",29.5452934375535,24.8883893830298,33.7327248211495,9464.92266263603,10958.2627545759,12439.2734780882
"27","Dynamisch",37,9489.47367963996,10991.0518812006,12472.5249053495,2020,"2020-37",32.7891266247188,24.5510170039233,33.2514272612607,9489.47367963996,10991.0518812006,12472.5249053495
"28","Dynamisch",38,9537.85525151454,11051.5284297926,12533.8588377201,2020,"2020-38",60.4765485919434,48.3815718745864,61.3339323705641,9537.85525151454,11051.5284297926,12533.8588377201
"29","Dynamisch",39,9661.11137696882,11199.626030871,12701.9870198242,2020,"2020-39",148.09760107846,123.256125454274,168.12818210417,9661.11137696882,11199.626030871,12701.9870198242
"30","Dynamisch",40,9826.00630347737,11407.16488014,12928.5383442947,2020,"2020-40",207.53884926896,164.894926508552,226.551324470453,9826.00630347737,11407.16488014,12928.5383442947
"31","Dynamisch",41,10069.1827609619,11682.9233731294,13227.8674105427,2020,"2020-41",275.758492989456,243.17645748452,299.329066248016,10069.1827609619,11682.9233731294,13227.8674105427
"32","Dynamisch",42,10426.3482724371,12111.6988302026,13688.1094013288,2020,"2020-42",428.775457073176,357.165511475236,460.24199078614,10426.3482724371,12111.6988302026,13688.1094013288
"33","Dynamisch",43,10927.3570589195,12699.6455714351,14351.5298791382,2020,"2020-43",587.946741232457,501.008786482385,663.420477809399,10927.3570589195,12699.6455714351,14351.5298791382
"34","Dynamisch",44,11656.8399870555,13500.8563367952,15257.7717537724,2020,"2020-44",801.210765360123,729.482928135956,906.241874634166,11656.8399870555,13500.8563367952,15257.7717537724
"35","Dynamisch",45,12321.3934866683,14320.8982261906,16230.7893120941,2020,"2020-45",820.041889395459,664.553499612801,973.017558321657,12321.3934866683,14320.8982261906,16230.7893120941
"36","Dynamisch",46,12937.3598614877,15006.3216080243,17039.3271897005,2020,"2020-46",685.4233818337,615.96637481946,808.537877606457,12937.3598614877,15006.3216080243,17039.3271897005
"37","Dynamisch",47,13356.8239366044,15532.0029227766,17664.8225021309,2020,"2020-47",525.681314752217,419.464075116672,625.495312430357,13356.8239366044,15532.0029227766,17664.8225021309
"38","Dynamisch",48,13745.0434149109,16041.2656724087,18282.8289942691,2020,"2020-48",509.26274963216,388.21947830647,618.006492138175,13745.0434149109,16041.2656724087,18282.8289942691
"39","Dynamisch",49,14099.9821048532,16504.4120893082,18852.4916259178,2020,"2020-49",463.146416899428,354.938689942375,569.662631648789,14099.9821048532,16504.4120893082,18852.4916259178
"40","Dynamisch",50,14582.7685637934,17069.2989099593,19488.303801629,2020,"2020-50",564.886820651125,482.786458940176,635.812175711184,14582.7685637934,17069.2989099593,19488.303801629
"41","Dynamisch",51,15226.9402051063,17823.5175277127,20379.4571855993,2020,"2020-51",754.218617753464,644.171641312843,891.153383970264,15226.9402051063,17823.5175277127,20379.4571855993
"42","Dynamisch",52,15985.74797776,18654.0237762584,21362.7686601255,2020,"2020-52",830.506248545618,758.807772653727,983.31147452625,15985.74797776,18654.0237762584,21362.7686601255
"43","Dynamisch",53,16745.74797776,19604.0237762584,22502.7686601255,2020,"2020-53",950,760,1140,16745.74797776,19604.0237762584,22502.7686601255
"44","Dynamisch",1,624.409057157394,909.950089047562,1198.96007881115,2021,"2021-01",909.950089047562,624.409057157394,1198.96007881115,17370.1570349174,20513.9738653059,23701.7287389367
"45","Dynamisch",2,1139.81498099595,1639.26196417288,2171.31114735853,2021,"2021-02",729.311875125317,515.40592383856,972.351068547378,17885.5629587559,21243.2857404312,24674.0798074841
"46","Dynamisch",3,1598.83790133549,2326.9481010153,3062.96021918757,2021,"2021-03",687.68613684242,459.022920339534,891.649071829035,18344.5858790955,21930.9718772737,25565.7288793131
"47","Dynamisch",4,1944.33815257112,2858.44355699801,3757.46953126326,2021,"2021-04",531.495455982711,345.500251235631,694.509312075691,18690.0861303311,22462.4673332564,26260.2381913888
"48","Dynamisch",5,2287.75468705666,3356.09851670767,4410.83456847025,2021,"2021-05",497.654959709657,343.416534485541,653.36503720699,19033.5026648166,22960.122292966,26913.6032285958
"49","Dynamisch",6,2571.24743983205,3817.2363445924,5040.57496643407,2021,"2021-06",461.13782788473,283.492752775386,629.740397963824,19316.995417592,23421.2601208508,27543.3436265596
"50","Dynamisch",7,2858.07916697724,4277.81574358406,5673.13164354419,2021,"2021-07",460.579398991662,286.831727145194,632.556677110119,19603.8271447372,23881.8395198424,28175.9003036697
"51","Dynamisch",8,3027.68595299254,4576.37366480861,6078.10876899627,2021,"2021-08",298.557921224553,169.606786015303,404.977125452078,19773.4339307525,24180.397441067,28580.8774291218
"52","Dynamisch",9,3147.42713021601,4828.54573499412,6439.50713266003,2021,"2021-09",252.172070185513,119.741177223467,361.398363663764,19893.175107976,24432.5695112525,28942.2757927856
"53","Dynamisch",10,3246.79909021765,5026.93399829885,6713.12947467124,2021,"2021-10",198.388263304723,99.3719600016425,273.622342011209,19992.5470679776,24630.9577745572,29215.8981347968
"54","Dynamisch",11,3351.12737379406,5212.72583533033,6997.47640797294,2021,"2021-11",185.791837031478,104.328283576404,284.346933301703,20096.875351554,24816.7496115887,29500.2450680985
"55","Dynamisch",12,3442.87731355695,5373.27152943771,7250.81669099102,2021,"2021-12",160.545694107383,91.7499397628935,253.34028301807,20188.6252913169,24977.2953056961,29753.5853511166
"56","Dynamisch",13,3566.18593610829,5527.98544172953,7462.19617938019,2021,"2021-13",154.71391229182,123.308622551343,211.379488389177,20311.9339138683,25132.0092179879,29964.9648395057
"57","Dynamisch",14,3697.91462031715,5672.07889310542,7666.01489498947,2021,"2021-14",144.093451375895,131.728684208855,203.818715609278,20443.6625980771,25276.1026693638,30168.783555115
