"","year","week","cbs_deaths","mid","lwr","upr","smooth"
"1",2010,1,2767,2767.01297397982,NA,NA,NA
"2",2010,2,2830,2829.98054755083,NA,NA,NA
"3",2010,3,2846,2846.02225636271,NA,NA,NA
"4",2010,4,2865,2864.99551921051,NA,NA,NA
"5",2010,5,2858,2857.9982814389,NA,NA,NA
"6",2011,1,2917,2916.98114277785,NA,NA,NA
"7",2011,2,2819,2819.00099211389,NA,NA,NA
"8",2011,3,2624,2623.9909809288,NA,NA,NA
"9",2011,4,2620,2619.98205096495,NA,NA,NA
"10",2011,5,2728,2728.01169666395,NA,NA,NA
"11",2012,1,2930,2930.01119292204,NA,NA,NA
"12",2012,2,2773,2772.99924033904,NA,NA,NA
"13",2012,3,2785,2785.0115694941,NA,NA,NA
"14",2012,4,2789,2788.99356652189,NA,NA,NA
"15",2012,5,2815,2815.00139081053,NA,NA,NA
"16",2013,1,2947,2947.01028211002,NA,NA,NA
"17",2013,2,3038,3038.01269920741,NA,NA,NA
"18",2013,3,3011,3010.98319502786,NA,NA,NA
"19",2013,4,3082,3081.99873503894,NA,NA,NA
"20",2013,5,3192,3192.00599264754,NA,NA,NA
"21",2014,1,2766,2766.02258784728,NA,NA,NA
"22",2014,2,2819,2818.99071965738,NA,NA,NA
"23",2014,3,2740,2740.00643466511,NA,NA,NA
"24",2014,4,2710,2710.03354130028,NA,NA,NA
"25",2014,5,2708,2708.00255362539,NA,NA,NA
"26",2015,1,3255,3255.00436303475,NA,NA,NA
"27",2015,2,3429,3428.99313945516,NA,NA,NA
"28",2015,3,3377,3376.96617321036,NA,NA,NA
"29",2015,4,3353,3353.00757288249,NA,NA,NA
"30",2015,5,3322,3321.98701704145,NA,NA,NA
"31",2016,1,3173,3172.99044036096,NA,NA,NA
"32",2016,2,3075,3074.99879841547,NA,NA,NA
"33",2016,3,3062,3062.00454018756,NA,NA,NA
"34",2016,4,3201,3201.02095002516,NA,NA,NA
"35",2016,5,3103,3103.00791199548,NA,NA,NA
"36",2017,1,3568,3568.02014197627,NA,NA,NA
"37",2017,2,3637,3637.01254370394,NA,NA,NA
"38",2017,3,3487,3487.03086995184,NA,NA,NA
"39",2017,4,3626,3626.01160326814,NA,NA,NA
"40",2017,5,3574,3573.99268268607,NA,NA,NA
"41",2018,1,3343,3342.99892217117,NA,NA,NA
"42",2018,2,3359,3359.00166150472,NA,NA,NA
"43",2018,3,3364,3363.97416438894,NA,NA,NA
"44",2018,4,3322,3322.00810204693,NA,NA,NA
"45",2018,5,3403,3403.00462681536,NA,NA,NA
"46",2019,1,3062,3061.9750592125,NA,NA,NA
"47",2019,2,3262,3262.00586696829,NA,NA,NA
"48",2019,3,3152,3152.01305125917,NA,NA,NA
"49",2019,4,3179,3178.98653241711,NA,NA,NA
"50",2019,5,3139,3138.99435525415,NA,NA,NA
"51",2020,1,3105,3105.03076046588,NA,NA,NA
"52",2020,2,3366,3365.98768829727,NA,NA,NA
"53",2020,3,3157,3156.98777515452,NA,NA,NA
"54",2020,4,3046,3046.00793301289,NA,NA,NA
"55",2020,5,3163,3163.00624464825,NA,NA,NA
"56",2021,1,4122,3209.02237185294,2949.15066649137,3469.14012426364,NA
"57",2021,2,3833,3088.40012644731,2844.86993344529,3324.4249727424,NA
"58",2021,3,3830,3131.36905529109,2906.5189721559,3374.8865627533,NA
"59",2021,4,3678,3145.06959564052,2952.10321977435,3345.63960482867,NA
"60",2021,5,3583,3115.78002776899,2932.37289517259,3303.97997145344,NA
