"","week","model","mid","lwr","upr","year","weekyear","weekyear_format"
"1",11,"Dynamisch",65.5131309164261,49.7396512551307,81.2301018645904,2020,2020-03-16,2020 W12
"2",12,"Dynamisch",535.349957034853,427.253220879621,647.926721516304,2020,2020-03-23,2020 W13
"3",13,"Dynamisch",1431.40212068725,1196.3820368762,1678.14358852227,2020,2020-03-30,2020 W14
"4",14,"Dynamisch",2118.67715852873,1806.44195995109,2429.06518042778,2020,2020-04-06,2020 W15
"5",15,"Dynamisch",1955.88529195516,1680.00054161463,2235.00784776171,2020,2020-04-13,2020 W16
"6",16,"Dynamisch",1525.58268588988,1233.4180908771,1811.50160404985,2020,2020-04-20,2020 W17
"7",17,"Dynamisch",1176.64798931161,950.190627578002,1411.83460158203,2020,2020-04-27,2020 W18
"8",18,"Dynamisch",700.023718333749,533.669401957337,869.656708148477,2020,2020-05-04,2020 W19
"9",19,"Dynamisch",467.739335804791,340.231689089023,598.913184892581,2020,2020-05-11,2020 W20
"10",20,"Dynamisch",276.98176465777,197.733151254046,361.546920793402,2020,2020-05-18,2020 W21
"11",21,"Dynamisch",192.085751019495,132.090469297158,252.882747064852,2020,2020-05-25,2020 W22
"12",22,"Dynamisch",146.023834027053,97.4149118997648,196.566984224456,2020,2020-06-01,2020 W23
"13",23,"Dynamisch",90.3078229584471,58.049843422349,120.980962093567,2020,2020-06-08,2020 W24
"14",24,"Dynamisch",56.6968509996294,35.2229027950991,77.5583260301473,2020,2020-06-15,2020 W25
"15",25,"Dynamisch",40.7173179712381,24.642971244441,57.1029283566899,2020,2020-06-22,2020 W26
"16",26,"Dynamisch",19.6702146572804,12.278719360092,27.2226186585291,2020,2020-06-29,2020 W27
"17",27,"Dynamisch",19.7501998517728,12.0253768275082,27.6181658301945,2020,2020-07-06,2020 W28
"18",28,"Dynamisch",9.8775784140798,5.95753661427858,13.7499706992766,2020,2020-07-13,2020 W29
"19",29,"Dynamisch",11.5909132888968,6.744429588485,16.1615676789749,2020,2020-07-20,2020 W30
"20",30,"Dynamisch",11.6625221649999,6.80795168756933,16.2365250367555,2020,2020-07-27,2020 W31
"21",31,"Dynamisch",15.0075748517855,8.76094318548838,20.9398081966021,2020,2020-08-03,2020 W32
"22",32,"Dynamisch",8.36206896296063,4.95316818688566,11.6818056967755,2020,2020-08-10,2020 W33
"23",33,"Dynamisch",43.7487692081855,26.6925119868625,60.4625727020449,2020,2020-08-17,2020 W34
"24",34,"Dynamisch",45.2744083597386,27.0143642127389,63.0265106158183,2020,2020-08-24,2020 W35
"25",35,"Dynamisch",38.2494635314508,22.9292640925009,53.8548847579194,2020,2020-08-31,2020 W36
"26",36,"Dynamisch",29.8907500661574,18.0629290316852,41.3017579138584,2020,2020-09-07,2020 W37
"27",37,"Dynamisch",33.0949685039551,20.2436802914924,46.1797738058449,2020,2020-09-14,2020 W38
"28",38,"Dynamisch",61.2134696337801,38.6386014312127,83.82430774135,2020,2020-09-21,2020 W39
"29",39,"Dynamisch",149.484807000359,92.1639394540167,205.634529694524,2020,2020-09-28,2020 W40
"30",40,"Dynamisch",210.036285012609,134.389189535964,285.104774253169,2020,2020-10-05,2020 W41
"31",41,"Dynamisch",279.970339576236,185.507863486117,379.8489997979,2020,2020-10-12,2020 W42
"32",42,"Dynamisch",432.307463330849,293.494828830854,583.724310774234,2020,2020-10-19,2020 W43
"33",43,"Dynamisch",592.535856440856,404.912779991581,782.679014447098,2020,2020-10-26,2020 W44
"34",44,"Dynamisch",808.705278587999,545.426460497461,1048.48818971337,2020,2020-11-02,2020 W45
"35",45,"Dynamisch",824.751256903616,560.714209534652,1071.9434407682,2020,2020-11-09,2020 W46
"36",46,"Dynamisch",691.213307038148,464.366941431597,907.099972779533,2020,2020-11-16,2020 W47
"37",47,"Dynamisch",531.449694015173,350.15007964102,705.582666804751,2020,2020-11-23,2020 W48
"38",48,"Dynamisch",513.976909971085,341.677671818653,685.176646437241,2020,2020-11-30,2020 W49
"39",49,"Dynamisch",462.942373117604,312.481471532205,618.665399605522,2020,2020-12-07,2020 W50
"40",50,"Dynamisch",554.190047710467,387.99304510848,727.659135299661,2020,2020-12-14,2020 W51
"41",51,"Dynamisch",744.515005555591,528.4685287411,964.544559537753,2020,2020-12-21,2020 W52
"42",52,"Dynamisch",832.410295619686,564.155355207971,1090.22791139899,2020,2020-12-28,2020 W53
"43",1,"Dynamisch",909.596533656013,636.465287595284,1161.72806237743,2021,2021-01-04,2021 W01
"44",2,"Dynamisch",731.110424249694,499.061143433284,951.557885629452,2021,2021-01-11,2021 W02
"45",3,"Dynamisch",698.870863860338,461.30390308601,927.05552929731,2021,2021-01-18,2021 W03
"46",4,"Dynamisch",536.42208003991,353.826731545538,731.139154099027,2021,2021-01-25,2021 W04
"47",5,"Dynamisch",505.451597437687,297.956445695624,710.225124362564,2021,2021-02-01,2021 W05
"48",6,"Dynamisch",471.572593836625,269.52561992396,682.96221327751,2021,2021-02-08,2021 W06
"49",7,"Dynamisch",471.410545823992,266.189903115212,684.211703332624,2021,2021-02-15,2021 W07
"50",8,"Dynamisch",307.014997192018,146.149896794626,465.613623896067,2021,2021-02-22,2021 W08
"51",9,"Dynamisch",222.631293278334,87.4483158772311,347.896884517982,2021,2021-03-01,2021 W09
