,Gem. temperatuur,Weeksterfte,Correctiefactor,,,Waargenomen,Verwacht,Oversterfte
1,4.96,3102,,,3-10,3111,,
2,7.83,3364,,,11,3215,3050,165
3,7.33,3153,,,12,3609,3091,518
4,3.07,3042,,,13,4450,3111,1339
5,8.36,3160,,,14,5080,3111,1969
6,6.43,3191,,,15,4972,2906,2066
7,7.93,3197,,,16,4292,3007,1285
8,7.90,2957,,,17,3893,2923,970
9,5.74,3092,,,18,3368,2976,392
10,6.20,3098,,,19,2964,2930,34
11,8.60,3215,0.980,,20,2735,3047,-312
12,7.29,3609,0.993,,21,2759,2807,-48
13,6.04,4450,1.006,,,,,
14,6.47,5080,1.001,,Som week 11 tot en met 19,35843,27104,8739
15,13.21,4972,0.934,,,,,
16,9.97,4292,0.966,,,,,
17,12.69,3893,0.939,,,,,
18,10.97,3368,0.956,,,,,
19,12.44,2964,0.942,,,,,
20,8.69,2735,0.979,,,,,
21,16.39,2759,0.902,,,,,
