Datum,Type,Aantal
27-2-2020,Totaal,3
27-2-2020,Ziekenhuisopname,1
27-2-2020,Overleden,0
28-2-2020,Totaal,4
28-2-2020,Ziekenhuisopname,8
28-2-2020,Overleden,0
29-2-2020,Totaal,13
29-2-2020,Ziekenhuisopname,1
29-2-2020,Overleden,0
1-3-2020,Totaal,13
1-3-2020,Ziekenhuisopname,10
1-3-2020,Overleden,0
2-3-2020,Totaal,47
2-3-2020,Ziekenhuisopname,14
2-3-2020,Overleden,0
3-3-2020,Totaal,40
3-3-2020,Ziekenhuisopname,6
3-3-2020,Overleden,0
4-3-2020,Totaal,41
4-3-2020,Ziekenhuisopname,13
4-3-2020,Overleden,0
5-3-2020,Totaal,41
5-3-2020,Ziekenhuisopname,13
5-3-2020,Overleden,0
6-3-2020,Totaal,32
6-3-2020,Ziekenhuisopname,20
6-3-2020,Overleden,1
7-3-2020,Totaal,45
7-3-2020,Ziekenhuisopname,17
7-3-2020,Overleden,1
8-3-2020,Totaal,72
8-3-2020,Ziekenhuisopname,25
8-3-2020,Overleden,2
9-3-2020,Totaal,78
9-3-2020,Ziekenhuisopname,47
9-3-2020,Overleden,0
10-3-2020,Totaal,137
10-3-2020,Ziekenhuisopname,39
10-3-2020,Overleden,1
11-3-2020,Totaal,168
11-3-2020,Ziekenhuisopname,54
11-3-2020,Overleden,2
12-3-2020,Totaal,186
12-3-2020,Ziekenhuisopname,81
12-3-2020,Overleden,3
13-3-2020,Totaal,222
13-3-2020,Ziekenhuisopname,87
13-3-2020,Overleden,6
14-3-2020,Totaal,221
14-3-2020,Ziekenhuisopname,91
14-3-2020,Overleden,10
15-3-2020,Totaal,234
15-3-2020,Ziekenhuisopname,101
15-3-2020,Overleden,14
16-3-2020,Totaal,271
16-3-2020,Ziekenhuisopname,183
16-3-2020,Overleden,24
17-3-2020,Totaal,370
17-3-2020,Ziekenhuisopname,178
17-3-2020,Overleden,23
18-3-2020,Totaal,458
18-3-2020,Ziekenhuisopname,245
18-3-2020,Overleden,19
19-3-2020,Totaal,514
19-3-2020,Ziekenhuisopname,349
19-3-2020,Overleden,44
20-3-2020,Totaal,696
20-3-2020,Ziekenhuisopname,335
20-3-2020,Overleden,56
21-3-2020,Totaal,668
21-3-2020,Ziekenhuisopname,280
21-3-2020,Overleden,64
22-3-2020,Totaal,540
22-3-2020,Ziekenhuisopname,301
22-3-2020,Overleden,61
23-3-2020,Totaal,619
23-3-2020,Ziekenhuisopname,556
23-3-2020,Overleden,86
24-3-2020,Totaal,1120
24-3-2020,Ziekenhuisopname,478
24-3-2020,Overleden,76
25-3-2020,Totaal,1049
25-3-2020,Ziekenhuisopname,512
25-3-2020,Overleden,114
26-3-2020,Totaal,1050
26-3-2020,Ziekenhuisopname,490
26-3-2020,Overleden,124
27-3-2020,Totaal,1177
27-3-2020,Ziekenhuisopname,609
27-3-2020,Overleden,114
28-3-2020,Totaal,985
28-3-2020,Ziekenhuisopname,338
28-3-2020,Overleden,153
29-3-2020,Totaal,746
29-3-2020,Ziekenhuisopname,301
29-3-2020,Overleden,123
30-3-2020,Totaal,805
30-3-2020,Ziekenhuisopname,504
30-3-2020,Overleden,153
31-3-2020,Totaal,1124
31-3-2020,Ziekenhuisopname,341
